"Year","scenario","Species","variable","Age","value"
"1980","2023","Cod","M2","0",1.45588779482031
"1981","2023","Cod","M2","0",2.25619948136496
"1982","2023","Cod","M2","0",1.7279262544248
"1983","2023","Cod","M2","0",1.40371790672585
"1984","2023","Cod","M2","0",2.07239246880904
"1985","2023","Cod","M2","0",1.33666257645988
"1986","2023","Cod","M2","0",1.5894046286957
"1987","2023","Cod","M2","0",1.90559443966816
"1988","2023","Cod","M2","0",1.32423754401759
"1989","2023","Cod","M2","0",1.79082613873176
"1990","2023","Cod","M2","0",1.77828002334288
"1991","2023","Cod","M2","0",1.5099830933223
"1992","2023","Cod","M2","0",1.74135843955073
"1993","2023","Cod","M2","0",1.65391710423238
"1994","2023","Cod","M2","0",1.6531222026794
"1995","2023","Cod","M2","0",1.99649238057779
"1996","2023","Cod","M2","0",1.73482654125985
"1997","2023","Cod","M2","0",2.05854975104924
"1998","2023","Cod","M2","0",2.21811526415233
"1999","2023","Cod","M2","0",2.49335971952958
"2000","2023","Cod","M2","0",2.24336426730774
"2001","2023","Cod","M2","0",2.22703457045602
"2002","2023","Cod","M2","0",2.46962604845695
"2003","2023","Cod","M2","0",2.57753079999396
"2004","2023","Cod","M2","0",2.31096556533483
"2005","2023","Cod","M2","0",2.36867701937585
"2006","2023","Cod","M2","0",2.38558609641398
"2007","2023","Cod","M2","0",2.39606076436318
"2008","2023","Cod","M2","0",2.30142580832393
"2009","2023","Cod","M2","0",1.86838251349265
"2010","2023","Cod","M2","0",2.15133714134594
"2011","2023","Cod","M2","0",2.65164402495411
"2012","2023","Cod","M2","0",2.72022600183101
"2013","2023","Cod","M2","0",2.46849136973313
"2014","2023","Cod","M2","0",2.4053752946842
"2015","2023","Cod","M2","0",2.5617618021265
"2016","2023","Cod","M2","0",2.32615158163651
"2017","2023","Cod","M2","0",2.51841163336653
"2018","2023","Cod","M2","0",2.06339426568595
"2019","2023","Cod","M2","0",1.75744385793509
"2020","2023","Cod","M2","0",1.81056386789641
"2021","2023","Cod","M2","0",2.15955875310646
"2022","2023","Cod","M2","0",1.74239854207082
"1974","2020","Haddock","M2","0",0.893624422695927
"1975","2020","Haddock","M2","0",0.967920754501469
"1976","2020","Haddock","M2","0",1.2072554682134
"1977","2020","Haddock","M2","0",1.23567361441836
"1978","2020","Haddock","M2","0",1.02439695040927
"1979","2020","Haddock","M2","0",1.09322641112436
"1980","2020","Haddock","M2","0",1.42523160378836
"1981","2020","Haddock","M2","0",1.34624602502859
"1982","2020","Haddock","M2","0",1.33220088630836
"1983","2020","Haddock","M2","0",1.07082863521105
"1984","2020","Haddock","M2","0",1.39855112985986
"1985","2020","Haddock","M2","0",1.31801614326611
"1986","2020","Haddock","M2","0",1.33945971254009
"1987","2020","Haddock","M2","0",1.31825962188286
"1988","2020","Haddock","M2","0",1.1099384181048
"1989","2020","Haddock","M2","0",1.22379961996479
"1990","2020","Haddock","M2","0",1.2634143224435
"1991","2020","Haddock","M2","0",1.09809363751442
"1992","2020","Haddock","M2","0",1.0309077482203
"1993","2020","Haddock","M2","0",0.923771106637944
"1994","2020","Haddock","M2","0",0.929061182311097
"1995","2020","Haddock","M2","0",1.29834130287447
"1996","2020","Haddock","M2","0",1.07934533102805
"1997","2020","Haddock","M2","0",1.2114299302878
"1998","2020","Haddock","M2","0",1.21915371987477
"1999","2020","Haddock","M2","0",0.785401628798105
"2000","2020","Haddock","M2","0",1.15676849888442
"2001","2020","Haddock","M2","0",1.35284528463987
"2002","2020","Haddock","M2","0",1.35587816826555
"2003","2020","Haddock","M2","0",1.33643874152487
"2004","2020","Haddock","M2","0",1.44176643831844
"2005","2020","Haddock","M2","0",1.12557593838999
"2006","2020","Haddock","M2","0",1.24016240686702
"2007","2020","Haddock","M2","0",1.1161081569149
"2008","2020","Haddock","M2","0",1.01738037324176
"2009","2020","Haddock","M2","0",0.780968298142119
"2010","2020","Haddock","M2","0",1.05952927075879
"2011","2020","Haddock","M2","0",1.24202824746425
"2012","2020","Haddock","M2","0",1.04479184993949
"2013","2020","Haddock","M2","0",0.973207935155743
"2014","2020","Haddock","M2","0",0.855438627796511
"2015","2020","Haddock","M2","0",0.981002125160895
"2016","2020","Haddock","M2","0",0.967867685134687
"2017","2020","Haddock","M2","0",0.972987019935937
"2018","2020","Haddock","M2","0",0.905632174894229
"2019","2020","Haddock","M2","0",0.606587286077284
"1974","2023","Haddock","M2","0",0.868054924020061
"1975","2023","Haddock","M2","0",0.984320714540592
"1976","2023","Haddock","M2","0",1.16162497398605
"1977","2023","Haddock","M2","0",1.23281402137361
"1978","2023","Haddock","M2","0",1.07309222276399
"1979","2023","Haddock","M2","0",0.976317957596086
"1980","2023","Haddock","M2","0",1.36139488480339
"1981","2023","Haddock","M2","0",1.32286623567112
"1982","2023","Haddock","M2","0",1.26325026642852
"1983","2023","Haddock","M2","0",0.943984487259891
"1984","2023","Haddock","M2","0",1.06417850901796
"1985","2023","Haddock","M2","0",1.10063810931111
"1986","2023","Haddock","M2","0",1.07518807824063
"1987","2023","Haddock","M2","0",1.16900697421053
"1988","2023","Haddock","M2","0",1.04384872333658
"1989","2023","Haddock","M2","0",1.07994716191184
"1990","2023","Haddock","M2","0",1.03765848057463
"1991","2023","Haddock","M2","0",0.88672772871807
"1992","2023","Haddock","M2","0",0.891918629514721
"1993","2023","Haddock","M2","0",0.897204765645649
"1994","2023","Haddock","M2","0",0.868080631292204
"1995","2023","Haddock","M2","0",1.18137679261355
"1996","2023","Haddock","M2","0",1.037995968505
"1997","2023","Haddock","M2","0",1.15927827619276
"1998","2023","Haddock","M2","0",1.10783097783629
"1999","2023","Haddock","M2","0",0.812603181360429
"2000","2023","Haddock","M2","0",1.09065902424171
"2001","2023","Haddock","M2","0",1.21976261170032
"2002","2023","Haddock","M2","0",1.26068743185279
"2003","2023","Haddock","M2","0",1.19896596010509
"2004","2023","Haddock","M2","0",1.26122066865608
"2005","2023","Haddock","M2","0",1.07719592154028
"2006","2023","Haddock","M2","0",1.17354687008574
"2007","2023","Haddock","M2","0",0.986938907281885
"2008","2023","Haddock","M2","0",0.818102324810561
"2009","2023","Haddock","M2","0",0.696331605000315
"2010","2023","Haddock","M2","0",0.945522019249327
"2011","2023","Haddock","M2","0",1.11623168865153
"2012","2023","Haddock","M2","0",0.927115741295855
"2013","2023","Haddock","M2","0",0.929974862180584
"2014","2023","Haddock","M2","0",0.815339973773191
"2015","2023","Haddock","M2","0",0.924702756579243
"2016","2023","Haddock","M2","0",0.936549643186765
"2017","2023","Haddock","M2","0",0.958299407177691
"2018","2023","Haddock","M2","0",0.917366559909961
"2019","2023","Haddock","M2","0",0.703134373804939
"2020","2023","Haddock","M2","0",0.978455261016674
"2021","2023","Haddock","M2","0",1.33343385262258
"2022","2023","Haddock","M2","0",1.17356713020952
"1974","2020","Herring","M2","0",0.706226214281776
"1975","2020","Herring","M2","0",0.739593880712625
"1976","2020","Herring","M2","0",0.699009391104202
"1977","2020","Herring","M2","0",0.636398948917949
"1978","2020","Herring","M2","0",0.531357061274108
"1979","2020","Herring","M2","0",0.575615677248873
"1980","2020","Herring","M2","0",0.739721098819527
"1981","2020","Herring","M2","0",0.727697624308631
"1982","2020","Herring","M2","0",0.775777489318247
"1983","2020","Herring","M2","0",0.722523128942814
"1984","2020","Herring","M2","0",0.819890553627837
"1985","2020","Herring","M2","0",0.779393688797526
"1986","2020","Herring","M2","0",0.760642860450954
"1987","2020","Herring","M2","0",0.913848257306473
"1988","2020","Herring","M2","0",0.837697817793991
"1989","2020","Herring","M2","0",0.878948990886958
"1990","2020","Herring","M2","0",0.838934222216858
"1991","2020","Herring","M2","0",0.857792475051386
"1992","2020","Herring","M2","0",0.764947192866285
"1993","2020","Herring","M2","0",0.697361531025827
"1994","2020","Herring","M2","0",0.675807183700066
"1995","2020","Herring","M2","0",0.830400504469394
"1996","2020","Herring","M2","0",0.701374190332312
"1997","2020","Herring","M2","0",0.808297613015304
"1998","2020","Herring","M2","0",0.790458341136344
"1999","2020","Herring","M2","0",0.722877271124189
"2000","2020","Herring","M2","0",0.760116096811907
"2001","2020","Herring","M2","0",0.717855190864334
"2002","2020","Herring","M2","0",0.808009675593741
"2003","2020","Herring","M2","0",0.88116647955431
"2004","2020","Herring","M2","0",0.799259691580653
"2005","2020","Herring","M2","0",0.856872567548392
"2006","2020","Herring","M2","0",0.904371281029555
"2007","2020","Herring","M2","0",0.92651881163009
"2008","2020","Herring","M2","0",0.906505151030916
"2009","2020","Herring","M2","0",0.77052628275217
"2010","2020","Herring","M2","0",0.794313135929071
"2011","2020","Herring","M2","0",1.01731963522873
"2012","2020","Herring","M2","0",0.992536769616151
"2013","2020","Herring","M2","0",0.769864942755481
"2014","2020","Herring","M2","0",0.760413523581748
"2015","2020","Herring","M2","0",0.871362014557928
"2016","2020","Herring","M2","0",0.788562862895729
"2017","2020","Herring","M2","0",0.821403629125567
"2018","2020","Herring","M2","0",0.743990667371145
"2019","2020","Herring","M2","0",0.599835604861877
"1974","2023","Herring","M2","0",0.653012163782838
"1975","2023","Herring","M2","0",0.700051909058978
"1976","2023","Herring","M2","0",0.689320392934627
"1977","2023","Herring","M2","0",0.680722072932432
"1978","2023","Herring","M2","0",0.535696022779763
"1979","2023","Herring","M2","0",0.57884362146394
"1980","2023","Herring","M2","0",0.690713058442606
"1981","2023","Herring","M2","0",0.779642052143209
"1982","2023","Herring","M2","0",0.730641122875795
"1983","2023","Herring","M2","0",0.666186010826608
"1984","2023","Herring","M2","0",0.746402595997282
"1985","2023","Herring","M2","0",0.696961534492783
"1986","2023","Herring","M2","0",0.727167016348707
"1987","2023","Herring","M2","0",0.780808510060458
"1988","2023","Herring","M2","0",0.769427312494028
"1989","2023","Herring","M2","0",0.782303731589921
"1990","2023","Herring","M2","0",0.758466532993458
"1991","2023","Herring","M2","0",0.737396573997856
"1992","2023","Herring","M2","0",0.693609988850569
"1993","2023","Herring","M2","0",0.660756497110683
"1994","2023","Herring","M2","0",0.643674591092258
"1995","2023","Herring","M2","0",0.785799886390844
"1996","2023","Herring","M2","0",0.672803269160054
"1997","2023","Herring","M2","0",0.78048012419996
"1998","2023","Herring","M2","0",0.770639596590711
"1999","2023","Herring","M2","0",0.684865273959856
"2000","2023","Herring","M2","0",0.740988099324299
"2001","2023","Herring","M2","0",0.690572076766637
"2002","2023","Herring","M2","0",0.809974511633436
"2003","2023","Herring","M2","0",0.849191515533071
"2004","2023","Herring","M2","0",0.77477341506703
"2005","2023","Herring","M2","0",0.845181857775622
"2006","2023","Herring","M2","0",0.865278718907007
"2007","2023","Herring","M2","0",0.878132945425281
"2008","2023","Herring","M2","0",0.805609221504516
"2009","2023","Herring","M2","0",0.737430421993314
"2010","2023","Herring","M2","0",0.763419173127502
"2011","2023","Herring","M2","0",0.911591786594499
"2012","2023","Herring","M2","0",0.921744934525456
"2013","2023","Herring","M2","0",0.75354968890684
"2014","2023","Herring","M2","0",0.710569383521563
"2015","2023","Herring","M2","0",0.834035849216168
"2016","2023","Herring","M2","0",0.77054307011576
"2017","2023","Herring","M2","0",0.787134129300276
"2018","2023","Herring","M2","0",0.726299594628869
"2019","2023","Herring","M2","0",0.669167319679964
"2020","2023","Herring","M2","0",0.736386273492414
"2021","2023","Herring","M2","0",0.806348283161205
"2022","2023","Herring","M2","0",0.657755550797891
"1974","2020","Mackerel","M2","0",0
"1975","2020","Mackerel","M2","0",0
"1976","2020","Mackerel","M2","0",0
"1977","2020","Mackerel","M2","0",0
"1978","2020","Mackerel","M2","0",0
"1979","2020","Mackerel","M2","0",0
"1980","2020","Mackerel","M2","0",0
"1981","2020","Mackerel","M2","0",0
"1982","2020","Mackerel","M2","0",0
"1983","2020","Mackerel","M2","0",0
"1984","2020","Mackerel","M2","0",0
"1985","2020","Mackerel","M2","0",0
"1986","2020","Mackerel","M2","0",0
"1987","2020","Mackerel","M2","0",0
"1988","2020","Mackerel","M2","0",0
"1989","2020","Mackerel","M2","0",0
"1990","2020","Mackerel","M2","0",0
"1991","2020","Mackerel","M2","0",0
"1992","2020","Mackerel","M2","0",0
"1993","2020","Mackerel","M2","0",0
"1994","2020","Mackerel","M2","0",0
"1995","2020","Mackerel","M2","0",0
"1996","2020","Mackerel","M2","0",0
"1997","2020","Mackerel","M2","0",0
"1998","2020","Mackerel","M2","0",0
"1999","2020","Mackerel","M2","0",0
"2000","2020","Mackerel","M2","0",0
"2001","2020","Mackerel","M2","0",0
"2002","2020","Mackerel","M2","0",0
"2003","2020","Mackerel","M2","0",0
"2004","2020","Mackerel","M2","0",0
"2005","2020","Mackerel","M2","0",0
"2006","2020","Mackerel","M2","0",0
"2007","2020","Mackerel","M2","0",0
"2008","2020","Mackerel","M2","0",0
"2009","2020","Mackerel","M2","0",0
"2010","2020","Mackerel","M2","0",0
"2011","2020","Mackerel","M2","0",0
"2012","2020","Mackerel","M2","0",0
"2013","2020","Mackerel","M2","0",0
"2014","2020","Mackerel","M2","0",0
"2015","2020","Mackerel","M2","0",0
"2016","2020","Mackerel","M2","0",0
"2017","2020","Mackerel","M2","0",0
"2018","2020","Mackerel","M2","0",0
"2019","2020","Mackerel","M2","0",0
"1974","2023","Mackerel","M2","0",0
"1975","2023","Mackerel","M2","0",0
"1976","2023","Mackerel","M2","0",0
"1977","2023","Mackerel","M2","0",0
"1978","2023","Mackerel","M2","0",0
"1979","2023","Mackerel","M2","0",0
"1980","2023","Mackerel","M2","0",0
"1981","2023","Mackerel","M2","0",0
"1982","2023","Mackerel","M2","0",0
"1983","2023","Mackerel","M2","0",0
"1984","2023","Mackerel","M2","0",0
"1985","2023","Mackerel","M2","0",0
"1986","2023","Mackerel","M2","0",0
"1987","2023","Mackerel","M2","0",0
"1988","2023","Mackerel","M2","0",0
"1989","2023","Mackerel","M2","0",0
"1990","2023","Mackerel","M2","0",0
"1991","2023","Mackerel","M2","0",0
"1992","2023","Mackerel","M2","0",0
"1993","2023","Mackerel","M2","0",0
"1994","2023","Mackerel","M2","0",0
"1995","2023","Mackerel","M2","0",0
"1996","2023","Mackerel","M2","0",0
"1997","2023","Mackerel","M2","0",0
"1998","2023","Mackerel","M2","0",0
"1999","2023","Mackerel","M2","0",0
"2000","2023","Mackerel","M2","0",0
"2001","2023","Mackerel","M2","0",0
"2002","2023","Mackerel","M2","0",0
"2003","2023","Mackerel","M2","0",0
"2004","2023","Mackerel","M2","0",0
"2005","2023","Mackerel","M2","0",0
"2006","2023","Mackerel","M2","0",0
"2007","2023","Mackerel","M2","0",0
"2008","2023","Mackerel","M2","0",0
"2009","2023","Mackerel","M2","0",0
"2010","2023","Mackerel","M2","0",0
"2011","2023","Mackerel","M2","0",0
"2012","2023","Mackerel","M2","0",0
"2013","2023","Mackerel","M2","0",0
"2014","2023","Mackerel","M2","0",0
"2015","2023","Mackerel","M2","0",0
"2016","2023","Mackerel","M2","0",0
"2017","2023","Mackerel","M2","0",0
"2018","2023","Mackerel","M2","0",0
"2019","2023","Mackerel","M2","0",0
"2020","2023","Mackerel","M2","0",0
"2021","2023","Mackerel","M2","0",0
"2022","2023","Mackerel","M2","0",0
"1974","2020","N.sandeel","M2","0",1.18145888640446
"1975","2020","N.sandeel","M2","0",0.971913294860368
"1976","2020","N.sandeel","M2","0",0.831330553355476
"1977","2020","N.sandeel","M2","0",0.758160668885094
"1978","2020","N.sandeel","M2","0",0.746110593566376
"1979","2020","N.sandeel","M2","0",0.85005659462764
"1980","2020","N.sandeel","M2","0",0.991459378216332
"1981","2020","N.sandeel","M2","0",1.04175320244892
"1982","2020","N.sandeel","M2","0",1.06566241779609
"1983","2020","N.sandeel","M2","0",0.924781206740473
"1984","2020","N.sandeel","M2","0",0.753584822154728
"1985","2020","N.sandeel","M2","0",0.606124305356244
"1986","2020","N.sandeel","M2","0",0.948592291921422
"1987","2020","N.sandeel","M2","0",0.842553362326751
"1988","2020","N.sandeel","M2","0",1.04402194507733
"1989","2020","N.sandeel","M2","0",0.845759215856961
"1990","2020","N.sandeel","M2","0",0.862759169089743
"1991","2020","N.sandeel","M2","0",1.23138085926307
"1992","2020","N.sandeel","M2","0",0.868942395795278
"1993","2020","N.sandeel","M2","0",1.26357161151584
"1994","2020","N.sandeel","M2","0",1.16624255806203
"1995","2020","N.sandeel","M2","0",1.03487759472877
"1996","2020","N.sandeel","M2","0",0.816830884102743
"1997","2020","N.sandeel","M2","0",1.13743529731317
"1998","2020","N.sandeel","M2","0",0.993409286565054
"1999","2020","N.sandeel","M2","0",0.549285939172025
"2000","2020","N.sandeel","M2","0",1.0643334178517
"2001","2020","N.sandeel","M2","0",0.960281529387506
"2002","2020","N.sandeel","M2","0",1.02081330606105
"2003","2020","N.sandeel","M2","0",0.987646248350122
"2004","2020","N.sandeel","M2","0",0.951555321835635
"2005","2020","N.sandeel","M2","0",1.27947003732477
"2006","2020","N.sandeel","M2","0",1.02177790234393
"2007","2020","N.sandeel","M2","0",1.00846001353514
"2008","2020","N.sandeel","M2","0",0.978519941207413
"2009","2020","N.sandeel","M2","0",0.760093933491766
"2010","2020","N.sandeel","M2","0",1.01074395322811
"2011","2020","N.sandeel","M2","0",1.09223189665814
"2012","2020","N.sandeel","M2","0",0.909193984431773
"2013","2020","N.sandeel","M2","0",0.771286410388746
"2014","2020","N.sandeel","M2","0",0.879042421475808
"2015","2020","N.sandeel","M2","0",0.847479591650486
"2016","2020","N.sandeel","M2","0",0.830331386509768
"2017","2020","N.sandeel","M2","0",0.810340098745758
"2018","2020","N.sandeel","M2","0",0.755892043043298
"2019","2020","N.sandeel","M2","0",0.575208613467802
"1974","2023","N.sandeel","M2","0",1.39740891353886
"1975","2023","N.sandeel","M2","0",1.00507124220308
"1976","2023","N.sandeel","M2","0",0.833116351839265
"1977","2023","N.sandeel","M2","0",0.711348250003148
"1978","2023","N.sandeel","M2","0",0.758502310207737
"1979","2023","N.sandeel","M2","0",0.871749134261569
"1980","2023","N.sandeel","M2","0",0.946783791773011
"1981","2023","N.sandeel","M2","0",1.09299802352495
"1982","2023","N.sandeel","M2","0",0.793597010266118
"1983","2023","N.sandeel","M2","0",0.809462505149311
"1984","2023","N.sandeel","M2","0",0.828922420612498
"1985","2023","N.sandeel","M2","0",0.680938575058555
"1986","2023","N.sandeel","M2","0",0.894367014328059
"1987","2023","N.sandeel","M2","0",1.12803090302576
"1988","2023","N.sandeel","M2","0",0.956073120685638
"1989","2023","N.sandeel","M2","0",1.08345005617059
"1990","2023","N.sandeel","M2","0",1.08345614092215
"1991","2023","N.sandeel","M2","0",1.09312803463904
"1992","2023","N.sandeel","M2","0",1.32899196843567
"1993","2023","N.sandeel","M2","0",1.14129262528866
"1994","2023","N.sandeel","M2","0",1.12435778993049
"1995","2023","N.sandeel","M2","0",1.24951410619663
"1996","2023","N.sandeel","M2","0",0.659231453837271
"1997","2023","N.sandeel","M2","0",0.877585371681401
"1998","2023","N.sandeel","M2","0",0.724629217614893
"1999","2023","N.sandeel","M2","0",0.902164667242981
"2000","2023","N.sandeel","M2","0",1.00002452764493
"2001","2023","N.sandeel","M2","0",0.958337890995146
"2002","2023","N.sandeel","M2","0",0.966222810760714
"2003","2023","N.sandeel","M2","0",0.888317660848768
"2004","2023","N.sandeel","M2","0",0.820500141307727
"2005","2023","N.sandeel","M2","0",0.958399768351697
"2006","2023","N.sandeel","M2","0",0.921031239476807
"2007","2023","N.sandeel","M2","0",0.903988416294019
"2008","2023","N.sandeel","M2","0",0.824509355819782
"2009","2023","N.sandeel","M2","0",0.724673569982795
"2010","2023","N.sandeel","M2","0",0.778376222284606
"2011","2023","N.sandeel","M2","0",0.916138934059217
"2012","2023","N.sandeel","M2","0",0.880799864005012
"2013","2023","N.sandeel","M2","0",0.734265115402709
"2014","2023","N.sandeel","M2","0",0.746224788295057
"2015","2023","N.sandeel","M2","0",0.884602243911959
"2016","2023","N.sandeel","M2","0",0.708877875837833
"2017","2023","N.sandeel","M2","0",0.776674136859716
"2018","2023","N.sandeel","M2","0",0.723264091638911
"2019","2023","N.sandeel","M2","0",0.715968310327045
"2020","2023","N.sandeel","M2","0",0.953921843241651
"2021","2023","N.sandeel","M2","0",1.02196944337261
"2022","2023","N.sandeel","M2","0",0.973436265957684
"1974","2020","Nor.pout","M2","0",1.09574147009909
"1975","2020","Nor.pout","M2","0",1.16010531468439
"1976","2020","Nor.pout","M2","0",1.08704732199758
"1977","2020","Nor.pout","M2","0",1.02776267327987
"1978","2020","Nor.pout","M2","0",0.823062881586515
"1979","2020","Nor.pout","M2","0",0.781937840139832
"1980","2020","Nor.pout","M2","0",1.09618966971194
"1981","2020","Nor.pout","M2","0",1.14596732707078
"1982","2020","Nor.pout","M2","0",1.03143069979824
"1983","2020","Nor.pout","M2","0",0.900283078713242
"1984","2020","Nor.pout","M2","0",1.14461933043467
"1985","2020","Nor.pout","M2","0",1.0926812232624
"1986","2020","Nor.pout","M2","0",1.13822532714565
"1987","2020","Nor.pout","M2","0",1.47319477801904
"1988","2020","Nor.pout","M2","0",1.12689251244548
"1989","2020","Nor.pout","M2","0",1.16333348964007
"1990","2020","Nor.pout","M2","0",1.03455318321875
"1991","2020","Nor.pout","M2","0",0.998937939018955
"1992","2020","Nor.pout","M2","0",1.27662610197535
"1993","2020","Nor.pout","M2","0",1.1565338754998
"1994","2020","Nor.pout","M2","0",0.921906536356775
"1995","2020","Nor.pout","M2","0",1.25785566144155
"1996","2020","Nor.pout","M2","0",0.889167424067158
"1997","2020","Nor.pout","M2","0",1.1115092605473
"1998","2020","Nor.pout","M2","0",1.16393125909615
"1999","2020","Nor.pout","M2","0",0.951630598816738
"2000","2020","Nor.pout","M2","0",1.17559683207875
"2001","2020","Nor.pout","M2","0",1.3021223083424
"2002","2020","Nor.pout","M2","0",1.36825538934761
"2003","2020","Nor.pout","M2","0",1.32865129929933
"2004","2020","Nor.pout","M2","0",1.36858965366669
"2005","2020","Nor.pout","M2","0",1.20661721637145
"2006","2020","Nor.pout","M2","0",1.27200644048457
"2007","2020","Nor.pout","M2","0",1.2845979177439
"2008","2020","Nor.pout","M2","0",1.18722289900128
"2009","2020","Nor.pout","M2","0",0.936256085744258
"2010","2020","Nor.pout","M2","0",1.19667687908014
"2011","2020","Nor.pout","M2","0",1.4583337052424
"2012","2020","Nor.pout","M2","0",1.26634752433576
"2013","2020","Nor.pout","M2","0",1.2753242403565
"2014","2020","Nor.pout","M2","0",1.13993451369258
"2015","2020","Nor.pout","M2","0",1.31327662186554
"2016","2020","Nor.pout","M2","0",1.255116608971
"2017","2020","Nor.pout","M2","0",1.35842170387523
"2018","2020","Nor.pout","M2","0",1.13575827827215
"2019","2020","Nor.pout","M2","0",0.808613148648108
"1974","2023","Nor.pout","M2","0",0.92915966722186
"1975","2023","Nor.pout","M2","0",1.02023110966706
"1976","2023","Nor.pout","M2","0",1.02896960909355
"1977","2023","Nor.pout","M2","0",0.893297677540507
"1978","2023","Nor.pout","M2","0",0.844754452602956
"1979","2023","Nor.pout","M2","0",0.743224015058356
"1980","2023","Nor.pout","M2","0",0.98203999906079
"1981","2023","Nor.pout","M2","0",1.11860759194582
"1982","2023","Nor.pout","M2","0",0.885182435338834
"1983","2023","Nor.pout","M2","0",0.710173649464575
"1984","2023","Nor.pout","M2","0",0.924967877878607
"1985","2023","Nor.pout","M2","0",0.917892667506528
"1986","2023","Nor.pout","M2","0",1.0165375680685
"1987","2023","Nor.pout","M2","0",1.11459285039661
"1988","2023","Nor.pout","M2","0",0.981911348791459
"1989","2023","Nor.pout","M2","0",0.968015232756704
"1990","2023","Nor.pout","M2","0",0.91058192534405
"1991","2023","Nor.pout","M2","0",0.8093222876446
"1992","2023","Nor.pout","M2","0",1.02567796952807
"1993","2023","Nor.pout","M2","0",0.984395279496681
"1994","2023","Nor.pout","M2","0",0.838916852567372
"1995","2023","Nor.pout","M2","0",1.10117046812101
"1996","2023","Nor.pout","M2","0",0.814136175639624
"1997","2023","Nor.pout","M2","0",0.951525877906629
"1998","2023","Nor.pout","M2","0",0.987680946756107
"1999","2023","Nor.pout","M2","0",0.876934305820854
"2000","2023","Nor.pout","M2","0",1.01466444983078
"2001","2023","Nor.pout","M2","0",1.18616683522419
"2002","2023","Nor.pout","M2","0",1.15209698856577
"2003","2023","Nor.pout","M2","0",1.08750615361646
"2004","2023","Nor.pout","M2","0",1.14822418042376
"2005","2023","Nor.pout","M2","0",1.058398066468
"2006","2023","Nor.pout","M2","0",1.16438928579012
"2007","2023","Nor.pout","M2","0",1.16958042138917
"2008","2023","Nor.pout","M2","0",1.13338851522949
"2009","2023","Nor.pout","M2","0",0.976998945151578
"2010","2023","Nor.pout","M2","0",1.1665950460087
"2011","2023","Nor.pout","M2","0",1.39090671541289
"2012","2023","Nor.pout","M2","0",1.22237427087176
"2013","2023","Nor.pout","M2","0",1.26738393278684
"2014","2023","Nor.pout","M2","0",1.08747451308328
"2015","2023","Nor.pout","M2","0",1.17589478177445
"2016","2023","Nor.pout","M2","0",1.17877765112483
"2017","2023","Nor.pout","M2","0",1.35491043084542
"2018","2023","Nor.pout","M2","0",1.07793917357025
"2019","2023","Nor.pout","M2","0",0.880117469097433
"2020","2023","Nor.pout","M2","0",1.02772502897723
"2021","2023","Nor.pout","M2","0",1.13390703147654
"2022","2023","Nor.pout","M2","0",1.20898466416169
