Predator,Species.n,Year,Quarter,Age,StockAbundance,MaenWeightInTheSea,FoodRation
Fulmar,1,1973,4,0,0,-1,0
Fulmar,1,1973,4,1,2086,5,34.42
Fulmar,1,1974,1,1,1397,5,34.42
Fulmar,1,1974,2,1,1832,5,28.72
Fulmar,1,1974,3,0,0,-1,0
Fulmar,1,1974,3,1,2290,5,27.091
Fulmar,1,1974,4,0,0,-1,0
Fulmar,1,1974,4,1,2139,5,34.42
Fulmar,1,1975,1,1,1427,5,34.42
Fulmar,1,1975,2,1,1870,5,28.72
Fulmar,1,1975,3,0,0,-1,0
Fulmar,1,1975,3,1,2338,5,27.091
Fulmar,1,1975,4,0,0,-1,0
Fulmar,1,1975,4,1,2184,5,34.42
Fulmar,1,1976,1,1,1451,5,34.42
Fulmar,1,1976,2,1,1902,5,28.72
Fulmar,1,1976,3,0,0,-1,0
Fulmar,1,1976,3,1,2378,5,27.091
Fulmar,1,1976,4,0,0,-1,0
Fulmar,1,1976,4,1,2221,5,34.42
Fulmar,1,1977,1,1,1471,5,34.42
Fulmar,1,1977,2,1,1928,5,28.72
Fulmar,1,1977,3,0,0,-1,0
Fulmar,1,1977,3,1,2411,5,27.091
Fulmar,1,1977,4,0,0,-1,0
Fulmar,1,1977,4,1,2252,5,34.42
Fulmar,1,1978,1,1,1487,5,34.42
Fulmar,1,1978,2,1,1950,5,28.72
Fulmar,1,1978,3,0,0,-1,0
Fulmar,1,1978,3,1,2438,5,27.091
Fulmar,1,1978,4,0,0,-1,0
Fulmar,1,1978,4,1,2277,5,34.42
Fulmar,1,1979,1,1,1501,5,34.42
Fulmar,1,1979,2,1,1967,5,28.72
Fulmar,1,1979,3,0,0,-1,0
Fulmar,1,1979,3,1,2460,5,27.091
Fulmar,1,1979,4,0,0,-1,0
Fulmar,1,1979,4,1,2297,5,34.42
Fulmar,1,1980,1,1,1512,5,34.42
Fulmar,1,1980,2,1,1981,5,28.72
Fulmar,1,1980,3,0,0,-1,0
Fulmar,1,1980,3,1,2477,5,27.091
Fulmar,1,1980,4,0,0,-1,0
Fulmar,1,1980,4,1,2314,5,34.42
Fulmar,1,1981,1,1,1520,5,34.42
Fulmar,1,1981,2,1,1993,5,28.72
Fulmar,1,1981,3,0,0,-1,0
Fulmar,1,1981,3,1,2492,5,27.091
Fulmar,1,1981,4,0,0,-1,0
Fulmar,1,1981,4,1,2328,5,34.42
Fulmar,1,1982,1,1,1528,5,34.42
Fulmar,1,1982,2,1,2002,5,28.72
Fulmar,1,1982,3,0,0,-1,0
Fulmar,1,1982,3,1,2504,5,27.091
Fulmar,1,1982,4,0,0,-1,0
Fulmar,1,1982,4,1,2339,5,34.42
Fulmar,1,1983,1,1,1533,5,34.42
Fulmar,1,1983,2,1,2010,5,28.72
Fulmar,1,1983,3,0,0,-1,0
Fulmar,1,1983,3,1,2513,5,27.091
Fulmar,1,1983,4,0,0,-1,0
Fulmar,1,1983,4,1,2347,5,34.42
Fulmar,1,1984,1,1,1538,5,34.42
Fulmar,1,1984,2,1,2016,5,28.72
Fulmar,1,1984,3,0,0,-1,0
Fulmar,1,1984,3,1,2521,5,27.091
Fulmar,1,1984,4,0,0,-1,0
Fulmar,1,1984,4,1,2355,5,34.42
Fulmar,1,1985,1,1,1542,5,34.42
Fulmar,1,1985,2,1,2021,5,28.72
Fulmar,1,1985,3,0,0,-1,0
Fulmar,1,1985,3,1,2527,5,27.091
Fulmar,1,1985,4,0,0,-1,0
Fulmar,1,1985,4,1,2360,5,34.42
Fulmar,1,1986,1,1,1535,5,34.42
Fulmar,1,1986,2,1,2013,5,28.72
Fulmar,1,1986,3,0,0,-1,0
Fulmar,1,1986,3,1,2516,5,27.091
Fulmar,1,1986,4,0,0,-1,0
Fulmar,1,1986,4,1,2350,5,34.42
Fulmar,1,1987,1,1,1527,5,34.42
Fulmar,1,1987,2,1,2002,5,28.72
Fulmar,1,1987,3,0,0,-1,0
Fulmar,1,1987,3,1,2502,5,27.091
Fulmar,1,1987,4,0,0,-1,0
Fulmar,1,1987,4,1,2335,5,34.42
Fulmar,1,1988,1,1,1514,5,34.42
Fulmar,1,1988,2,1,1986,5,28.72
Fulmar,1,1988,3,0,0,-1,0
Fulmar,1,1988,3,1,2481,5,27.091
Fulmar,1,1988,4,0,0,-1,0
Fulmar,1,1988,4,1,2313,5,34.42
Fulmar,1,1989,1,1,1497,5,34.42
Fulmar,1,1989,2,1,1965,5,28.72
Fulmar,1,1989,3,0,0,-1,0
Fulmar,1,1989,3,1,2453,5,27.091
Fulmar,1,1989,4,0,0,-1,0
Fulmar,1,1989,4,1,2283,5,34.42
Fulmar,1,1990,1,1,1473,5,34.42
Fulmar,1,1990,2,1,1936,5,28.72
Fulmar,1,1990,3,0,0,-1,0
Fulmar,1,1990,3,1,2413,5,27.091
Fulmar,1,1990,4,0,0,-1,0
Fulmar,1,1990,4,1,2239,5,34.42
Fulmar,1,1991,1,1,1440,5,34.42
Fulmar,1,1991,2,1,1896,5,28.72
Fulmar,1,1991,3,0,0,-1,0
Fulmar,1,1991,3,1,2358,5,27.091
Fulmar,1,1991,4,0,0,-1,0
Fulmar,1,1991,4,1,2179,5,34.42
Fulmar,1,1992,1,1,1395,5,34.42
Fulmar,1,1992,2,1,1843,5,28.72
Fulmar,1,1992,3,0,0,-1,0
Fulmar,1,1992,3,1,2284,5,27.091
Fulmar,1,1992,4,0,0,-1,0
Fulmar,1,1992,4,1,2095,5,34.42
Fulmar,1,1993,1,1,1335,5,34.42
Fulmar,1,1993,2,1,1771,5,28.72
Fulmar,1,1993,3,0,0,-1,0
Fulmar,1,1993,3,1,2184,5,27.091
Fulmar,1,1993,4,0,0,-1,0
Fulmar,1,1993,4,1,1982,5,34.42
Fulmar,1,1994,1,1,1256,5,34.42
Fulmar,1,1994,2,1,1678,5,28.72
Fulmar,1,1994,3,0,0,-1,0
Fulmar,1,1994,3,1,2054,5,27.091
Fulmar,1,1994,4,0,0,-1,0
Fulmar,1,1994,4,1,1833,5,34.42
Fulmar,1,1995,1,1,1156,5,34.42
Fulmar,1,1995,2,1,1560,5,28.72
Fulmar,1,1995,3,0,0,-1,0
Fulmar,1,1995,3,1,1888,5,27.091
Fulmar,1,1995,4,0,0,-1,0
Fulmar,1,1995,4,1,1645,5,34.42
Fulmar,1,1996,1,1,1085,5,34.42
Fulmar,1,1996,2,1,1484,5,28.72
Fulmar,1,1996,3,0,0,-1,0
Fulmar,1,1996,3,1,1769,5,27.091
Fulmar,1,1996,4,0,0,-1,0
Fulmar,1,1996,4,1,1489,5,34.42
Fulmar,1,1997,1,1,1023,5,34.42
Fulmar,1,1997,2,1,1427,5,28.72
Fulmar,1,1997,3,0,0,-1,0
Fulmar,1,1997,3,1,1664,5,27.091
Fulmar,1,1997,4,0,0,-1,0
Fulmar,1,1997,4,1,1336,5,34.42
Fulmar,1,1998,1,1,972,5,34.42
Fulmar,1,1998,2,1,1355,5,28.72
Fulmar,1,1998,3,0,0,-1,0
Fulmar,1,1998,3,1,1581,5,27.091
Fulmar,1,1998,4,0,0,-1,0
Fulmar,1,1998,4,1,1269,5,34.42
Fulmar,1,1999,1,1,921,5,34.42
Fulmar,1,1999,2,1,1284,5,28.72
Fulmar,1,1999,3,0,0,-1,0
Fulmar,1,1999,3,1,1498,5,27.091
Fulmar,1,1999,4,0,0,-1,0
Fulmar,1,1999,4,1,1203,5,34.42
Fulmar,1,2000,1,1,871,5,34.42
Fulmar,1,2000,2,1,1214,5,28.72
Fulmar,1,2000,3,0,0,-1,0
Fulmar,1,2000,3,1,1416,5,27.091
Fulmar,1,2000,4,0,0,-1,0
Fulmar,1,2000,4,1,1137,5,34.42
Fulmar,1,2001,1,1,865,5,34.42
Fulmar,1,2001,2,1,1205,5,28.72
Fulmar,1,2001,3,0,0,-1,0
Fulmar,1,2001,3,1,1406,5,27.091
Fulmar,1,2001,4,0,0,-1,0
Fulmar,1,2001,4,1,1129,5,34.42
Fulmar,1,2002,1,1,858,5,34.42
Fulmar,1,2002,2,1,1197,5,28.72
Fulmar,1,2002,3,0,0,-1,0
Fulmar,1,2002,3,1,1396,5,27.091
Fulmar,1,2002,4,0,0,-1,0
Fulmar,1,2002,4,1,1121,5,34.42
Fulmar,1,2003,1,1,852,5,34.42
Fulmar,1,2003,2,1,1188,5,28.72
Fulmar,1,2003,3,0,0,-1,0
Fulmar,1,2003,3,1,1385,5,27.091
Fulmar,1,2003,4,0,0,-1,0
Fulmar,1,2003,4,1,1112,5,34.42
Fulmar,1,2004,1,1,814,5,34.42
Fulmar,1,2004,2,1,1152,5,28.72
Fulmar,1,2004,3,0,0,-1,0
Fulmar,1,2004,3,1,1351,5,27.091
Fulmar,1,2004,4,0,0,-1,0
Fulmar,1,2004,4,1,1068,5,34.42
Fulmar,1,2005,1,1,777,5,34.42
Fulmar,1,2005,2,1,1115,5,28.72
Fulmar,1,2005,3,0,0,-1,0
Fulmar,1,2005,3,1,1317,5,27.091
Fulmar,1,2005,4,0,0,-1,0
Fulmar,1,2005,4,1,1023,5,34.42
Fulmar,1,2006,1,1,739,5,34.42
Fulmar,1,2006,2,1,1079,5,28.72
Fulmar,1,2006,3,0,0,-1,0
Fulmar,1,2006,3,1,1284,5,27.091
Fulmar,1,2006,4,0,0,-1,0
Fulmar,1,2006,4,1,979,5,34.42
Fulmar,1,2007,1,1,702,5,34.42
Fulmar,1,2007,2,1,1042,5,28.72
Fulmar,1,2007,3,0,0,-1,0
Fulmar,1,2007,3,1,1250,5,27.091
Fulmar,1,2007,4,0,0,-1,0
Fulmar,1,2007,4,1,934,5,34.42
Fulmar,1,2008,1,1,664,5,34.42
Fulmar,1,2008,2,1,1006,5,28.72
Fulmar,1,2008,3,0,0,-1,0
Fulmar,1,2008,3,1,1216,5,27.091
Fulmar,1,2008,4,0,0,-1,0
Fulmar,1,2008,4,1,890,5,34.42
Fulmar,1,2009,1,1,627,5,34.42
Fulmar,1,2009,2,1,969,5,28.72
Fulmar,1,2009,3,0,0,-1,0
Fulmar,1,2009,3,1,1182,5,27.091
Fulmar,1,2009,4,0,0,-1,0
Fulmar,1,2009,4,1,845,5,34.42
Fulmar,1,2010,1,1,589,5,34.42
Fulmar,1,2010,2,1,933,5,28.72
Fulmar,1,2010,3,0,0,-1,0
Fulmar,1,2010,3,1,1148,5,27.091
Fulmar,1,2010,4,0,0,-1,0
Fulmar,1,2010,4,1,801,5,34.42
Guillemot,2,1963,1,1,1165,5,32.456
Guillemot,2,1963,2,1,1038,5,32.258
Guillemot,2,1963,3,0,0,-1,0
Guillemot,2,1963,3,1,1318,5,32.828
Guillemot,2,1963,4,0,0,-1,0
Guillemot,2,1963,4,1,1250,5,32.148
Guillemot,2,1964,1,1,1164,5,32.456
Guillemot,2,1964,2,1,1076,5,32.258
Guillemot,2,1964,3,0,0,-1,0
Guillemot,2,1964,3,1,1344,5,32.828
Guillemot,2,1964,4,0,0,-1,0
Guillemot,2,1964,4,1,1250,5,32.148
Guillemot,2,1965,1,1,1164,5,32.456
Guillemot,2,1965,2,1,1114,5,32.258
Guillemot,2,1965,3,0,0,-1,0
Guillemot,2,1965,3,1,1370,5,32.828
Guillemot,2,1965,4,0,0,-1,0
Guillemot,2,1965,4,1,1251,5,32.148
Guillemot,2,1966,1,1,1164,5,32.456
Guillemot,2,1966,2,1,1152,5,32.258
Guillemot,2,1966,3,0,0,-1,0
Guillemot,2,1966,3,1,1395,5,32.828
Guillemot,2,1966,4,0,0,-1,0
Guillemot,2,1966,4,1,1251,5,32.148
Guillemot,2,1967,1,1,1164,5,32.456
Guillemot,2,1967,2,1,1190,5,32.258
Guillemot,2,1967,3,0,0,-1,0
Guillemot,2,1967,3,1,1421,5,32.828
Guillemot,2,1967,4,0,0,-1,0
Guillemot,2,1967,4,1,1251,5,32.148
Guillemot,2,1968,1,1,1164,5,32.456
Guillemot,2,1968,2,1,1228,5,32.258
Guillemot,2,1968,3,0,0,-1,0
Guillemot,2,1968,3,1,1447,5,32.828
Guillemot,2,1968,4,0,0,-1,0
Guillemot,2,1968,4,1,1251,5,32.148
Guillemot,2,1969,1,1,1164,5,32.456
Guillemot,2,1969,2,1,1266,5,32.258
Guillemot,2,1969,3,0,0,-1,0
Guillemot,2,1969,3,1,1473,5,32.828
Guillemot,2,1969,4,0,0,-1,0
Guillemot,2,1969,4,1,1252,5,32.148
Guillemot,2,1970,1,1,1164,5,32.456
Guillemot,2,1970,2,1,1304,5,32.258
Guillemot,2,1970,3,0,0,-1,0
Guillemot,2,1970,3,1,1498,5,32.828
Guillemot,2,1970,4,0,0,-1,0
Guillemot,2,1970,4,1,1252,5,32.148
Guillemot,2,1971,1,1,1164,5,32.456
Guillemot,2,1971,2,1,1341,5,32.258
Guillemot,2,1971,3,0,0,-1,0
Guillemot,2,1971,3,1,1524,5,32.828
Guillemot,2,1971,4,0,0,-1,0
Guillemot,2,1971,4,1,1252,5,32.148
Guillemot,2,1972,1,1,1164,5,32.456
Guillemot,2,1972,2,1,1379,5,32.258
Guillemot,2,1972,3,0,0,-1,0
Guillemot,2,1972,3,1,1550,5,32.828
Guillemot,2,1972,4,0,0,-1,0
Guillemot,2,1972,4,1,1252,5,32.148
Guillemot,2,1973,1,1,1164,5,32.456
Guillemot,2,1973,2,1,1417,5,32.258
Guillemot,2,1973,3,0,0,-1,0
Guillemot,2,1973,3,1,1575,5,32.828
Guillemot,2,1973,4,0,0,-1,0
Guillemot,2,1973,4,1,1253,5,32.148
Guillemot,2,1974,1,1,1163,5,32.456
Guillemot,2,1974,2,1,1455,5,32.258
Guillemot,2,1974,3,0,0,-1,0
Guillemot,2,1974,3,1,1601,5,32.828
Guillemot,2,1974,4,0,0,-1,0
Guillemot,2,1974,4,1,1253,5,32.148
Guillemot,2,1975,1,1,1163,5,32.456
Guillemot,2,1975,2,1,1493,5,32.258
Guillemot,2,1975,3,0,0,-1,0
Guillemot,2,1975,3,1,1627,5,32.828
Guillemot,2,1975,4,0,0,-1,0
Guillemot,2,1975,4,1,1253,5,32.148
Guillemot,2,1976,1,1,1163,5,32.456
Guillemot,2,1976,2,1,1531,5,32.258
Guillemot,2,1976,3,0,0,-1,0
Guillemot,2,1976,3,1,1653,5,32.828
Guillemot,2,1976,4,0,0,-1,0
Guillemot,2,1976,4,1,1253,5,32.148
Guillemot,2,1977,1,1,1163,5,32.456
Guillemot,2,1977,2,1,1569,5,32.258
Guillemot,2,1977,3,0,0,-1,0
Guillemot,2,1977,3,1,1678,5,32.828
Guillemot,2,1977,4,0,0,-1,0
Guillemot,2,1977,4,1,1254,5,32.148
Guillemot,2,1978,1,1,1163,5,32.456
Guillemot,2,1978,2,1,1607,5,32.258
Guillemot,2,1978,3,0,0,-1,0
Guillemot,2,1978,3,1,1704,5,32.828
Guillemot,2,1978,4,0,0,-1,0
Guillemot,2,1978,4,1,1254,5,32.148
Guillemot,2,1979,1,1,1163,5,32.456
Guillemot,2,1979,2,1,1645,5,32.258
Guillemot,2,1979,3,0,0,-1,0
Guillemot,2,1979,3,1,1730,5,32.828
Guillemot,2,1979,4,0,0,-1,0
Guillemot,2,1979,4,1,1254,5,32.148
Guillemot,2,1980,1,1,1163,5,32.456
Guillemot,2,1980,2,1,1683,5,32.258
Guillemot,2,1980,3,0,0,-1,0
Guillemot,2,1980,3,1,1755,5,32.828
Guillemot,2,1980,4,0,0,-1,0
Guillemot,2,1980,4,1,1254,5,32.148
Guillemot,2,1981,1,1,1163,5,32.456
Guillemot,2,1981,2,1,1721,5,32.258
Guillemot,2,1981,3,0,0,-1,0
Guillemot,2,1981,3,1,1781,5,32.828
Guillemot,2,1981,4,0,0,-1,0
Guillemot,2,1981,4,1,1255,5,32.148
Guillemot,2,1982,1,1,1163,5,32.456
Guillemot,2,1982,2,1,1759,5,32.258
Guillemot,2,1982,3,0,0,-1,0
Guillemot,2,1982,3,1,1807,5,32.828
Guillemot,2,1982,4,0,0,-1,0
Guillemot,2,1982,4,1,1255,5,32.148
Guillemot,2,1983,1,1,1162,5,32.456
Guillemot,2,1983,2,1,1796,5,32.258
Guillemot,2,1983,3,0,0,-1,0
Guillemot,2,1983,3,1,1832,5,32.828
Guillemot,2,1983,4,0,0,-1,0
Guillemot,2,1983,4,1,1255,5,32.148
Guillemot,2,1984,1,1,1162,5,32.456
Guillemot,2,1984,2,1,1834,5,32.258
Guillemot,2,1984,3,0,0,-1,0
Guillemot,2,1984,3,1,1858,5,32.828
Guillemot,2,1984,4,0,0,-1,0
Guillemot,2,1984,4,1,1255,5,32.148
Guillemot,2,1985,1,1,1162,5,32.456
Guillemot,2,1985,2,1,1872,5,32.258
Guillemot,2,1985,3,0,0,-1,0
Guillemot,2,1985,3,1,1884,5,32.828
Guillemot,2,1985,4,0,0,-1,0
Guillemot,2,1985,4,1,1256,5,32.148
Guillemot,2,1986,1,1,1162,5,32.456
Guillemot,2,1986,2,1,1910,5,32.258
Guillemot,2,1986,3,0,0,-1,0
Guillemot,2,1986,3,1,1910,5,32.828
Guillemot,2,1986,4,0,0,-1,0
Guillemot,2,1986,4,1,1256,5,32.148
Guillemot,2,1987,1,1,1162,5,32.456
Guillemot,2,1987,2,1,1948,5,32.258
Guillemot,2,1987,3,0,0,-1,0
Guillemot,2,1987,3,1,1935,5,32.828
Guillemot,2,1987,4,0,0,-1,0
Guillemot,2,1987,4,1,1256,5,32.148
Guillemot,2,1988,1,1,1162,5,32.456
Guillemot,2,1988,2,1,1986,5,32.258
Guillemot,2,1988,3,0,0,-1,0
Guillemot,2,1988,3,1,1961,5,32.828
Guillemot,2,1988,4,0,0,-1,0
Guillemot,2,1988,4,1,1256,5,32.148
Guillemot,2,1989,1,1,1162,5,32.456
Guillemot,2,1989,2,1,2024,5,32.258
Guillemot,2,1989,3,0,0,-1,0
Guillemot,2,1989,3,1,1987,5,32.828
Guillemot,2,1989,4,0,0,-1,0
Guillemot,2,1989,4,1,1257,5,32.148
Guillemot,2,1990,1,1,1162,5,32.456
Guillemot,2,1990,2,1,2062,5,32.258
Guillemot,2,1990,3,0,0,-1,0
Guillemot,2,1990,3,1,2012,5,32.828
Guillemot,2,1990,4,0,0,-1,0
Guillemot,2,1990,4,1,1257,5,32.148
Guillemot,2,1991,1,1,1162,5,32.456
Guillemot,2,1991,2,1,2100,5,32.258
Guillemot,2,1991,3,0,0,-1,0
Guillemot,2,1991,3,1,2038,5,32.828
Guillemot,2,1991,4,0,0,-1,0
Guillemot,2,1991,4,1,1257,5,32.148
Guillemot,2,1992,1,1,1162,5,32.456
Guillemot,2,1992,2,1,2138,5,32.258
Guillemot,2,1992,3,0,0,-1,0
Guillemot,2,1992,3,1,2064,5,32.828
Guillemot,2,1992,4,0,0,-1,0
Guillemot,2,1992,4,1,1257,5,32.148
Guillemot,2,1993,1,1,1161,5,32.456
Guillemot,2,1993,2,1,2176,5,32.258
Guillemot,2,1993,3,0,0,-1,0
Guillemot,2,1993,3,1,2090,5,32.828
Guillemot,2,1993,4,0,0,-1,0
Guillemot,2,1993,4,1,1258,5,32.148
Guillemot,2,1994,1,1,1161,5,32.456
Guillemot,2,1994,2,1,2214,5,32.258
Guillemot,2,1994,3,0,0,-1,0
Guillemot,2,1994,3,1,2115,5,32.828
Guillemot,2,1994,4,0,0,-1,0
Guillemot,2,1994,4,1,1258,5,32.148
Guillemot,2,1995,1,1,1161,5,32.456
Guillemot,2,1995,2,1,2251,5,32.258
Guillemot,2,1995,3,0,0,-1,0
Guillemot,2,1995,3,1,2141,5,32.828
Guillemot,2,1995,4,0,0,-1,0
Guillemot,2,1995,4,1,1258,5,32.148
Guillemot,2,1996,1,1,1161,5,32.456
Guillemot,2,1996,2,1,2289,5,32.258
Guillemot,2,1996,3,0,0,-1,0
Guillemot,2,1996,3,1,2167,5,32.828
Guillemot,2,1996,4,0,0,-1,0
Guillemot,2,1996,4,1,1258,5,32.148
Guillemot,2,1997,1,1,1161,5,32.456
Guillemot,2,1997,2,1,2327,5,32.258
Guillemot,2,1997,3,0,0,-1,0
Guillemot,2,1997,3,1,2192,5,32.828
Guillemot,2,1997,4,0,0,-1,0
Guillemot,2,1997,4,1,1259,5,32.148
Guillemot,2,1998,1,1,1161,5,32.456
Guillemot,2,1998,2,1,2365,5,32.258
Guillemot,2,1998,3,0,0,-1,0
Guillemot,2,1998,3,1,2218,5,32.828
Guillemot,2,1998,4,0,0,-1,0
Guillemot,2,1998,4,1,1259,5,32.148
Guillemot,2,1999,1,1,1161,5,32.456
Guillemot,2,1999,2,1,2403,5,32.258
Guillemot,2,1999,3,0,0,-1,0
Guillemot,2,1999,3,1,2244,5,32.828
Guillemot,2,1999,4,0,0,-1,0
Guillemot,2,1999,4,1,1259,5,32.148
Guillemot,2,2000,1,1,1161,5,32.456
Guillemot,2,2000,2,1,2441,5,32.258
Guillemot,2,2000,3,0,0,-1,0
Guillemot,2,2000,3,1,2270,5,32.828
Guillemot,2,2000,4,0,0,-1,0
Guillemot,2,2000,4,1,1259,5,32.148
Guillemot,2,2001,1,1,1161,5,32.456
Guillemot,2,2001,2,1,2479,5,32.258
Guillemot,2,2001,3,0,0,-1,0
Guillemot,2,2001,3,1,2295,5,32.828
Guillemot,2,2001,4,0,0,-1,0
Guillemot,2,2001,4,1,1260,5,32.148
Guillemot,2,2002,1,1,1161,5,32.456
Guillemot,2,2002,2,1,2517,5,32.258
Guillemot,2,2002,3,0,0,-1,0
Guillemot,2,2002,3,1,2321,5,32.828
Guillemot,2,2002,4,0,0,-1,0
Guillemot,2,2002,4,1,1260,5,32.148
Guillemot,2,2003,1,1,1160,5,32.456
Guillemot,2,2003,2,1,2555,5,32.258
Guillemot,2,2003,3,0,0,-1,0
Guillemot,2,2003,3,1,2347,5,32.828
Guillemot,2,2003,4,0,0,-1,0
Guillemot,2,2003,4,1,1260,5,32.148
Guillemot,2,2004,1,1,1180,5,32.456
Guillemot,2,2004,2,1,2557,5,32.258
Guillemot,2,2004,3,0,0,-1,0
Guillemot,2,2004,3,1,2347,5,32.828
Guillemot,2,2004,4,0,0,-1,0
Guillemot,2,2004,4,1,1285,5,32.148
Guillemot,2,2005,1,1,1201,5,32.456
Guillemot,2,2005,2,1,2558,5,32.258
Guillemot,2,2005,3,0,0,-1,0
Guillemot,2,2005,3,1,2347,5,32.828
Guillemot,2,2005,4,0,0,-1,0
Guillemot,2,2005,4,1,1310,5,32.148
Guillemot,2,2006,1,1,1221,5,32.456
Guillemot,2,2006,2,1,2560,5,32.258
Guillemot,2,2006,3,0,0,-1,0
Guillemot,2,2006,3,1,2347,5,32.828
Guillemot,2,2006,4,0,0,-1,0
Guillemot,2,2006,4,1,1336,5,32.148
Guillemot,2,2007,1,1,1241,5,32.456
Guillemot,2,2007,2,1,2561,5,32.258
Guillemot,2,2007,3,0,0,-1,0
Guillemot,2,2007,3,1,2347,5,32.828
Guillemot,2,2007,4,0,0,-1,0
Guillemot,2,2007,4,1,1361,5,32.148
Guillemot,2,2008,1,1,1262,5,32.456
Guillemot,2,2008,2,1,2563,5,32.258
Guillemot,2,2008,3,0,0,-1,0
Guillemot,2,2008,3,1,2347,5,32.828
Guillemot,2,2008,4,0,0,-1,0
Guillemot,2,2008,4,1,1386,5,32.148
Guillemot,2,2009,1,1,1282,5,32.456
Guillemot,2,2009,2,1,2564,5,32.258
Guillemot,2,2009,3,0,0,-1,0
Guillemot,2,2009,3,1,2347,5,32.828
Guillemot,2,2009,4,0,0,-1,0
Guillemot,2,2009,4,1,1411,5,32.148
Guillemot,2,2010,1,1,1303,5,32.456
Guillemot,2,2010,2,1,2566,5,32.258
Guillemot,2,2010,3,0,0,-1,0
Guillemot,2,2010,3,1,2347,5,32.828
Guillemot,2,2010,4,0,0,-1,0
Guillemot,2,2010,4,1,1436,5,32.148
Her. Gull,3,1963,1,1,454,5,28.55
Her. Gull,3,1963,2,1,349,5,33.688
Her. Gull,3,1963,3,0,0,-1,0
Her. Gull,3,1963,3,1,182,5,36.829
Her. Gull,3,1963,4,0,0,-1,0
Her. Gull,3,1963,4,1,641,5,62.3
Her. Gull,3,1964,1,1,478,5,28.55
Her. Gull,3,1964,2,1,366,5,33.688
Her. Gull,3,1964,3,0,0,-1,0
Her. Gull,3,1964,3,1,192,5,36.829
Her. Gull,3,1964,4,0,0,-1,0
Her. Gull,3,1964,4,1,674,5,62.3
Her. Gull,3,1965,1,1,499,5,28.55
Her. Gull,3,1965,2,1,383,5,33.688
Her. Gull,3,1965,3,0,0,-1,0
Her. Gull,3,1965,3,1,200,5,36.829
Her. Gull,3,1965,4,0,0,-1,0
Her. Gull,3,1965,4,1,704,5,62.3
Her. Gull,3,1966,1,1,518,5,28.55
Her. Gull,3,1966,2,1,397,5,33.688
Her. Gull,3,1966,3,0,0,-1,0
