Species,Species.n,Year,Rec,SSB,TSB,SOP,mean.F,EatenBiomass
Whiting,18,1964,28116100,647796,901305,141354,0.496106,688431
Whiting,18,1965,24092300,571104,843677,176282,0.461622,661004
Whiting,18,1966,19073700,431039,663480,242948,0.867698,515216
Whiting,18,1967,38329900,291378,506038,207382,0.623419,513660
Whiting,18,1968,16333500,368255,974607,237353,0.648578,729677
Whiting,18,1969,19995900,830846,1024300,319180,0.569189,675280
Whiting,18,1970,20139200,559473,774023,286329,0.673961,543169
Whiting,18,1971,25365000,326063,571507,174964,0.417863,526885
Whiting,18,1972,46590000,360277,748953,208574,0.679533,832834
Whiting,18,1973,28030700,474798,1087590,286396,0.712991,1052680
Whiting,18,1974,27513000,556872,816108,323086,0.664145,673624
Whiting,18,1975,41610900,442573,824693,276621,0.743812,790931
Whiting,18,1976,45418300,530917,1044160,326300,0.784886,1070390
Whiting,18,1977,39490300,594128,1001910,289804,0.66681,929690
Whiting,18,1978,43386100,494332,950125,205707,0.572116,992038
Whiting,18,1979,38355400,524867,962979,249693,0.521831,881055
Whiting,18,1980,32135200,596713,1143360,223016,0.645173,1022170
Whiting,18,1981,31553500,648082,977465,192216,0.562352,905497
Whiting,18,1982,14225600,425311,621327,140245,0.414737,484997
Whiting,18,1983,18908300,319191,458103,161688,0.528327,377980
Whiting,18,1984,24072000,247963,497587,145637,0.659871,523520
Whiting,18,1985,23596800,304007,486924,100210,0.623993,463847
Whiting,18,1986,30368500,284219,573463,161470,0.780664,584470
Whiting,18,1987,24884900,350979,671173,138909,0.799918,617281
Whiting,18,1988,36347900,386795,619997,133010,0.59533,617429
Whiting,18,1989,38769000,365888,811789,123527,0.715849,854001
Whiting,18,1990,28620400,485733,801811,152421,0.601489,716456
Whiting,18,1991,19740400,427243,675595,125273,0.584235,535543
Whiting,18,1992,24878800,382383,587644,108736,0.486493,522982
Whiting,18,1993,25597300,358732,593004,116872,0.707455,539081
Whiting,18,1994,23550800,333626,570713,101612,0.645485,525320
Whiting,18,1995,24304700,343384,563067,106219,0.544346,541161
Whiting,18,1996,14556000,324666,501416,75995.4,0.509267,412067
Whiting,18,1997,22243300,271200,390704,61438,0.380865,406719
Whiting,18,1998,34953300,223456,371657,47309.2,0.326165,532596
Whiting,18,1999,42292500,214156,438168,60762.2,0.414677,678226
Whiting,18,2000,36684400,258522,488330,64470.6,0.566202,601848
Whiting,18,2001,37559300,339144,576540,44927.6,0.375947,683896
Whiting,18,2002,21074100,350301,566064,46412.4,0.252583,534533
Whiting,18,2003,20972100,324248,418338,45646.5,0.187359,410188
Whiting,18,2004,18088700,241919,330901,32940.1,0.171854,343985
Whiting,18,2005,14896000,178912,278736,28605.1,0.171099,304049
Whiting,18,2006,15660800,156772,253578,35486.9,0.224637,300405
Whiting,18,2007,26072200,152336,247693,27261.6,0.235956,381689
Whiting,18,2008,20743300,159518,337070,29091.6,0.22817,415947
Whiting,18,2009,17711700,232985,389892,27211.1,0.166549,390937
Whiting,18,2010,20606200,311165,454522,31327.4,0.148444,431986
Whiting,18,2011,NA,347069,NA,NA,NA,NA
Haddock,19,1963,2444820,99290.8,1280360,271034,0.703795,621903
Haddock,19,1964,4702390,628296,1815110,380063,0.710519,469049
Haddock,19,1965,8363100,931152,1350570,299161,0.60978,428890
Haddock,19,1966,41156800,543649,704922,346010,0.598145,736884
Haddock,19,1967,106808000,217619,699587,246194,0.585505,1482490
Haddock,19,1968,21910800,209480,2512630,302172,0.465948,2003990
Haddock,19,1969,19256300,981656,2832370,929878,0.817227,1218190
Haddock,19,1970,67393500,1074890,1742080,805430,0.782422,1400230
Haddock,19,1971,95180500,483870,1414790,447327,0.64108,2023360
Haddock,19,1972,23095000,341926,1925360,353685,0.77261,1748370
Haddock,19,1973,47731700,429584,1172000,307691,0.594169,1236020
Haddock,19,1974,69211000,336258,1004790,367460,0.615067,1395060
Haddock,19,1975,7695210,251654,1546530,453709,0.856161,1201600
Haddock,19,1976,12396400,392647,1038890,374843,0.758112,567476
Haddock,19,1977,26829000,348187,614759,224725,0.765977,585410
Haddock,19,1978,36977500,157855,452975,179327,0.828912,720540
Haddock,19,1979,48845100,113128,559390,145059,0.765723,957039
Haddock,19,1980,37091800,157184,917723,222130,0.769663,1090420
Haddock,19,1981,35079000,290104,874792,213318,0.642769,864433
Haddock,19,1982,17107500,348946,889233,233091,0.585375,717464
Haddock,19,1983,22587500,265344,597817,244210,0.79749,499444
Haddock,19,1984,12936300,207803,675309,218924,0.851405,506454
Haddock,19,1985,9737850,223303,582003,255131,0.760703,338874
Haddock,19,1986,25648400,227201,467813,223037,0.938222,478481
Haddock,19,1987,3919780,140981,523321,173926,1.00654,318015
Haddock,19,1988,3092450,164779,391245,173031,0.927713,157787
Haddock,19,1989,6036410,135321,230394,106462,0.775853,144588
Haddock,19,1990,13668800,71180,142207,88954,0.977529,211128
Haddock,19,1991,12584200,47633.5,213792,93283.3,0.97222,266962
Haddock,19,1992,22042500,69117.1,304078,131765,0.840675,399663
Haddock,19,1993,6849850,123499,531268,172685,0.960568,369226
Haddock,19,1994,29185600,167839,428555,150951,0.907636,448737
Haddock,19,1995,12488100,156033,677266,142421,0.702613,561804
Haddock,19,1996,10852600,212233,613081,156823,0.820891,351681
Haddock,19,1997,8224680,226032,499101,141288,0.68287,284562
Haddock,19,1998,3637110,173674,375419,131356,0.673942,177833
Haddock,19,1999,40374200,132416,245676,111934,0.951722,455404
Haddock,19,2000,11921700,81595.8,788529,104520,1.09906,632665
Haddock,19,2001,1297070,255379,883796,167038,0.761657,257236
Haddock,19,2002,3058570,400890,646019,107818,0.445828,152057
Haddock,19,2003,4042830,302174,398945,66794.3,0.293974,123053
Haddock,19,2004,2753040,204499,273997,64840.6,0.310516,106006
Haddock,19,2005,22162700,142029,192878,57155.5,0.386684,295616
Haddock,19,2006,5919340,94769.8,445868,56120.3,0.712174,391257
Haddock,19,2007,2390720,127131,367544,59528.8,0.531525,165733
Haddock,19,2008,1681620,179633,303713,43616,0.265194,107863
Haddock,19,2009,9694760,139511,206646,43371.7,0.220881,149329
Haddock,19,2010,1067650,129082,335207,39591.4,0.217168,174678
Haddock,19,2011,NA,177190,NA,NA,NA,NA
Saithe,20,1963,212245,37711.9,126559,23918,0.291735,0
Saithe,20,1964,214099,53357.4,183612,38831.4,0.598553,0
Saithe,20,1965,163320,57090.7,271483,56502.3,0.261916,0
Saithe,20,1966,437438,93364.7,375064,77337.8,0.362636,0
Saithe,20,1967,532059,161452,441223,88339.3,0.351525,0
Saithe,20,1968,531161,215842,573833,113741,0.18159,0
Saithe,20,1969,244291,289409,779119,130580,0.305421,0
Saithe,20,1970,207040,328662,962774,235012,0.263861,0
Saithe,20,1971,168009,470689,1112620,265356,0.318881,0
Saithe,20,1972,220140,526824,964431,261914,0.357389,0
Saithe,20,1973,377568,557097,869545,242513,0.336406,0
Saithe,20,1974,207601,608738,900937,298347,0.424859,0
Saithe,20,1975,128630,525131,822282,271610,0.523996,0
Saithe,20,1976,179290,380056,679384,343898,0.523721,0
Saithe,20,1977,136611,303751,583181,216393,0.669517,0
Saithe,20,1978,302868,262652,459770,155124,0.397405,0
Saithe,20,1979,248927,260715,501037,128352,0.408229,0
Saithe,20,1980,225893,245477,496939,131897,0.49078,0
Saithe,20,1981,206606,248482,568077,132273,0.518409,0
Saithe,20,1982,249082,202390,564740,174336,0.47442,0
Saithe,20,1983,399005,211518,545387,180040,0.683613,0
Saithe,20,1984,243496,180916,445893,200843,0.557355,0
Saithe,20,1985,207494,154114,410700,220870,0.546088,0
Saithe,20,1986,118223,144191,437303,198605,0.728273,0
Saithe,20,1987,112587,138753,373759,167503,0.641042,0
Saithe,20,1988,173057,133537,328893,135176,0.678391,0
Saithe,20,1989,149208,119291,275800,108892,0.625466,0
Saithe,20,1990,195251,110615,250415,103831,0.554529,0
Saithe,20,1991,153751,100095,256470,108071,0.54479,0
Saithe,20,1992,450191,93203.7,279378,99744.8,0.352279,0
Saithe,20,1993,207364,115749,342778,111499,0.590706,0
Saithe,20,1994,294077,108737,355926,109621,0.418253,0
Saithe,20,1995,122930,139694,547093,121795,0.572783,0
Saithe,20,1996,256702,141503,508236,114968,0.484624,0
Saithe,20,1997,173960,189885,496416,107348,0.349109,0
Saithe,20,1998,376765,188820,428845,106126,0.342326,0
Saithe,20,1999,389931,203023,451245,110531,0.484456,0
Saithe,20,2000,236210,188694,498360,85780.7,0.361341,0
Saithe,20,2001,201018,198130,552258,91740.7,0.258978,0
Saithe,20,2002,320481,214901,619205,107987,0.375348,0
Saithe,20,2003,89074.5,239460,572611,98831,0.341336,0
Saithe,20,2004,231519,297866,614886,94806,0.302206,0
Saithe,20,2005,147051,285241,568294,115602,0.308672,0
Saithe,20,2006,101937,275655,516563,123304,0.375281,0
Saithe,20,2007,168214,250326,460801,100748,0.288635,0
Saithe,20,2008,223259,242782,469730,119290,0.337295,0
Saithe,20,2009,223259,234258,409164,115727,0.516675,0
Saithe,20,2010,223259,194338,380575,102545,0.414511,0
Saithe,20,2011,NA,162580,NA,NA,NA,NA
Herring,21,1963,73160800,2357440,2569290,752079,0.161433,894516
Herring,21,1964,90217400,2751190,2965730,1177040,0.253981,1244320
Herring,21,1965,44297500,2428180,2712410,2062910,0.456748,1131450
Herring,21,1966,26173100,1808090,1941350,1436770,0.445438,739445
Herring,21,1967,50676600,1209460,1302380,1193820,0.630383,560191
Herring,21,1968,49429100,724616,945679,1129090,0.925171,505778
Herring,21,1969,28855200,618786,834526,621332,0.588987,567146
Herring,21,1970,26861300,654503,777335,580308,0.620654,476631
Herring,21,1971,24476100,478601,631168,589933,0.795415,387160
Herring,21,1972,20697900,375238,568186,459675,0.436629,380819
Herring,21,1973,8559360,489174,653348,468183,0.695295,314205
Herring,21,1974,12140900,353100,420407,273014,0.675136,174146
Herring,21,1975,9184860,218844,321474,303675,0.890533,164890
Herring,21,1976,5607700,210535,274473,170973,0.411407,134249
Herring,21,1977,9787040,202772,248516,56824.5,0.134664,154097
Herring,21,1978,7158340,220522,288601,13880.7,0.0113655,168353
Herring,21,1979,14831500,307587,371016,26606.1,0.0195972,195567
Herring,21,1980,36137100,375300,477801,78807.6,0.0534957,351472
Herring,21,1981,39604000,481566,671540,195149,0.131802,473550
Herring,21,1982,49122800,580688,792655,279257,0.0944236,584338
Herring,21,1983,37557800,783426,1037750,455956,0.204619,580289
Herring,21,1984,41544100,1030130,1320440,504425,0.275073,635882
Herring,21,1985,56647000,1188540,1533030,689160,0.378839,759780
Herring,21,1986,70640800,1147860,1533010,810038,0.340059,858465
Herring,21,1987,59997800,1290780,1770800,839990,0.321984,1001230
Herring,21,1988,39973600,1598620,2002020,1084120,0.337062,882054
Herring,21,1989,41063300,1566920,1887510,885644,0.323268,732232
Herring,21,1990,37332900,1493960,1705540,761585,0.28002,650040
Herring,21,1991,33878200,1342980,1560070,742772,0.319507,582660
Herring,21,1992,49819100,1089580,1436900,877418,0.425153,579920
Herring,21,1993,48956600,821627,1341470,970469,0.605668,590763
Herring,21,1994,35003100,858434,1206350,797330,0.542526,497026
Herring,21,1995,38832900,844796,1185910,746226,0.503442,542491
Herring,21,1996,39303600,819148,1149650,312331,0.225493,588949
Herring,21,1997,24096700,975247,1375920,297315,0.179743,667057
Herring,21,1998,23389500,1237000,1630380,428412,0.337716,675250
Herring,21,1999,61670100,1248780,1524150,394978,0.256965,683163
Herring,21,2000,40316100,1239360,1732020,431287,0.263462,730602
Herring,21,2001,108184000,1930370,2453540,430770,0.199675,1306320
Herring,21,2002,49751400,2339180,3076510,470165,0.166657,1744850
Herring,21,2003,26535600,2558100,3846020,604611,0.18831,1678490
Herring,21,2004,32453000,2616260,3474270,758460,0.205244,1444010
Herring,21,2005,20346000,2384950,2662810,913982,0.282098,1063720
Herring,21,2006,25835900,1667950,1930560,512033,0.236491,736103
Herring,21,2007,30787600,1322180,1557080,408128,0.220898,706309
Herring,21,2008,27737700,1112980,1396220,258901,0.166637,625996
Herring,21,2009,37904700,1198380,1496170,168817,0.0945093,581337
Herring,21,2010,35979000,1413320,1801420,188240,0.0985095,702844
Herring,21,2011,NA,1820860,NA,NA,NA,NA
Sandeel,22,1963,704413000,2049420,3532950,162304,0.0580378,4171590
Sandeel,22,1964,570131000,1783470,3005370,128003,0.0521016,3413820
Sandeel,22,1965,491541000,1514350,2537610,130603,0.0605754,2621940
Sandeel,22,1966,549382000,1465580,2404340,143103,0.0656016,2234420
Sandeel,22,1967,836801000,1667600,2711300,188704,0.0740422,2764920
Sandeel,22,1968,523796000,2002180,3159210,193704,0.0773819,3556380
Sandeel,22,1969,350525000,1264070,2121320,113303,0.0639287,2279080
Sandeel,22,1970,877130000,1007500,1623650,191404,0.131455,1981500
Sandeel,22,1971,337469000,970574,2508000,188172,0.0857217,2195040
Sandeel,22,1972,397354000,2001350,2530200,198137,0.055293,2301320
Sandeel,22,1973,347292000,1356850,2108590,169862,0.0927148,1847640
Sandeel,22,1974,508079000,1278640,1909530,340131,0.197479,1573780
Sandeel,22,1975,396006000,1206010,2082800,359747,0.230995,1908090
Sandeel,22,1976,514375000,1115080,1541570,426750,0.335701,1322010
Sandeel,22,1977,624939000,808223,1482240,588155,0.482004,1267070
Sandeel,22,1978,518469000,878284,1676230,800672,0.462048,1285310
Sandeel,22,1979,691975000,1016770,1605620,684496,0.491936,1380710
Sandeel,22,1980,479613000,882784,1730160,724512,0.488218,1539710
Sandeel,22,1981,887374000,855589,1343540,528547,0.623472,1570650
Sandeel,22,1982,273450000,502746,1579790,595787,0.776894,1118560
Sandeel,22,1983,865421000,681599,936915,531027,0.473206,1231990
Sandeel,22,1984,493929000,444415,1727640,751619,0.640545,1496840
Sandeel,22,1985,895470000,926277,1503970,707597,1.22876,1276900
Sandeel,22,1986,617663000,351082,1681880,686112,0.275609,1941560
Sandeel,22,1987,397730000,1293070,2039520,791457,0.240638,1987940
Sandeel,22,1988,810044000,1188000,1578500,1007190,0.665153,1714940
Sandeel,22,1989,525775000,515282,1353310,838491,0.648442,1398320
Sandeel,22,1990,723629000,635108,1107190,585076,0.687659,1413110
Sandeel,22,1991,771516000,459534,1158380,898399,0.546549,1554950
Sandeel,22,1992,582318000,647734,1474210,821048,0.341945,1692380
Sandeel,22,1993,825697000,969264,1456790,578603,0.375558,1857090
Sandeel,22,1994,947919000,745401,1624740,771207,0.468532,1986570
Sandeel,22,1995,515358000,933657,2038690,915459,0.325188,2024200
Sandeel,22,1996,1414690000,1240310,1743260,776135,0.487291,2145920
Sandeel,22,1997,403884000,751152,3105200,1119750,0.385439,2504500
Sandeel,22,1998,389227000,2277510,2666830,1004100,0.472362,1697880
Sandeel,22,1999,690231000,1153920,1564730,719303,0.45666,1518640
Sandeel,22,2000,656123000,668414,1447340,694736,0.501569,1656730
Sandeel,22,2001,804380000,628361,1373260,858444,0.688309,1637920
Sandeel,22,2002,147496000,498681,1565840,807010,0.387363,1351690
Sandeel,22,2003,466983000,931758,1040750,324207,0.696808,1018970
Sandeel,22,2004,326285000,264599,738677,359546,0.550829,846929
Sandeel,22,2005,568371000,343880,649425,172279,0.585224,1007930
Sandeel,22,2006,414877000,276242,935353,288631,0.457231,1144330
Sandeel,22,2007,679225000,481898,909102,206791,0.257029,1381960
Sandeel,22,2008,353485000,525526,1404600,346949,0.31567,1391590
Sandeel,22,2009,1065270000,902417,1267960,335197,0.321104,1755620
Sandeel,22,2010,304402000,714058,2416120,394693,0.155544,2310090
Sandeel,22,2011,NA,1966790,NA,NA,NA,NA
Nor. pout,23,1963,90625000,42813,127549,137748,1.59174,452733
Nor. pout,23,1964,90107400,36314.3,151403,61377,0.667468,517964
Nor. pout,23,1965,116370000,42224.6,167751,43183.8,0.335432,656290
Nor. pout,23,1966,128293000,60976.1,233638,52980.2,0.281138,704480
Nor. pout,23,1967,194038000,103378,359108,182532,0.600016,956026
Nor. pout,23,1968,502596000,179396,604511,451631,1.04957,2504280
Nor. pout,23,1969,436243000,205726,904243,113458,0.18407,2786950
Nor. pout,23,1970,288055000,225415,884715,237911,0.339905,1987360
Nor. pout,23,1971,299724000,211689,762420,305186,0.530103,1771730
Nor. pout,23,1972,296499000,227210,864882,444633,0.765902,1998510
Nor. pout,23,1973,558554000,206200,617604,345771,0.685813,2637310
Nor. pout,23,1974,206569000,175262,1133950,732616,1.51465,1514870
Nor. pout,23,1975,469267000,203496,608967,508283,0.92532,2292150
Nor. pout,23,1976,377135000,217236,961150,472622,0.664392,2318400
Nor. pout,23,1977,150224000,245560,956588,384115,0.503264,1469330
Nor. pout,23,1978,210225000,265403,566689,253976,0.664571,1168040
Nor. pout,23,1979,272215000,162302,638330,340127,0.718207,1443670
Nor. pout,23,1980,127955000,251447,879131,535055,0.729955,1252510
Nor. pout,23,1981,185662000,229254,448517,432386,0.592468,1075600
Nor. pout,23,1982,210049000,109081,442071,390248,0.869198,1135760
Nor. pout,23,1983,213097000,158507,598194,475870,0.741427,1200110
Nor. pout,23,1984,132661000,262135,774376,376547,1.10919,1096470
Nor. pout,23,1985,113442000,215249,454293,227481,1.29081,714317
Nor. pout,23,1986,162084000,97409.3,313721,180622,1.07461,902756
Nor. pout,23,1987,64403500,86892.1,337896,148906,1.03308,561402
Nor. pout,23,1988,169840000,85525.9,170380,109295,0.648515,828651
Nor. pout,23,1989,142733000,71301,335026,166561,0.430223,919973
Nor. pout,23,1990,119344000,135888,358808,139429,0.667288,729375
Nor. pout,23,1991,146145000,135622,373900,190461,0.938841,788423
Nor. pout,23,1992,103439000,148475,457799,302463,0.81165,740787
Nor. pout,23,1993,105747000,186820,386315,181255,0.817275,677721
Nor. pout,23,1994,240814000,126661,321819,183588,0.803444,1066900
Nor. pout,23,1995,152509000,152576,700019,231768,0.342947,1322740
Nor. pout,23,1996,197895000,347669,609167,156078,0.269417,1247780
Nor. pout,23,1997,75279600,243965,656809,156911,0.28107,948152
Nor. pout,23,1998,147844000,259014,390583,75285.3,0.240369,913270
Nor. pout,23,1999,184666000,145583,413678,92309.6,0.290658,1095320
Nor. pout,23,2000,142080000,175008,528295,184995,0.304126,1072400
Nor. pout,23,2001,160759000,292123,517980,64371.8,0.160741,1176920
Nor. pout,23,2002,85983700,169768,407614,77108.9,0.171671,794246
Nor. pout,23,2003,45038800,104644,234401,24687,0.151792,446789
Nor. pout,23,2004,61362000,66817.8,130403,13487.6,0.0937096,390128
Nor. pout,23,2005,87079400,46184.7,142261,0,0,513961
Nor. pout,23,2006,98291200,64906.4,206077,46495.4,0.233775,616663
Nor. pout,23,2007,155324000,97109.6,248715,5783.23,0,908219
Nor. pout,23,2008,257222000,125521,368445,35093.8,0.041216,1367270
Nor. pout,23,2009,192378000,211679,692822,45813.1,0.0510029,1384250
Nor. pout,23,2010,32511500,468921,865631,128438,0.073745,933263
Nor. pout,23,2011,NA,477163,NA,NA,NA,NA
Sprat,24,1963,1.00E+08,292947,394458,67504.1,0.178291,495426
Sprat,24,1964,1.00E+08,250176,312787,70283.6,0.208484,377895
Sprat,24,1965,1.00E+08,202120,268526,75545,0.244552,339115
Sprat,24,1966,1.00E+08,189702,259805,106220,0.360419,299771
Sprat,24,1967,1.00E+08,198219,276187,70482.2,0.222731,304840
Sprat,24,1968,1.00E+08,259778,330934,70515,0.205464,345752
Sprat,24,1969,1.00E+08,252615,331969,57983.3,0.169521,327311
Sprat,24,1970,82437000,296464,379892,46901.1,0.109086,309926
Sprat,24,1971,125576000,374915,442725,76644,0.149407,327553
Sprat,24,1972,430715000,433919,538746,87924.8,0.147977,741793
Sprat,24,1973,441129000,645011,946097,208934,0.267271,1217870
Sprat,24,1974,374587000,839360,1197300,273105,0.281109,1169320
Sprat,24,1975,760030000,1249230,1563130,566425,0.401646,2051360
Sprat,24,1976,328835000,1042390,1569170,520182,0.610599,1728600
Sprat,24,1977,359109000,886361,1092980,279866,0.354644,1230790
Sprat,24,1978,503586000,668613,893424,399260,0.510118,1207280
Sprat,24,1979,304775000,621454,947457,411841,0.636324,1175410
Sprat,24,1980,211107000,577465,773912,303737,0.641568,938550
Sprat,24,1981,107974000,307033,425194,178834,0.609779,509571
Sprat,24,1982,81524700,173590,236388,138902,0.646496,308721
Sprat,24,1983,149744000,111265,162687,81858.8,0.723818,311897
Sprat,24,1984,146645000,148880,249757,77866.1,0.738357,455364
Sprat,24,1985,123249000,166502,253494,49009.4,0.172239,430889
Sprat,24,1986,240943000,196633,269637,15850.1,0.0745915,636043
Sprat,24,1987,126004000,215431,319223,74617.5,0.4207,555598
Sprat,24,1988,212186000,130624,180446,82033.1,0.168174,516526
Sprat,24,1989,147396000,147567,232951,63304.7,0.526833,464658
Sprat,24,1990,191816000,111173,169585,41489,0.135217,450516
Sprat,24,1991,151184000,156778,254760,68677.4,0.271439,494782
Sprat,24,1992,228633000,171872,255224,102913,0.307218,570092
Sprat,24,1993,396076000,213222,339597,179442,0.428517,824067
Sprat,24,1994,194212000,353921,589059,315885,0.445791,845890
Sprat,24,1995,95867700,371147,487218,356039,0.574262,559398
Sprat,24,1996,157175000,181743,232251,135685,0.554486,368775
Sprat,24,1997,174119000,159885,258265,100222,0.315689,514032
Sprat,24,1998,268035000,206702,305836,159156,0.564057,633440
Sprat,24,1999,210238000,243225,393965,187606,0.448709,681988
Sprat,24,2000,153607000,261366,374115,195700,0.571347,551287
Sprat,24,2001,183675000,196218,276362,165543,0.939594,465570
Sprat,24,2002,146149000,150002,246573,144905,0.654617,461398
Sprat,24,2003,134780000,148285,231156,173605,1.00739,400457
Sprat,24,2004,302719000,117016,188866,130600,0.951322,546655
Sprat,24,2005,134525000,217035,396312,206953,0.289648,697113
Sprat,24,2006,155728000,242329,319931,113979,0.722744,496786
Sprat,24,2007,169314000,149437,235642,78256.2,0.372244,490498
Sprat,24,2008,342200000,168379,256008,59369.5,0.465018,700461
Sprat,24,2009,164895000,270828,470804,131953,0.127097,835438
Sprat,24,2010,171858000,321302,414873,139788,0.541238,632525
Sprat,24,2011,NA,186303,NA,NA,NA,NA
Plaice,25,1963,2709370,373043,553117,148131,0.406578,0
Plaice,25,1964,800951,345136,595221,147321,0.412272,0
Plaice,25,1965,682917,323652,604322,139851,0.377171,0
Plaice,25,1966,472588,375149,689145,166579,0.397251,0
Plaice,25,1967,444129,400664,618292,163303,0.3768,0
Plaice,25,1968,677379,374214,529633,139495,0.328329,0
Plaice,25,1969,654084,341482,478424,142892,0.353022,0
Plaice,25,1970,442718,336070,466549,159955,0.43384,0
Plaice,25,1971,402426,321229,458347,136885,0.40882,0
Plaice,25,1972,1502200,319255,445196,142461,0.428542,0
Plaice,25,1973,1160120,272034,430818,143806,0.458645,0
Plaice,25,1974,791708,258018,449415,157651,0.487004,0
Plaice,25,1975,626707,288797,512913,195228,0.555504,0
Plaice,25,1976,892627,267676,447561,167116,0.446502,0
Plaice,25,1977,757610,277494,450312,176599,0.487934,0
Plaice,25,1978,775738,265224,426069,159746,0.446109,0
Plaice,25,1979,1012460,266031,427667,213553,0.657367,0
Plaice,25,1980,940526,234897,391041,171269,0.521122,0
Plaice,25,1981,1912370,225507,393631,172556,0.530683,0
Plaice,25,1982,1300020,230078,457817,204279,0.589444,0
Plaice,25,1983,1251060,232315,479187,218637,0.576373,0
Plaice,25,1984,1634690,248070,513757,226598,0.585982,0
Plaice,25,1985,3939810,248403,515197,220907,0.533541,0
Plaice,25,1986,1812030,284607,686636,296604,0.648287,0
Plaice,25,1987,1823250,315587,754776,342523,0.64105,0
Plaice,25,1988,1313510,327017,760009,311600,0.678874,0
Plaice,25,1989,1188230,308729,641766,277429,0.636734,0
Plaice,25,1990,1116300,296525,575916,228468,0.554407,0
Plaice,25,1991,987568,281137,525390,229451,0.683021,0
Plaice,25,1992,587625,248552,455847,183297,0.732256,0
Plaice,25,1993,554516,211182,370176,152223,0.710695,0
Plaice,25,1994,973640,179574,296457,134479,0.736767,0
Plaice,25,1995,893104,153619,268469,120307,0.655214,0
Plaice,25,1996,3156000,144127,279988,133645,0.758726,0
Plaice,25,1997,1164640,134450,386596,180251,0.840145,0
Plaice,25,1998,946259,194650,464545,175160,0.813636,0
Plaice,25,1999,1135850,205690,456158,151646,0.80803,0
Plaice,25,2000,686696,153192,311722,125515,0.620463,0
Plaice,25,2001,1974620,180056,320911,182320,0.855649,0
Plaice,25,2002,508927,150835,322105,124633,0.817313,0
Plaice,25,2003,1114730,175658,312234,144178,0.811117,0
Plaice,25,2004,709021,143210,285344,115796,0.593509,0
Plaice,25,2005,737250,159953,282656,109766,0.634388,0
