Species,Year,Quarter,Species.n,Age,M1,M2,MsingleSpecies,F,Z,N,N.bar,C,west,weca,Yield (SOP),propmat,TSB,SSB,Length.in.the.sea(mm),FoodRation
Cod,1964,1,17,9,0.05,0,0.05,0.149081,0.199081,602.75,546.543,0,12.34,12.34,0,1,7437.93,7437.93,1041,8.384
Cod,1964,1,17,10,0.05,0,0.05,0.149081,0.199081,47.7062,43.2575,0,12.54,28.311,0,1,598.235,598.235,1159,8.892
Cod,1964,2,17,1,0.05,0.215671,0.2,0.0114747,0.277146,551753,481895,0,0.116,0.357,0,0.01,64003.4,640.034,194,0.235
Cod,1964,2,17,2,0.05,0.144716,0.0875,0.155759,0.350475,86963.7,73359.1,0,0.682,0.762,0,0.05,59309.2,2965.46,357,1.019
Cod,1964,2,17,3,0.05,0.00837926,0.0625,0.186257,0.244636,38123.4,33818.3,0,3.14834,2.367,0,0.23,120026,27605.9,552,3.279
Cod,1964,2,17,4,0.05,0,0.05,0.159465,0.209465,9883.47,8916.99,0,5.47476,4.528,0,0.62,54109.7,33548,709,5.198
Cod,1964,2,17,5,0.05,0,0.05,0.144008,0.194008,4606.19,4186.92,0,6.94383,6.447,0,0.86,31984.6,27506.8,839,6.77
Cod,1964,2,17,6,0.05,0,0.05,0.146322,0.196322,3179.7,2887.04,0,8.98113,8.52,0,1,28557.3,28557.3,935,8.48
Cod,1964,2,17,7,0.05,0,0.05,0.127219,0.177219,1267.59,1161.62,0,11.5605,10.606,0,1,14654.1,14654.1,993,10.15
Cod,1964,2,17,8,0.05,0,0.05,0.127219,0.177219,229.531,210.342,0,11.0541,10.758,0,1,2537.25,2537.25,1050,10.532
Cod,1964,2,17,9,0.05,0,0.05,0.127219,0.177219,493.944,452.65,0,12.6434,12.34,0,1,6245.15,6245.15,1091,11.553
Cod,1964,2,17,10,0.05,0,0.05,0.127219,0.177219,39.0944,35.8262,0,12.7286,28.311,0,1,497.616,497.616,1156,12.158
Cod,1964,3,17,0,0.05,1.15174,0.675,0,1.20174,10255000,5967710,0,0.00598,0,0,0,61325,0,84,0.02
Cod,1964,3,17,1,0.05,0.130838,0.2,0.0486309,0.229468,418198,373685,13118.2,0.23,0.357,4683.21,0.01,96185.6,961.856,251,0.42
Cod,1964,3,17,2,0.05,0.124346,0.0875,0.123533,0.297879,61253.2,52972.4,28684.9,0.829,0.762,21857.9,0.05,50778.9,2538.95,417,1.214
Cod,1964,3,17,3,0.05,0.000922656,0.0625,0.109887,0.16081,29850.2,27573.7,20220,3.58911,2.367,47860.6,0.23,107136,24641.2,590,3.703
Cod,1964,3,17,4,0.05,0,0.05,0.0940805,0.14408,8015.67,7464.98,4306.38,6.28432,4.528,19499.3,0.62,50373,31231.3,772,5.904
Cod,1964,3,17,5,0.05,0,0.05,0.0812839,0.131284,3793.89,3555.4,1917.28,8.05579,6.447,12360.7,0.86,30562.8,26284,871,7.758
Cod,1964,3,17,6,0.05,0,0.05,0.0825899,0.13259,2612.91,2447.09,1817.73,9.2117,8.52,15487,1,24069.3,24069.3,951,8.775
Cod,1964,3,17,7,0.05,0,0.05,0.0718077,0.121808,1061.73,999.615,599.291,12.7272,10.606,6356.08,1,13512.9,13512.9,969,11.137
Cod,1964,3,17,8,0.05,0,0.05,0.0718077,0.121808,192.254,181.006,117.555,11.4489,10.758,1264.66,1,2201.09,2201.09,1004,10.987
Cod,1964,3,17,9,0.05,0,0.05,0.0718077,0.121808,413.725,389.52,93.625,12.9469,12.34,1155.33,1,5356.45,5356.45,1092,11.939
Cod,1964,3,17,10,0.05,0,0.05,0.0718077,0.121808,32.7453,30.8296,19.056,12.9171,28.311,539.494,1,422.976,422.976,1134,12.471
Cod,1964,4,17,0,0.05,0.89071,0.675,0,0.94071,3083390,1998260,0,0.0225,0,0,0,69376.2,0,136,0.069
Cod,1964,4,17,1,0.05,0.159756,0.2,0.136604,0.346359,332449,280985,0,0.377,0.357,0,0.01,125333,1253.33,302,0.714
Cod,1964,4,17,2,0.05,0.139818,0.0875,0.0745972,0.264415,45473.8,39958.5,0,1.12,0.762,0,0.05,50930.7,2546.53,444,1.758
Cod,1964,4,17,3,0.05,0,0.0625,0.0598513,0.109851,25416.1,24069.8,0,4.17156,2.367,0,0.23,106025,24385.7,603,4.736
Cod,1964,4,17,4,0.05,0,0.05,0.0512421,0.101242,6940.11,6600.36,0,6.91549,4.528,0,0.62,47994.3,29756.5,759,7.216
Cod,1964,4,17,5,0.05,0,0.05,0.0429619,0.0929619,3327.13,3177.16,0,8.90751,6.447,0,0.86,29636.4,25487.3,870,9.52
Cod,1964,4,17,6,0.05,0,0.05,0.0436522,0.0936522,2288.45,2184.56,0,9.57402,8.52,0,1,21909.6,21909.6,948,10.231
Cod,1964,4,17,7,0.05,0,0.05,0.0379533,0.0879533,939.971,899.82,0,12.845,10.606,0,1,12074,12074,991,12.672
Cod,1964,4,17,8,0.05,0,0.05,0.0379533,0.0879533,170.206,162.936,0,11.745,10.758,0,1,1999.06,1999.06,1027,12.671
Cod,1964,4,17,9,0.05,0,0.05,0.0379533,0.0879533,366.279,350.633,0,13.1492,12.34,0,1,4816.26,4816.26,1001,13.656
Cod,1964,4,17,10,0.05,0,0.05,0.0379533,0.0879533,28.9901,27.7517,0,13.2,28.311,0,1,382.669,382.669,1171,14.336
Cod,1965,1,17,1,0.05,0.364674,0.2,0.00463662,0.419311,1203600,983123,0,0.0519,0.313,0,0.01,62467,624.67,153,0.09
Cod,1965,1,17,2,0.05,0.14255,0.0875,0.154451,0.347001,235127,198669,0,0.576,0.9,0,0.05,135433,6771.67,329,0.656
Cod,1965,1,17,3,0.05,0.0584527,0.0625,0.203402,0.311855,34908.2,29989.4,0,2.304,2.295,0,0.23,80428.5,18498.6,496,1.924
Cod,1965,1,17,4,0.05,0,0.05,0.174144,0.224144,22772,20400.3,0,4.512,4.512,0,0.62,102747,63703.2,702,3.289
Cod,1965,1,17,5,0.05,0,0.05,0.178996,0.228996,6271.88,5605.58,0,7.274,7.274,0,0.86,45621.7,39234.6,830,4.714
Cod,1965,1,17,6,0.05,0,0.05,0.181872,0.231872,3031.77,2705.94,0,9.498,9.498,0,1,28795.8,28795.8,937,6.011
Cod,1965,1,17,7,0.05,0,0.05,0.158128,0.208128,2083.86,1881.3,0,11.898,11.898,0,1,24793.8,24793.8,989,6.998
Cod,1965,1,17,8,0.05,0,0.05,0.158128,0.208128,860.829,777.152,0,12.041,12.041,0,1,10365.2,10365.2,1031,7.625
Cod,1965,1,17,9,0.05,0,0.05,0.158128,0.208128,155.875,140.723,0,13.053,13.053,0,1,2034.64,2034.64,1041,8.384
Cod,1965,1,17,10,0.05,0,0.05,0.158128,0.208128,361.989,326.801,0,14.441,28.946,0,1,5227.48,5227.48,1159,8.892
Cod,1965,2,17,1,0.05,0.313645,0.2,0.0121711,0.375816,791368,659666,0,0.116,0.313,0,0.01,91798.7,917.987,194,0.235
Cod,1965,2,17,2,0.05,0.166604,0.0875,0.165212,0.381816,166189,138142,0,0.682,0.9,0,0.05,113341,5667.05,357,1.019
Cod,1965,2,17,3,0.05,0.0147586,0.0625,0.197561,0.26232,25555.9,22478.8,0,3.05166,2.295,0,0.23,77987.7,17937.2,552,3.279
Cod,1965,2,17,4,0.05,0,0.05,0.169143,0.219143,18199.4,16343.3,0,5.45542,4.512,0,0.62,99285.2,61556.8,709,5.198
Cod,1965,2,17,5,0.05,0,0.05,0.152748,0.202748,4988.22,4515.06,0,7.83456,7.274,0,0.86,39080.6,33609.3,839,6.77
Cod,1965,2,17,6,0.05,0,0.05,0.155203,0.205203,2404.34,2173.69,0,10.0121,9.498,0,1,24072.4,24072.4,935,8.48
Cod,1965,2,17,7,0.05,0,0.05,0.134941,0.184941,1692.31,1545.04,0,12.9688,11.898,0,1,21947.2,21947.2,993,10.15
Cod,1965,2,17,8,0.05,0,0.05,0.134941,0.184941,699.081,638.244,0,12.3724,12.041,0,1,8649.31,8649.31,1050,10.532
Cod,1965,2,17,9,0.05,0,0.05,0.134941,0.184941,126.587,115.571,0,13.374,13.053,0,1,1692.97,1692.97,1091,11.553
Cod,1965,2,17,10,0.05,0,0.05,0.134941,0.184941,293.972,268.389,0,14.6582,28.946,0,1,4309.09,4309.09,1156,12.158
Cod,1965,3,17,0,0.05,1.11008,0.675,0,1.16008,19995700,11833500,0,0.00598,0,0,0,119574,0,84,0.02
Cod,1965,3,17,1,0.05,0.149649,0.2,0.0515823,0.251231,543455,480564,114228,0.23,0.313,35753.3,0.01,124995,1249.95,251,0.42
Cod,1965,3,17,2,0.05,0.142481,0.0875,0.13103,0.323511,113444,96922.5,58520.5,0.829,0.9,52668.4,0.05,94045.2,4702.26,417,1.214
Cod,1965,3,17,3,0.05,0.0131606,0.0625,0.116556,0.179717,19659.2,17993.9,17735.4,3.47889,2.295,40702.6,0.23,68392.3,15730.2,590,3.703
Cod,1965,3,17,4,0.05,0,0.05,0.0997903,0.14979,14617.9,13575.7,9181.57,6.26211,4.512,41427.2,0.62,91538.6,56753.9,772,5.904
Cod,1965,3,17,5,0.05,0,0.05,0.0862171,0.136217,4072.8,3807.59,2387.07,9.08916,7.274,17363.6,0.86,37018.4,31835.8,871,7.758
Cod,1965,3,17,6,0.05,0,0.05,0.0876024,0.137602,1958.29,1829.53,950.478,10.2691,9.498,9027.64,1,20109.9,20109.9,951,8.775
Cod,1965,3,17,7,0.05,0,0.05,0.0761657,0.126166,1406.57,1321.45,657.912,14.2776,11.898,7827.84,1,20082.4,20082.4,969,11.137
Cod,1965,3,17,8,0.05,0,0.05,0.0761657,0.126166,581.044,545.884,298.056,12.8143,12.041,3588.89,1,7445.66,7445.66,1004,10.987
Cod,1965,3,17,9,0.05,0,0.05,0.0761657,0.126166,105.213,98.8464,51.02,13.695,13.053,665.964,1,1440.89,1440.89,1092,11.939
Cod,1965,3,17,10,0.05,0,0.05,0.0761657,0.126166,244.336,229.551,90.922,14.8753,28.946,2631.83,1,3634.57,3634.57,1134,12.471
Cod,1965,4,17,0,0.05,0.833147,0.675,0,0.883147,6267880,4162660,0,0.0225,0,0,0,141027,0,136,0.069
Cod,1965,4,17,1,0.05,0.182154,0.2,0.144894,0.377048,422723,352168,0,0.377,0.313,0,0.01,159366,1593.66,302,0.714
Cod,1965,4,17,2,0.05,0.120818,0.0875,0.0791246,0.249943,82088.6,72633.8,0,1.12,0.9,0,0.05,91939.3,4596.96,444,1.758
Cod,1965,4,17,3,0.05,0.0015215,0.0625,0.0634837,0.115005,16425.4,15516.1,0,4.04344,2.295,0,0.23,66415.3,15275.5,603,4.736
Cod,1965,4,17,4,0.05,0,0.05,0.054352,0.104352,12584.3,11950,0,6.89105,4.512,0,0.62,86719.4,53766,759,7.216
Cod,1965,4,17,5,0.05,0,0.05,0.0455693,0.0955693,3554.15,3389.6,0,10.0501,7.274,0,0.86,35719.6,30718.9,870,9.52
Cod,1965,4,17,6,0.05,0,0.05,0.0463015,0.0963015,1706.54,1626.95,0,10.673,9.498,0,1,18214,18214,948,10.231
Cod,1965,4,17,7,0.05,0,0.05,0.0402567,0.0902567,1239.85,1185.54,0,14.4098,11.898,0,1,17865.9,17865.9,991,12.672
Cod,1965,4,17,8,0.05,0,0.05,0.0402567,0.0902567,512.172,489.739,0,13.1457,12.041,0,1,6732.85,6732.85,1027,12.671
Cod,1965,4,17,9,0.05,0,0.05,0.0402567,0.0902567,92.742,88.6798,0,13.9089,13.053,0,1,1289.94,1289.94,1001,13.656
Cod,1965,4,17,10,0.05,0,0.05,0.0402567,0.0902567,215.374,205.941,0,15.2011,28.946,0,1,3273.92,3273.92,1171,14.336
Cod,1966,1,17,1,0.05,0.587984,0.2,0.00504549,0.643029,2591640,1911610,0,0.0519,0.314,0,0.01,134506,1345.06,153,0.09
Cod,1966,1,17,2,0.05,0.208551,0.0875,0.168071,0.426622,289938,236023,0,0.576,0.836,0,0.05,167004,8350.22,329,0.656
Cod,1966,1,17,3,0.05,0.0270845,0.0625,0.221339,0.298423,63934.3,55276.8,0,2.442,2.437,0,0.23,156128,35909.4,496,1.924
Cod,1966,1,17,4,0.05,0,0.05,0.1895,0.2395,14641,13019.7,0,4.169,4.169,0,0.62,61038.3,37843.7,702,3.289
Cod,1966,1,17,5,0.05,0,0.05,0.194781,0.244781,11337.3,10056.4,0,7.027,7.027,0,0.86,79667.4,68514,830,4.714
Cod,1966,1,17,6,0.05,0,0.05,0.19791,0.24791,3230.2,2860.94,0,9.599,9.599,0,1,31006.7,31006.7,937,6.011
Cod,1966,1,17,7,0.05,0,0.05,0.172073,0.222073,1549.87,1389.84,0,11.766,11.766,0,1,18235.7,18235.7,989,6.998
Cod,1966,1,17,8,0.05,0,0.05,0.172073,0.222073,1132.84,1015.87,0,11.968,11.968,0,1,13557.9,13557.9,1031,7.625
Cod,1966,1,17,9,0.05,0,0.05,0.172073,0.222073,467.97,419.65,0,14.059,14.06,0,1,6579.19,6579.19,1041,8.384
Cod,1966,1,17,10,0.05,0,0.05,0.172073,0.222073,281.525,252.456,0,14.746,29.684,0,1,4151.37,4151.37,1159,8.892
Cod,1966,2,17,1,0.05,0.408318,0.2,0.0132444,0.471562,1362420,1086250,0,0.116,0.314,0,0.01,158041,1580.41,194,0.235
Cod,1966,2,17,2,0.05,0.241901,0.0875,0.179781,0.471683,189246,150876,0,0.682,0.836,0,0.05,129065,6453.27,357,1.019
Cod,1966,2,17,3,0.05,0.017294,0.0625,0.214983,0.282277,47438.5,41331,0,3.23444,2.437,0,0.23,153437,35290.5,552,3.279
Cod,1966,2,17,4,0.05,0,0.05,0.184059,0.234059,11522.8,10273.6,0,5.0407,4.169,0,0.62,58082.8,36011.3,709,5.198
Cod,1966,2,17,5,0.05,0,0.05,0.166218,0.216218,8875.73,7981.76,0,7.56853,7.027,0,0.86,67176.2,57771.5,839,6.77
Cod,1966,2,17,6,0.05,0,0.05,0.168889,0.218889,2520.95,2264.12,0,10.1185,9.599,0,1,25508.3,25508.3,935,8.48
Cod,1966,2,17,7,0.05,0,0.05,0.14684,0.19684,1241.22,1126.7,0,12.8249,11.766,0,1,15918.6,15918.6,993,10.15
Cod,1966,2,17,8,0.05,0,0.05,0.14684,0.19684,907.245,823.535,0,12.2974,11.968,0,1,11156.8,11156.8,1050,10.532
Cod,1966,2,17,9,0.05,0,0.05,0.14684,0.19684,374.777,340.197,0,14.4047,14.06,0,1,5398.55,5398.55,1091,11.553
Cod,1966,2,17,10,0.05,0,0.05,0.14684,0.19684,225.461,204.658,0,14.9677,29.684,0,1,3374.65,3374.65,1156,12.158
Cod,1966,3,17,0,0.05,1.01282,0.675,0,1.06282,12792800,7878200,0,0.00598,0,0,0,76500.7,0,84,0.02
Cod,1966,3,17,1,0.05,0.190264,0.2,0.0561311,0.296395,850186,735768,127146,0.23,0.314,39923.7,0.01,195543,1955.43,251,0.42
Cod,1966,3,17,2,0.05,0.183019,0.0875,0.142585,0.375604,118080,98438.5,84752.2,0.829,0.836,70852.9,0.05,97888.4,4894.42,417,1.214
Cod,1966,3,17,3,0.05,0.00836982,0.0625,0.126834,0.185204,35771.7,32654.5,29916,3.68726,2.437,72905.2,0.23,131899,30336.9,590,3.703
Cod,1966,3,17,4,0.05,0,0.05,0.10859,0.15859,9118.14,8431.87,6184.36,5.78607,4.169,25782.6,0.62,52758.2,32710.1,772,5.904
Cod,1966,3,17,5,0.05,0,0.05,0.09382,0.14382,7149.93,6659.56,3378.85,8.78053,7.027,23743.2,0.86,62780.1,53990.9,871,7.758
Cod,1966,3,17,6,0.05,0,0.05,0.0953275,0.145327,2025.36,1885.07,1278.17,10.3783,9.599,12269.1,1,21019.8,21019.8,951,8.775
Cod,1966,3,17,7,0.05,0,0.05,0.0828823,0.132882,1019.44,954.612,476.964,14.1192,11.766,5611.96,1,14393.7,14393.7,969,11.137
Cod,1966,3,17,8,0.05,0,0.05,0.0828823,0.132882,745.14,697.754,369.755,12.7366,11.968,4425.23,1,9490.54,9490.54,1004,10.987
Cod,1966,3,17,9,0.05,0,0.05,0.0828823,0.132882,307.813,288.238,125.937,14.7504,14.06,1770.67,1,4540.37,4540.37,1092,11.939
Cod,1966,3,17,10,0.05,0,0.05,0.0828823,0.132882,185.176,173.4,218.865,15.1895,29.684,6496.79,1,2812.73,2812.73,1134,12.471
Cod,1966,4,17,0,0.05,0.816463,0.675,0,0.866463,4419640,2956230,0,0.0225,0,0,0,99441.9,0,136,0.069
Cod,1966,4,17,1,0.05,0.217039,0.2,0.157672,0.424711,632108,515022,0,0.377,0.314,0,0.01,238305,2383.05,302,0.714
Cod,1966,4,17,2,0.05,0.196841,0.0875,0.0861021,0.332943,81106.2,68985.9,0,1.12,0.836,0,0.05,90838.9,4541.94,444,1.758
Cod,1966,4,17,3,0.05,0,0.0625,0.0690819,0.119082,29723.9,28022.3,0,4.28563,2.437,0,0.23,127386,29298.7,603,4.736
Cod,1966,4,17,4,0.05,0,0.05,0.059145,0.109145,7780.93,7371.34,0,6.3672,4.169,0,0.62,49542.7,30716.5,759,7.216
Cod,1966,4,17,5,0.05,0,0.05,0.0495878,0.0995878,6192.15,5893.8,0,9.70886,7.027,0,0.86,60118.7,51702.1,870,9.52
Cod,1966,4,17,6,0.05,0,0.05,0.0503845,0.100384,1751.41,1666.37,0,10.7865,9.599,0,1,18891.5,18891.5,948,10.231
Cod,1966,4,17,7,0.05,0,0.05,0.0438067,0.0938067,892.591,852.004,0,14.2499,11.766,0,1,12719.4,12719.4,991,12.672
Cod,1966,4,17,8,0.05,0,0.05,0.0438067,0.0938067,652.421,622.755,0,13.066,11.968,0,1,8524.52,8524.52,1027,12.671
Cod,1966,4,17,9,0.05,0,0.05,0.0438067,0.0938067,269.511,257.256,0,14.9809,14.06,0,1,4037.52,4037.52,1001,13.656
Cod,1966,4,17,10,0.05,0,0.05,0.0438067,0.0938067,162.134,154.762,0,15.5221,29.684,0,1,2516.67,2516.67,1171,14.336
Cod,1967,1,17,1,0.05,0.558797,0.2,0.00489001,0.613687,1858180,1388740,0,0.0519,0.326,0,0.01,96439.3,964.393,153,0.09
Cod,1967,1,17,2,0.05,0.235531,0.0875,0.162892,0.448422,413372,333120,0,0.576,0.868,0,0.05,238103,11905.1,329,0.656
Cod,1967,1,17,3,0.05,0.0355077,0.0625,0.214518,0.300025,58137.8,50226.9,0,2.404,2.395,0,0.23,139763,32145.5,496,1.924
Cod,1967,1,17,4,0.05,0.0158421,0.05,0.183661,0.249503,26387,23352.7,0,3.153,3.153,0,0.62,83198.1,51582.8,702,3.289
Cod,1967,1,17,5,0.05,0,0.05,0.188778,0.238778,6976.38,6206,0,6.803,6.803,0,0.86,47460.3,40815.9,830,4.714
Cod,1967,1,17,6,0.05,0,0.05,0.191811,0.241811,5605.2,4978.97,0,9.61,9.61,0,1,53866,53866,937,6.011
Cod,1967,1,17,7,0.05,0,0.05,0.16677,0.21677,1584.13,1424.19,0,12.033,12.033,0,1,19061.8,19061.8,989,6.998
Cod,1967,1,17,8,0.05,0,0.05,0.16677,0.21677,812.667,730.62,0,12.481,12.481,0,1,10142.9,10142.9,1031,7.625
Cod,1967,1,17,9,0.05,0,0.05,0.16677,0.21677,594.003,534.032,0,13.589,13.589,0,1,8071.9,8071.9,1041,8.384
Cod,1967,1,17,10,0.05,0,0.05,0.16677,0.21677,392.995,353.318,0,14.271,30.081,0,1,5608.43,5608.43,1159,8.892
Cod,1967,2,17,1,0.05,0.471119,0.2,0.0128363,0.533955,1005930,779410,0,0.116,0.326,0,0.01,116687,1166.87,194,0.235
Cod,1967,2,17,2,0.05,0.263966,0.0875,0.174241,0.488206,263994,208875,0,0.682,0.868,0,0.05,180044,9002.2,357,1.019
Cod,1967,2,17,3,0.05,0.0175386,0.0625,0.208358,0.275897,43068.4,37637.9,0,3.18411,2.395,0,0.23,137134,31540.9,552,3.279
Cod,1967,2,17,4,0.05,0.00503028,0.05,0.178387,0.233417,20560.4,18337.1,0,3.81226,3.153,0,0.62,78381.7,48596.7,709,5.198
