"Predator","Quarter","Year","Predator.length.class","Prey","Quarter.no","SMS.area","Predator.no","Size.model","Predator.length","Predator.length.mean","Predator.weight","Predator.size","Predator.available.food","Diri.p","Diri.sum.p","Diri.like","Prey.no","Prey.length.class","Prey.length.mean","Prey.weight","Prey.size","N.haul","N.samples","stomcon","stomcon.hat","Residual","L.N.bar","Prey.avail","Prey.avail.part","Suit","Stom.var","obj.contrib","stom.input","stom.used.all","stom.used.like","stom.used.avail","stom.used.prey","Pred.avail","stomcon.hat.part","Residual.part","year.range","year"
"Cod","Q1",1981,13,"Haddock",1,1,17,0,300,339,0.346942,0.346942,1672680,0.875862,36.0362,-15.5677,19,9,128,0.01144,0.0164823,95,95,0.0342501,0.024305,0.00994508,1386270,40654.5,40654.5,1.77927,0.0006403,0,0.0342501,1,1,1,1,1672677.38,0.0243050456029961,0.00994505439700392,"1977-81","Y1981"
"Cod","Q1",1981,13,"Herring",1,1,17,0,300,339,0.346942,0.346942,1672680,0.636507,36.0362,-15.5677,21,9,125,0.0126,0.0182225,95,95,0.0146215,0.017663,-0.00304152,8043110,29544.5,29544.5,0.201579,0.000468487,0,0.0146215,1,1,1,1,1672677.38,0.0176629996634497,-0.00304149966344974,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sandeel",1,1,17,0,300,339,0.346942,0.346942,1672680,2.05485,36.0362,-15.5677,22,8,85,0.00153,0.00316331,95,95,0.0508954,0.0570219,-0.00612647,47427900,95379.2,6457.01,0.0430383,0.00145183,0,0.00610529,1,1,1,1,1672677.38,0.00386028416310622,0.00224500583689378,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sandeel",1,1,17,0,300,339,0.346942,0.346942,1672680,2.05485,36.0362,-15.5677,22,9,119,0.00422,0.0096669,95,95,0,0,0,122903000,0,51133.4,0.0430383,0,0,0.0302859,1,0,1,1,1672677.38,0.0305697922452924,-0.000283892245292395,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sandeel",1,1,17,0,300,339,0.346942,0.346942,1672680,2.05485,36.0362,-15.5677,22,10,167,0.01341,0.0297776,95,95,0,0,0,28241000,0,36193,0.0430383,0,0,0.00528896,1,0,1,1,1672677.38,0.0216377649585959,-0.0163488049585959,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sandeel",1,1,17,0,300,339,0.346942,0.346942,1672680,2.05485,36.0362,-15.5677,22,11,220,0.03047,0.0743557,95,95,0,0,0,498658,0,1595.78,0.0430383,0,0,0.00921522,1,0,1,1,1672677.38,0.000954027368983731,0.00826119263101627,"1977-81","Y1981"
"Cod","Q1",1981,13,"Nor. pout",1,1,17,0,300,339,0.346942,0.346942,1672680,4.44195,36.0362,-15.5677,23,8,87,0.0037,0.00681935,95,95,0.0341157,0.123263,-0.0891477,5632240,206180,16091.2,0.418953,0.00291794,0,0.0136921,1,1,1,1,1672677.38,0.00962002606862538,0.00407207393137462,"1977-81","Y1981"
"Cod","Q1",1981,13,"Nor. pout",1,1,17,0,300,339,0.346942,0.346942,1672680,4.44195,36.0362,-15.5677,23,9,116,0.00979,0.0162881,95,95,0,0,0,27856200,0,190089,0.418953,0,0,0.0204236,1,0,1,1,1672677.38,0.113643552709489,-0.093219952709489,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sprat",1,1,17,0,300,339,0.346942,0.346942,1672680,2.49824,36.0362,-15.5677,24,7,53,0.0017,0.00128534,95,95,0.112481,0.0693258,0.0431549,37456200,115960,8716.39,0.181048,0.00174207,0,0.00347375,1,1,1,1,1672677.38,0.00521104075670588,-0.00173729075670588,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sprat",1,1,17,0,300,339,0.346942,0.346942,1672680,2.49824,36.0362,-15.5677,24,8,85,0.00418,0.00553342,95,95,0,0,0,54113300,0,54211.4,0.181048,0,0,0.0421992,1,0,1,1,1672677.38,0.0324099558278238,0.00978924417217622,"1977-81","Y1981"
"Cod","Q1",1981,13,"Sprat",1,1,17,0,300,339,0.346942,0.346942,1672680,2.49824,36.0362,-15.5677,24,9,123,0.01087,0.0173364,95,95,0,0,0,16896000,0,53031.9,0.181048,0,0,0.0668077,1,0,1,1,1672677.38,0.031704798925421,0.035102901074579,"1977-81","Y1981"
"Cod","Q1",1981,14,"Other",1,1,17,0,400,439,0.726121,0.726121,2353100,10.8411,25.5101,-13.1124,0,0,-1,-1,9999,68,68,0.621164,0.424972,0.196192,-1,1e+06,1e+06,1,0.00921801,0,0.621164,1,1,1,1,2353095.321,0.424972159468248,0.196191840531752,"1977-81","Y1981"
"Cod","Q1",1981,14,"Cod",1,1,17,0,400,439,0.726121,0.726121,2353100,0.595692,25.5101,-13.1124,17,9,130,0.01429,0.0224373,68,68,0.00659343,0.0233512,-0.0167577,370266,54947.6,21500.3,2.58797,0.00086027,0,0.00363733,1,1,1,1,2353095.321,0.00913702892021517,-0.00549969892021517,"1977-81","Y1981"
"Cod","Q1",1981,14,"Cod",1,1,17,0,400,439,0.726121,0.726121,2353100,0.595692,25.5101,-13.1124,17,10,167,0.03998,0.0458931,68,68,0,0,0,281614,0,33447.3,2.58797,0,0,0.0029561,1,0,1,1,2353095.321,0.0142141713093823,-0.0112580713093823,"1977-81","Y1981"
"Cod","Q1",1981,14,"Whiting",1,1,17,0,400,439,0.726121,0.726121,2353100,3.68311,25.5101,-13.1124,18,9,126,0.01357,0.0161589,68,68,0.0753717,0.144378,-0.0690065,3043140,339736,37157,0.755624,0.00465984,0,0.0179124,1,1,1,1,2353095.321,0.0157906905293617,0.00212170947063831,"1977-81","Y1981"
"Cod","Q1",1981,14,"Whiting",1,1,17,0,400,439,0.726121,0.726121,2353100,3.68311,25.5101,-13.1124,18,10,167,0.03845,0.0370506,68,68,0,0,0,4511400,0,126302,0.755624,0,0,0.0044608,1,0,1,1,2353095.321,0.0536748336851587,-0.0492140336851586,"1977-81","Y1981"
"Cod","Q1",1981,14,"Whiting",1,1,17,0,400,439,0.726121,0.726121,2353100,3.68311,25.5101,-13.1124,18,11,217,0.0805,0.0801378,68,68,0,0,0,2911060,0,176276,0.755624,0,0,0.0529985,1,0,1,1,2353095.321,0.0749123923824249,-0.0219138923824249,"1977-81","Y1981"
"Cod","Q1",1981,14,"Haddock",1,1,17,0,400,439,0.726121,0.726121,2353100,2.30475,25.5101,-13.1124,19,9,128,0.01144,0.0164823,68,68,0.0607507,0.0903465,-0.0295958,1386270,212594,40654.5,1.77927,0.0031001,0,0.039431,1,1,1,1,2353095.321,0.0172770306571019,0.0221539693428981,"1977-81","Y1981"
"Cod","Q1",1981,14,"Haddock",1,1,17,0,400,439,0.726121,0.726121,2353100,2.30475,25.5101,-13.1124,19,10,167,0.03336,0.0349569,68,68,0,0,0,2764400,0,171939,1.77927,0,0,0.0213197,1,0,1,1,2353095.321,0.0730692881268111,-0.0517495881268111,"1977-81","Y1981"
"Cod","Q1",1981,14,"Herring",1,1,17,0,400,439,0.726121,0.726121,2353100,2.05224,25.5101,-13.1124,21,8,86,0.00528,0.00573709,68,68,0.047943,0.0804481,-0.0325052,602643,189302,696.941,0.201579,0.00279049,0,0.00076241,1,1,1,1,2353095.321,0.00029618052179196,0.00046622947820804,"1977-81","Y1981"
"Cod","Q1",1981,14,"Herring",1,1,17,0,400,439,0.726121,0.726121,2353100,2.05224,25.5101,-13.1124,21,9,125,0.0126,0.0182225,68,68,0,0,0,8043110,0,29544.5,0.201579,0,0,0.0353346,1,0,1,1,2353095.321,0.0125555899654097,0.0227790100345904,"1977-81","Y1981"
"Cod","Q1",1981,14,"Herring",1,1,17,0,400,439,0.726121,0.726121,2353100,2.05224,25.5101,-13.1124,21,10,167,0.03386,0.0446067,68,68,0,0,0,4945550,0,44469.2,0.201579,0,0,1e-06,1,0,1,1,2353095.321,0.0188981719538254,-0.0188971719538254,"1977-81","Y1981"
"Cod","Q1",1981,14,"Herring",1,1,17,0,400,439,0.726121,0.726121,2353100,2.05224,25.5101,-13.1124,21,11,217,0.06827,0.10021,68,68,0,0,0,2454980,0,49591.3,0.201579,0,0,1e-06,1,0,1,1,2353095.321,0.0210749218518377,-0.0210739218518377,"1977-81","Y1981"
"Cod","Q1",1981,14,"Herring",1,1,17,0,400,439,0.726121,0.726121,2353100,2.05224,25.5101,-13.1124,21,12,267,0.11761,0.190199,68,68,0,0,0,1695360,0,65000.2,0.201579,0,0,0.0118439,1,0,1,1,2353095.321,0.027623275359868,-0.015779375359868,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sandeel",1,1,17,0,400,439,0.726121,0.726121,2353100,1.03402,25.5101,-13.1124,22,8,85,0.00153,0.00316331,68,68,0.0527512,0.0405335,0.0122177,47427900,95379.2,6457.01,0.0430383,0.00146701,0,0.0120371,1,1,1,1,2353095.321,0.00274404948340807,0.00929305051659193,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sandeel",1,1,17,0,400,439,0.726121,0.726121,2353100,1.03402,25.5101,-13.1124,22,9,119,0.00422,0.0096669,68,68,0,0,0,122903000,0,51133.4,0.0430383,0,0,0.0257996,1,0,1,1,2353095.321,0.0217302714189537,0.00406932858104629,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sandeel",1,1,17,0,400,439,0.726121,0.726121,2353100,1.03402,25.5101,-13.1124,22,10,167,0.01341,0.0297776,68,68,0,0,0,28241000,0,36193,0.0430383,0,0,0.00800244,1,0,1,1,2353095.321,0.0153810173676343,-0.0073785773676343,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sandeel",1,1,17,0,400,439,0.726121,0.726121,2353100,1.03402,25.5101,-13.1124,22,11,220,0.03047,0.0743557,68,68,0,0,0,498658,0,1595.78,0.0430383,0,0,0.0069121,1,0,1,1,2353095.321,0.000678162072636241,0.00623393792736376,"1977-81","Y1981"
"Cod","Q1",1981,14,"Nor. pout",1,1,17,0,400,439,0.726121,0.726121,2353100,3.7421,25.5101,-13.1124,23,8,87,0.0037,0.00681935,68,68,0.0533041,0.146691,-0.0933867,5632240,345178,16091.2,0.418953,0.00472169,0,0.0090697,1,1,1,1,2353095.321,0.00683831201243547,0.00223138798756453,"1977-81","Y1981"
"Cod","Q1",1981,14,"Nor. pout",1,1,17,0,400,439,0.726121,0.726121,2353100,3.7421,25.5101,-13.1124,23,9,116,0.00979,0.0162881,68,68,0,0,0,27856200,0,190089,0.418953,0,0,0.0388244,1,0,1,1,2353095.321,0.0807825328211598,-0.0419581328211598,"1977-81","Y1981"
"Cod","Q1",1981,14,"Nor. pout",1,1,17,0,400,439,0.726121,0.726121,2353100,3.7421,25.5101,-13.1124,23,10,167,0.02959,0.0490726,68,68,0,0,0,6760880,0,138998,0.418953,0,0,0.00540999,1,0,1,1,2353095.321,0.0590702802217675,-0.0536602902217675,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sprat",1,1,17,0,400,439,0.726121,0.726121,2353100,1.25713,25.5101,-13.1124,24,7,53,0.0017,0.00128534,68,68,0.0821217,0.0492796,0.0328421,37456200,115960,8716.39,0.181048,0.00176729,0,0.00944262,1,1,1,1,2353095.321,0.00370422308106744,0.00573839691893256,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sprat",1,1,17,0,400,439,0.726121,0.726121,2353100,1.25713,25.5101,-13.1124,24,8,85,0.00418,0.00553342,68,68,0,0,0,54113300,0,54211.4,0.181048,0,0,0.025984,1,0,1,1,2353095.321,0.023038335725797,0.00294566427420303,"1977-81","Y1981"
"Cod","Q1",1981,14,"Sprat",1,1,17,0,400,439,0.726121,0.726121,2353100,1.25713,25.5101,-13.1124,24,9,123,0.01087,0.0173364,68,68,0,0,0,16896000,0,53031.9,0.181048,0,0,0.0466951,1,0,1,1,2353095.321,0.0225370810637042,0.0241580189362958,"1977-81","Y1981"
"Cod","Q1",1981,15,"Other",1,1,17,0,500,576,1.57771,1.57771,3364810,10.0146,33.6971,-10.8365,0,0,-1,-1,9999,89,89,0.347017,0.297193,0.0498238,-1,1e+06,1e+06,1,0.0060198,0,0.347017,1,1,1,1,3364811.78,0.297193443610685,0.0498235563893146,"1977-81","Y1981"
"Cod","Q1",1981,15,"Cod",1,1,17,0,500,576,1.57771,1.57771,3364810,3.92762,33.6971,-10.8365,17,9,130,0.01429,0.0224373,89,89,0.0223521,0.116557,-0.0942045,370266,392191,21500.3,2.58797,0.00296772,0,0.00096472,1,1,1,1,3364811.78,0.00638974819566282,-0.00542502819566282,"1977-81","Y1981"
"Cod","Q1",1981,15,"Cod",1,1,17,0,500,576,1.57771,1.57771,3364810,3.92762,33.6971,-10.8365,17,10,167,0.03998,0.0458931,89,89,0,0,0,281614,0,33447.3,2.58797,0,0,0.00129654,1,0,1,1,3364811.78,0.00994031826647968,-0.00864377826647968,"1977-81","Y1981"
"Cod","Q1",1981,15,"Cod",1,1,17,0,500,576,1.57771,1.57771,3364810,3.92762,33.6971,-10.8365,17,11,217,0.08297,0.0969891,89,89,0,0,0,141539,0,35527,2.58797,0,0,0.00397987,1,0,1,1,3364811.78,0.0105583914711568,-0.00657852147115682,"1977-81","Y1981"
"Cod","Q1",1981,15,"Cod",1,1,17,0,500,576,1.57771,1.57771,3364810,3.92762,33.6971,-10.8365,17,12,267,0.14616,0.175392,89,89,0,0,0,127471,0,57860.1,2.58797,0,0,0.0116759,1,0,1,1,3364811.78,0.0171956423666586,-0.00551974236665862,"1977-81","Y1981"
"Cod","Q1",1981,15,"Cod",1,1,17,0,500,576,1.57771,1.57771,3364810,3.92762,33.6971,-10.8365,17,13,367,0.23214,0.435243,89,89,0,0,0,216493,0,243857,2.58797,0,0,0.00443506,1,0,1,1,3364811.78,0.0724727015785709,-0.0680376415785709,"1977-81","Y1981"
"Cod","Q1",1981,15,"Whiting",1,1,17,0,500,576,1.57771,1.57771,3364810,5.71338,33.6971,-10.8365,18,9,126,0.01357,0.0161589,89,89,0.201807,0.169551,0.0322561,3043140,570507,37157,0.755624,0.00405807,0,0.012804,1,1,1,1,3364811.78,0.0110428167842422,0.00176118321575776,"1977-81","Y1981"
"Cod","Q1",1981,15,"Whiting",1,1,17,0,500,576,1.57771,1.57771,3364810,5.71338,33.6971,-10.8365,18,10,167,0.03845,0.0370506,89,89,0,0,0,4511400,0,126302,0.755624,0,0,0.0271116,1,0,1,1,3364811.78,0.0375361263149168,-0.0104245263149168,"1977-81","Y1981"
"Cod","Q1",1981,15,"Whiting",1,1,17,0,500,576,1.57771,1.57771,3364810,5.71338,33.6971,-10.8365,18,11,217,0.0805,0.0801378,89,89,0,0,0,2911060,0,176276,0.755624,0,0,0.0730306,1,0,1,1,3364811.78,0.0523880714659172,0.0206425285340828,"1977-81","Y1981"
"Cod","Q1",1981,15,"Whiting",1,1,17,0,500,576,1.57771,1.57771,3364810,5.71338,33.6971,-10.8365,18,12,267,0.14282,0.147602,89,89,0,0,0,1547960,0,172647,0.755624,0,0,0.0512383,1,0,1,1,3364811.78,0.051309556459054,-7.12564590540088e-05,"1977-81","Y1981"
"Cod","Q1",1981,15,"Whiting",1,1,17,0,500,576,1.57771,1.57771,3364810,5.71338,33.6971,-10.8365,18,13,317,0.22814,0.244727,89,89,0,0,0,314319,0,58124.3,0.755624,0,0,0.0376227,1,0,1,1,3364811.78,0.0172741608744606,0.0203485391255394,"1977-81","Y1981"
"Cod","Q1",1981,15,"Haddock",1,1,17,0,500,576,1.57771,1.57771,3364810,6.57949,33.6971,-10.8365,19,9,128,0.01144,0.0164823,89,89,0.137511,0.195254,-0.057743,1386270,656992,40654.5,1.77927,0.00452861,0,0.0227823,1,1,1,1,3364811.78,0.0120822508532706,0.0107000491467294,"1977-81","Y1981"
"Cod","Q1",1981,15,"Haddock",1,1,17,0,500,576,1.57771,1.57771,3364810,6.57949,33.6971,-10.8365,19,10,167,0.03336,0.0349569,89,89,0,0,0,2764400,0,171939,1.77927,0,0,0.0506721,1,0,1,1,3364811.78,0.0510991435009776,-0.000427043500977643,"1977-81","Y1981"
"Cod","Q1",1981,15,"Haddock",1,1,17,0,500,576,1.57771,1.57771,3364810,6.57949,33.6971,-10.8365,19,11,217,0.07129,0.0732929,89,89,0,0,0,1183010,0,154274,1.77927,0,0,0.0564824,1,0,1,1,3364811.78,0.0458492213195949,0.0106331786804051,"1977-81","Y1981"
"Cod","Q1",1981,15,"Haddock",1,1,17,0,500,576,1.57771,1.57771,3364810,6.57949,33.6971,-10.8365,19,12,267,0.12848,0.13171,89,89,0,0,0,1238000,0,290124,1.77927,0,0,0.00757395,1,0,1,1,3364811.78,0.0862229506341065,-0.0786490006341065,"1977-81","Y1981"
"Cod","Q1",1981,15,"Herring",1,1,17,0,500,576,1.57771,1.57771,3364810,1.8888,33.6971,-10.8365,21,9,125,0.0126,0.0182225,89,89,0.0731781,0.0560522,0.0171259,8043110,188605,29544.5,0.201579,0.00152492,0,0.0081557,1,1,1,1,3364811.78,0.0087804316947559,-0.000624731694755895,"1977-81","Y1981"
"Cod","Q1",1981,15,"Herring",1,1,17,0,500,576,1.57771,1.57771,3364810,1.8888,33.6971,-10.8365,21,10,167,0.03386,0.0446067,89,89,0,0,0,4945550,0,44469.2,0.201579,0,0,0.0248544,1,0,1,1,3364811.78,0.0132159546826123,0.0116384453173877,"1977-81","Y1981"
"Cod","Q1",1981,15,"Herring",1,1,17,0,500,576,1.57771,1.57771,3364810,1.8888,33.6971,-10.8365,21,11,217,0.06827,0.10021,89,89,0,0,0,2454980,0,49591.3,0.201579,0,0,0.0136555,1,0,1,1,3364811.78,0.0147382092201306,-0.00108270922013059,"1977-81","Y1981"
"Cod","Q1",1981,15,"Herring",1,1,17,0,500,576,1.57771,1.57771,3364810,1.8888,33.6971,-10.8365,21,12,267,0.11761,0.190199,89,89,0,0,0,1695360,0,65000.2,0.201579,0,0,0.0265125,1,0,1,1,3364811.78,0.0193176332733833,0.00719486672661673,"1977-81","Y1981"
"Cod","Q1",1981,15,"Sandeel",1,1,17,0,500,576,1.57771,1.57771,3364810,0.955181,33.6971,-10.8365,22,8,85,0.00153,0.00316331,89,89,0.0733175,0.0283461,0.0449714,47427900,95379.2,6457.01,0.0430383,0.0007938,0,0.00768454,1,1,1,1,3364811.78,0.00191898103732863,0.00576555896267137,"1977-81","Y1981"
"Cod","Q1",1981,15,"Sandeel",1,1,17,0,500,576,1.57771,1.57771,3364810,0.955181,33.6971,-10.8365,22,9,119,0.00422,0.0096669,89,89,0,0,0,122903000,0,51133.4,0.0430383,0,0,0.0148622,1,0,1,1,3364811.78,0.0151965112295226,-0.000334311229522622,"1977-81","Y1981"
"Cod","Q1",1981,15,"Sandeel",1,1,17,0,500,576,1.57771,1.57771,3364810,0.955181,33.6971,-10.8365,22,10,167,0.01341,0.0297776,89,89,0,0,0,28241000,0,36193,0.0430383,0,0,0.0186266,1,0,1,1,3364811.78,0.0107563223046015,0.00787027769539846,"1977-81","Y1981"
"Cod","Q1",1981,15,"Sandeel",1,1,17,0,500,576,1.57771,1.57771,3364810,0.955181,33.6971,-10.8365,22,11,220,0.03047,0.0743557,89,89,0,0,0,498658,0,1595.78,0.0430383,0,0,0.0321442,1,0,1,1,3364811.78,0.00047425535344506,0.0316699446465549,"1977-81","Y1981"
"Cod","Q1",1981,15,"Nor. pout",1,1,17,0,500,576,1.57771,1.57771,3364810,3.4568,33.6971,-10.8365,23,8,87,0.0037,0.00681935,89,89,0.110586,0.102584,0.00800119,5632240,345178,16091.2,0.418953,0.00265327,0,0.0283695,1,1,1,1,3364811.78,0.00478219913982826,0.0235873008601717,"1977-81","Y1981"
"Cod","Q1",1981,15,"Nor. pout",1,1,17,0,500,576,1.57771,1.57771,3364810,3.4568,33.6971,-10.8365,23,9,116,0.00979,0.0162881,89,89,0,0,0,27856200,0,190089,0.418953,0,0,0.0475001,1,0,1,1,3364811.78,0.0564932045025116,-0.00899310450251158,"1977-81","Y1981"
"Cod","Q1",1981,15,"Nor. pout",1,1,17,0,500,576,1.57771,1.57771,3364810,3.4568,33.6971,-10.8365,23,10,167,0.02959,0.0490726,89,89,0,0,0,6760880,0,138998,0.418953,0,0,0.034716,1,0,1,1,3364811.78,0.0413092942749981,-0.00659329427499806,"1977-81","Y1981"
