Species.n Year  Rec SSB TSB SOP SOP.hat mean.F Eaten
19 1983  2.25875e+007 265344 597817 244210 240137 0.79749 499444
19 1984  1.29363e+007 207803 675309 218924 246004 0.851405 506454
19 1985  9.73785e+006 223303 582003 255131 233750 0.760703 338874
19 1986  2.56484e+007 227201 467813 223037 197054 0.938222 478481
19 1987  3.91978e+006 140981 523321 173926 186416 1.00654 318015
19 1988  3.09245e+006 164779 391245 173031 165791 0.927713 157787
19 1989  6.03641e+006 135321 230394 106462 100891 0.775853 144588
19 1990  1.36688e+007 71180 142207 88954 71696.7 0.977529 211128
19 1991  1.25842e+007 47633.5 213792 93283.3 78046.5 0.97222 266962
19 1992  2.20425e+007 69117.1 304078 131765 105468 0.840675 399663
19 1993  6.84985e+006 123499 531268 172685 179580 0.960568 369226
19 1994  2.91856e+007 167839 428555 150951 187557 0.907636 448737
19 1995  1.24881e+007 156033 677266 142421 155833 0.702613 561804
19 1996  1.08526e+007 212233 613081 156823 236755 0.820891 351681
19 1997  8.22468e+006 226032 499101 141288 176933 0.68287 284562
19 1998  3.63711e+006 173674 375419 131356 134249 0.673942 177833
19 1999  4.03742e+007 132416 245676 111934 120156 0.951722 455404
19 2000  1.19217e+007 81595.8 788529 104520 214675 1.09906 632665
19 2001  1.29707e+006 255379 883796 167038 301531 0.761657 257236
19 2002  3.05857e+006 400890 646019 107818 203704 0.445828 152057
19 2003  4.04283e+006 302174 398945 66794.3 90638.2 0.293974 123053
19 2004  2.75304e+006 204499 273997 64840.6 59921.9 0.310516 106006
19 2005  2.21627e+007 142029 192878 57155.5 52244.6 0.386684 295616
19 2006  5.91934e+006 94769.8 445868 56120.3 86635.8 0.712174 391257
19 2007  2.39072e+006 127131 367544 59528.8 94444.2 0.531525 165733
19 2008  1.68162e+006 179633 303713 43616 56080.8 0.265194 107863
19 2009  9.69476e+006 139511 206646 43371.7 35459.7 0.220881 149329
19 2010  1.06765e+006 129082 335207 39591.4 34088.7 0.217168 174678
19 2011  NA 177190 NA NA NA NA NA 
20 1963  212245 37711.9 126559 23918 23898.1 0.291735 0
20 1964  214099 53357.4 183612 38831.4 58787.8 0.598553 0
20 1965  163320 57090.7 271483 56502.3 43342.7 0.261916 0
20 1966  437438 93364.7 375064 77337.8 96907.4 0.362636 0
20 1967  532059 161452 441223 88339.3 110131 0.351525 0
20 1968  531161 215842 573833 113741 72969.6 0.18159 0
20 1969  244291 289409 779119 130580 151906 0.305421 0
20 1970  207040 328662 962774 235012 173407 0.263861 0
20 1971  168009 470689 1.11262e+006 265356 256172 0.318881 0
20 1972  220140 526824 964431 261914 260880 0.357389 0
20 1973  377568 557097 869545 242513 217178 0.336406 0
20 1974  207601 608738 900937 298347 261243 0.424859 0
20 1975  128630 525131 822282 271610 264984 0.523996 0
20 1976  179290 380056 679384 343898 220149 0.523721 0
20 1977  136611 303751 583181 216393 238678 0.669517 0
20 1978  302868 262652 459770 155124 126102 0.397405 0
20 1979  248927 260715 501037 128352 136655 0.408229 0
20 1980  225893 245477 496939 131897 154253 0.49078 0
20 1981  206606 248482 568077 132273 177577 0.518409 0
20 1982  249082 202390 564740 174336 172501 0.47442 0
20 1983  399005 211518 545387 180040 228392 0.683613 0
20 1984  243496 180916 445893 200843 153233 0.557355 0
20 1985  207494 154114 410700 220870 131021 0.546088 0
20 1986  118223 144191 437303 198605 178205 0.728273 0
20 1987  112587 138753 373759 167503 147012 0.641042 0
20 1988  173057 133537 328893 135176 140180 0.678391 0
20 1989  149208 119291 275800 108892 105008 0.625466 0
20 1990  195251 110615 250415 103831 82569.7 0.554529 0
20 1991  153751 100095 256470 108071 82125.8 0.54479 0
20 1992  450191 93203.7 279378 99744.8 59102.3 0.352279 0
20 1993  207364 115749 342778 111499 114054 0.590706 0
20 1994  294077 108737 355926 109621 82302.9 0.418253 0
20 1995  122930 139694 547093 121795 155974 0.572783 0
20 1996  256702 141503 508236 114968 145806 0.484624 0
20 1997  173960 189885 496416 107348 121745 0.349109 0
20 1998  376765 188820 428845 106126 105213 0.342326 0
20 1999  389931 203023 451245 110531 140676 0.484456 0
20 2000  236210 188694 498360 85780.7 104812 0.361341 0
20 2001  201018 198130 552258 91740.7 87242 0.258978 0
20 2002  320481 214901 619205 107987 134514 0.375348 0
20 2003  89074.5 239460 572611 98831 131761 0.341336 0
20 2004  231519 297866 614886 94806 127250 0.302206 0
20 2005  147051 285241 568294 115602 122206 0.308672 0
20 2006  101937 275655 516563 123304 144015 0.375281 0
20 2007  168214 250326 460801 100748 103314 0.288635 0
20 2008  223259 242782 469730 119290 117963 0.337295 0
20 2009  223259 234258 409164 115727 153899 0.516675 0
20 2010  223259 194338 380575 102545 108531 0.414511 0
20 2011  NA 162580 NA NA NA NA NA 
21 1963  7.31608e+007 2.35744e+006 2.56929e+006 752079 709055 0.161433 894516
21 1964  9.02174e+007 2.75119e+006 2.96573e+006 1.17704e+006 1.31939e+006 0.253981 1.24432e+006
21 1965  4.42975e+007 2.42818e+006 2.71241e+006 2.06291e+006 1.76681e+006 0.456748 1.13145e+006
21 1966  2.61731e+007 1.80809e+006 1.94135e+006 1.43677e+006 1.18922e+006 0.445438 739445
21 1967  5.06766e+007 1.20946e+006 1.30238e+006 1.19382e+006 1.03311e+006 0.630383 560191
21 1968  4.94291e+007 724616 945679 1.12909e+006 1.09986e+006 0.925171 505778
21 1969  2.88552e+007 618786 834526 621332 610527 0.588987 567146
21 1970  2.68613e+007 654503 777335 580308 554667 0.620654 476631
21 1971  2.44761e+007 478601 631168 589933 555701 0.795415 387160
21 1972  2.06979e+007 375238 568186 459675 308572 0.436629 380819
21 1973  8.55936e+006 489174 653348 468183 475766 0.695295 314205
21 1974  1.21409e+007 353100 420407 273014 306094 0.675136 174146
21 1975  9.18486e+006 218844 321474 303675 306058 0.890533 164890
21 1976  5.6077e+006 210535 274473 170973 135941 0.411407 134249
21 1977  9.78704e+006 202772 248516 56824.5 46935.2 0.134664 154097
21 1978  7.15834e+006 220522 288601 13880.7 10248.8 0.0113655 168353
21 1979  1.48315e+007 307587 371016 26606.1 22846.4 0.0195972 195567
21 1980  3.61371e+007 375300 477801 78807.6 104638 0.0534957 351472
21 1981  3.9604e+007 481566 671540 195149 257651 0.131802 473550
21 1982  4.91228e+007 580688 792655 279257 267931 0.0944236 584338
21 1983  3.75578e+007 783426 1.03775e+006 455956 321724 0.204619 580289
21 1984  4.15441e+007 1.03013e+006 1.32044e+006 504425 511546 0.275073 635882
21 1985  5.6647e+007 1.18854e+006 1.53303e+006 689160 707637 0.378839 759780
21 1986  7.06408e+007 1.14786e+006 1.53301e+006 810038 714816 0.340059 858465
21 1987  5.99978e+007 1.29078e+006 1.7708e+006 839990 653164 0.321984 1.00123e+006
21 1988  3.99736e+007 1.59862e+006 2.00202e+006 1.08412e+006 786810 0.337062 882054
21 1989  4.10633e+007 1.56692e+006 1.88751e+006 885644 732894 0.323268 732232
21 1990  3.73329e+007 1.49396e+006 1.70554e+006 761585 619074 0.28002 650040
21 1991  3.38782e+007 1.34298e+006 1.56007e+006 742772 696028 0.319507 582660
21 1992  4.98191e+007 1.08958e+006 1.4369e+006 877418 819918 0.425153 579920
21 1993  4.89566e+007 821627 1.34147e+006 970469 997568 0.605668 590763
21 1994  3.50031e+007 858434 1.20635e+006 797330 885912 0.542526 497026
21 1995  3.88329e+007 844796 1.18591e+006 746226 751125 0.503442 542491
21 1996  3.93036e+007 819148 1.14965e+006 312331 308366 0.225493 588949
21 1997  2.40967e+007 975247 1.37592e+006 297315 319679 0.179743 667057
21 1998  2.33895e+007 1.237e+006 1.63038e+006 428412 474761 0.337716 675250
21 1999  6.16701e+007 1.24878e+006 1.52415e+006 394978 367311 0.256965 683163
21 2000  4.03161e+007 1.23936e+006 1.73202e+006 431287 425213 0.263462 730602
21 2001  1.08184e+008 1.93037e+006 2.45354e+006 430770 451457 0.199675 1.30632e+006
21 2002  4.97514e+007 2.33918e+006 3.07651e+006 470165 438271 0.166657 1.74485e+006
21 2003  2.65356e+007 2.5581e+006 3.84602e+006 604611 594587 0.18831 1.67849e+006
21 2004  3.2453e+007 2.61626e+006 3.47427e+006 758460 657703 0.205244 1.44401e+006
21 2005  2.0346e+007 2.38495e+006 2.66281e+006 913982 752336 0.282098 1.06372e+006
21 2006  2.58359e+007 1.66795e+006 1.93056e+006 512033 445425 0.236491 736103
21 2007  3.07876e+007 1.32218e+006 1.55708e+006 408128 330393 0.220898 706309
21 2008  2.77377e+007 1.11298e+006 1.39622e+006 258901 229858 0.166637 625996
21 2009  3.79047e+007 1.19838e+006 1.49617e+006 168817 155782 0.0945093 581337
21 2010  3.5979e+007 1.41332e+006 1.80142e+006 188240 180370 0.0985095 702844
21 2011  NA 1.82086e+006 NA NA NA NA NA 
22 1963  7.04413e+008 2.04942e+006 3.53295e+006 162304 162267 0.0580378 4.17159e+006
22 1964  5.70131e+008 1.78347e+006 3.00537e+006 128003 124481 0.0521016 3.41382e+006
22 1965  4.91541e+008 1.51435e+006 2.53761e+006 130603 127044 0.0605754 2.62194e+006
22 1966  5.49382e+008 1.46558e+006 2.40434e+006 143103 138857 0.0656016 2.23442e+006
22 1967  8.36801e+008 1.6676e+006 2.7113e+006 188704 182592 0.0740422 2.76492e+006
22 1968  5.23796e+008 2.00218e+006 3.15921e+006 193704 180810 0.0773819 3.55638e+006
22 1969  3.50525e+008 1.26407e+006 2.12132e+006 113303 104634 0.0639287 2.27908e+006
22 1970  8.7713e+008 1.0075e+006 1.62365e+006 191404 200361 0.131455 1.9815e+006
22 1971  3.37469e+008 970574 2.508e+006 188172 193294 0.0857217 2.19504e+006
22 1972  3.97354e+008 2.00135e+006 2.5302e+006 198137 112041 0.055293 2.30132e+006
22 1973  3.47292e+008 1.35685e+006 2.10859e+006 169862 141856 0.0927148 1.84764e+006
22 1974  5.08079e+008 1.27864e+006 1.90953e+006 340131 336602 0.197479 1.57378e+006
22 1975  3.96006e+008 1.20601e+006 2.0828e+006 359747 391151 0.230995 1.90809e+006
22 1976  5.14375e+008 1.11508e+006 1.54157e+006 426750 426076 0.335701 1.32201e+006
22 1977  6.24939e+008 808223 1.48224e+006 588155 603456 0.482004 1.26707e+006
22 1978  5.18469e+008 878284 1.67623e+006 800672 615180 0.462048 1.28531e+006
22 1979  6.91975e+008 1.01677e+006 1.60562e+006 684496 667675 0.491936 1.38071e+006
22 1980  4.79613e+008 882784 1.73016e+006 724512 673381 0.488218 1.53971e+006
22 1981  8.87374e+008 855589 1.34354e+006 528547 672805 0.623472 1.57065e+006
22 1982  2.7345e+008 502746 1.57979e+006 595787 824060 0.776894 1.11856e+006
22 1983  8.65421e+008 681599 936915 531027 369268 0.473206 1.23199e+006
22 1984  4.93929e+008 444415 1.72764e+006 751619 822292 0.640545 1.49684e+006
22 1985  8.9547e+008 926277 1.50397e+006 707597 1.1352e+006 1.22876 1.2769e+006
22 1986  6.17663e+008 351082 1.68188e+006 686112 421888 0.275609 1.94156e+006
22 1987  3.9773e+008 1.29307e+006 2.03952e+006 791457 466813 0.240638 1.98794e+006
22 1988  8.10044e+008 1.188e+006 1.5785e+006 1.00719e+006 883617 0.665153 1.71494e+006
22 1989  5.25775e+008 515282 1.35331e+006 838491 653463 0.648442 1.39832e+006
22 1990  7.23629e+008 635108 1.10719e+006 585076 612333 0.687659 1.41311e+006
22 1991  7.71516e+008 459534 1.15838e+006 898399 676720 0.546549 1.55495e+006
22 1992  5.82318e+008 647734 1.47421e+006 821048 533151 0.341945 1.69238e+006
22 1993  8.25697e+008 969264 1.45679e+006 578603 533100 0.375558 1.85709e+006
22 1994  9.47919e+008 745401 1.62474e+006 771207 761243 0.468532 1.98657e+006
22 1995  5.15358e+008 933657 2.03869e+006 915459 712772 0.325188 2.0242e+006
22 1996  1.41469e+009 1.24031e+006 1.74326e+006 776135 786348 0.487291 2.14592e+006
22 1997  4.03884e+008 751152 3.1052e+006 1.11975e+006 968879 0.385439 2.5045e+006
22 1998  3.89227e+008 2.27751e+006 2.66683e+006 1.0041e+006 800373 0.472362 1.69788e+006
22 1999  6.90231e+008 1.15392e+006 1.56473e+006 719303 562247 0.45666 1.51864e+006
22 2000  6.56123e+008 668414 1.44734e+006 694736 536758 0.501569 1.65673e+006
22 2001  8.0438e+008 628361 1.37326e+006 858444 540517 0.688309 1.63792e+006
22 2002  1.47496e+008 498681 1.56584e+006 807010 464657 0.387363 1.35169e+006
22 2003  4.66983e+008 931758 1.04075e+006 324207 412657 0.696808 1.01897e+006
22 2004  3.26285e+008 264599 738677 359546 290437 0.550829 846929
22 2005  5.68371e+008 343880 649425 172279 251728 0.585224 1.00793e+006
22 2006  4.14877e+008 276242 935353 288631 355578 0.457231 1.14433e+006
22 2007  6.79225e+008 481898 909102 206791 215103 0.257029 1.38196e+006
22 2008  3.53485e+008 525526 1.4046e+006 346949 396971 0.31567 1.39159e+006
22 2009  1.06527e+009 902417 1.26796e+006 335197 274350 0.321104 1.75562e+006
22 2010  3.04402e+008 714058 2.41612e+006 394693 366014 0.155544 2.31009e+006
22 2011  NA 1.96679e+006 NA NA NA NA NA 
23 1963  9.0625e+007 42813 127549 137748 128021 1.59174 452733
23 1964  9.01074e+007 36314.3 151403 61377 69772.5 0.667468 517964
23 1965  1.1637e+008 42224.6 167751 43183.8 43504.7 0.335432 656290
23 1966  1.28293e+008 60976.1 233638 52980.2 54566 0.281138 704480
23 1967  1.94038e+008 103378 359108 182532 180665 0.600016 956026
23 1968  5.02596e+008 179396 604511 451631 437657 1.04957 2.50428e+006
23 1969  4.36243e+008 205726 904243 113458 121384 0.18407 2.78695e+006
23 1970  2.88055e+008 225415 884715 237911 217507 0.339905 1.98736e+006
23 1971  2.99724e+008 211689 762420 305186 300529 0.530103 1.77173e+006
23 1972  2.96499e+008 227210 864882 444633 439954 0.765902 1.99851e+006
23 1973  5.58554e+008 206200 617604 345771 301881 0.685813 2.63731e+006
23 1974  2.06569e+008 175262 1.13395e+006 732616 961414 1.51465 1.51487e+006
23 1975  4.69267e+008 203496 608967 508283 415459 0.92532 2.29215e+006
23 1976  3.77135e+008 217236 961150 472622 428942 0.664392 2.3184e+006
23 1977  1.50224e+008 245560 956588 384115 305469 0.503264 1.46933e+006
23 1978  2.10225e+008 265403 566689 253976 275912 0.664571 1.16804e+006
23 1979  2.72215e+008 162302 638330 340127 327364 0.718207 1.44367e+006
23 1980  1.27955e+008 251447 879131 535055 469549 0.729955 1.25251e+006
23 1981  1.85662e+008 229254 448517 432386 190955 0.592468 1.0756e+006
23 1982  2.10049e+008 109081 442071 390248 232955 0.869198 1.13576e+006
23 1983  2.13097e+008 158507 598194 475870 309284 0.741427 1.20011e+006
23 1984  1.32661e+008 262135 774376 376547 425725 1.10919 1.09647e+006
23 1985  1.13442e+008 215249 454293 227481 332787 1.29081 714317
23 1986  1.62084e+008 97409.3 313721 180622 247510 1.07461 902756
23 1987  6.44035e+007 86892.1 337896 148906 175155 1.03308 561402
23 1988  1.6984e+008 85525.9 170380 109295 104011 0.648515 828651
23 1989  1.42733e+008 71301 335026 166561 97618.9 0.430223 919973
23 1990  1.19344e+008 135888 358808 139429 144260 0.667288 729375
23 1991  1.46145e+008 135622 373900 190461 243118 0.938841 788423
23 1992  1.03439e+008 148475 457799 302463 258793 0.81165 740787
23 1993  1.05747e+008 186820 386315 181255 217259 0.817275 677721
23 1994  2.40814e+008 126661 321819 183588 204865 0.803444 1.0669e+006
23 1995  1.52509e+008 152576 700019 231768 153047 0.342947 1.32274e+006
23 1996  1.97895e+008 347669 609167 156078 152819 0.269417 1.24778e+006
23 1997  7.52796e+007 243965 656809 156911 136035 0.28107 948152
23 1998  1.47844e+008 259014 390583 75285.3 77182.4 0.240369 913270
23 1999  1.84666e+008 145583 413678 92309.6 96399.2 0.290658 1.09532e+006
23 2000  1.4208e+008 175008 528295 184995 142942 0.304126 1.0724e+006
23 2001  1.60759e+008 292123 517980 64371.8 67544 0.160741 1.17692e+006
23 2002  8.59837e+007 169768 407614 77108.9 55652.4 0.171671 794246
23 2003  4.50388e+007 104644 234401 24687 28800.4 0.151792 446789
23 2004  6.1362e+007 66817.8 130403 13487.6 13233.9 0.0937096 390128
23 2005  8.70794e+007 46184.7 142261 0 0 0 513961
23 2006  9.82912e+007 64906.4 206077 46495.4 48752.4 0.233775 616663
23 2007  1.55324e+008 97109.6 248715 5783.23 0 0 908219
23 2008  2.57222e+008 125521 368445 35093.8 16783.1 0.041216 1.36727e+006
23 2009  1.92378e+008 211679 692822 45813.1 39976.3 0.0510029 1.38425e+006
23 2010  3.25115e+007 468921 865631 128438 70430.7 0.073745 933263
23 2011  NA 477163 NA NA NA NA NA 
24 1963  1e+008 292947 394458 67504.1 68894.7 0.178291 495426
24 1964  1e+008 250176 312787 70283.6 64277.6 0.208484 377895
24 1965  1e+008 202120 268526 75545 62691.5 0.244552 339115
24 1966  1e+008 189702 259805 106220 87261.8 0.360419 299771
24 1967  1e+008 198219 276187 70482.2 65458.9 0.222731 304840
24 1968  1e+008 259778 330934 70515 62429.3 0.205464 345752
24 1969  1e+008 252615 331969 57983.3 56077.3 0.169521 327311
24 1970  8.2437e+007 296464 379892 46901.1 51386.3 0.109086 309926
24 1971  1.25576e+008 374915 442725 76644 85040 0.149407 327553
24 1972  4.30715e+008 433919 538746 87924.8 93177.9 0.147977 741793
24 1973  4.41129e+008 645011 946097 208934 195802 0.267271 1.21787e+006
24 1974  3.74587e+008 839360 1.1973e+006 273105 271280 0.281109 1.16932e+006
24 1975  7.6003e+008 1.24923e+006 1.56313e+006 566425 548024 0.401646 2.05136e+006
24 1976  3.28835e+008 1.04239e+006 1.56917e+006 520182 549864 0.610599 1.7286e+006
24 1977  3.59109e+008 886361 1.09298e+006 279866 301589 0.354644 1.23079e+006
24 1978  5.03586e+008 668613 893424 399260 361761 0.510118 1.20728e+006
24 1979  3.04775e+008 621454 947457 411841 361797 0.636324 1.17541e+006
24 1980  2.11107e+008 577465 773912 303737 295881 0.641568 938550
24 1981  1.07974e+008 307033 425194 178834 154444 0.609779 509571
24 1982  8.15247e+007 173590 236388 138902 92178.5 0.646496 308721
24 1983  1.49744e+008 111265 162687 81858.8 81647 0.723818 311897
24 1984  1.46645e+008 148880 249757 77866.1 111603 0.738357 455364
24 1985  1.23249e+008 166502 253494 49009.4 40061.5 0.172239 430889
24 1986  2.40943e+008 196633 269637 15850.1 16446.6 0.0745915 636043
24 1987  1.26004e+008 215431 319223 74617.5 120107 0.4207 555598
24 1988  2.12186e+008 130624 180446 82033.1 30412.1 0.168174 516526
24 1989  1.47396e+008 147567 232951 63304.7 71043.9 0.526833 464658
24 1990  1.91816e+008 111173 169585 41489 29763.6 0.135217 450516
24 1991  1.51184e+008 156778 254760 68677.4 88576.4 0.271439 494782
24 1992  2.28633e+008 171872 255224 102913 71050.1 0.307218 570092
24 1993  3.96076e+008 213222 339597 179442 141987 0.428517 824067
24 1994  1.94212e+008 353921 589059 315885 194115 0.445791 845890
24 1995  9.58677e+007 371147 487218 356039 246394 0.574262 559398
24 1996  1.57175e+008 181743 232251 135685 113480 0.554486 368775
24 1997  1.74119e+008 159885 258265 100222 100641 0.315689 514032
24 1998  2.68035e+008 206702 305836 159156 178860 0.564057 633440
24 1999  2.10238e+008 243225 393965 187606 157576 0.448709 681988
24 2000  1.53607e+008 261366 374115 195700 204443 0.571347 551287
