year,quarter,pred_name,stratum_area,size,area_size_fac
1981,1,HAD,3,600,0.3125
1981,1,HAD,3,700,0
1981,1,HAD,4,80,0
1981,1,HAD,4,100,0
1981,1,HAD,4,120,0.136363636
1981,1,HAD,4,150,2.045454546
1981,1,HAD,4,200,40.5
1981,1,HAD,4,250,121.4545455
1981,1,HAD,4,300,19.45454546
1981,1,HAD,4,350,4.681818182
1981,1,HAD,4,400,2.227272727
1981,1,HAD,4,500,0.045454546
1981,1,HAD,4,600,0
1981,1,HAD,4,700,0
1981,1,HAD,5,80,0
1981,1,HAD,5,100,0
1981,1,HAD,5,120,0
1981,1,HAD,5,150,0
1981,1,HAD,5,200,0.8
1981,1,HAD,5,250,0
1981,1,HAD,5,300,0.4
1981,1,HAD,5,350,0
1981,1,HAD,5,400,0.2
1981,1,HAD,5,500,0
1981,1,HAD,5,600,0
1981,1,HAD,5,700,0
1981,1,HAD,6,80,0
1981,1,HAD,6,100,0
1981,1,HAD,6,120,0
1981,1,HAD,6,150,0.286666667
1981,1,HAD,6,200,3.147777778
1981,1,HAD,6,250,0.61
1981,1,HAD,6,300,7.075555556
1981,1,HAD,6,350,5.333333333
1981,1,HAD,6,400,0.971111111
1981,1,HAD,6,500,0.223333333
1981,1,HAD,6,600,0
1981,1,HAD,6,700,0
1981,1,HAD,7,80,0
1981,1,HAD,7,100,0
1981,1,HAD,7,120,0
1981,1,HAD,7,150,0
1981,1,HAD,7,200,0.296296296
1981,1,HAD,7,250,1
1981,1,HAD,7,300,7
1981,1,HAD,7,350,3
1981,1,HAD,7,400,2.222222222
1981,1,HAD,7,500,0.222222222
1981,1,HAD,7,600,0
1981,1,HAD,7,700,0
1981,1,HAD,8,80,0
1981,1,HAD,8,100,0
1981,1,HAD,8,120,0
1981,1,HAD,8,150,0
1981,1,HAD,8,200,0
1981,1,HAD,8,250,0
1981,1,HAD,8,300,0
1981,1,HAD,8,350,0
1981,1,HAD,8,400,0
1981,1,HAD,8,500,0
1981,1,HAD,8,600,0
1981,1,HAD,8,700,0
1981,1,HAD,9,80,0
1981,1,HAD,9,100,0
1981,1,HAD,9,120,0
1981,1,HAD,9,150,0
1981,1,HAD,9,200,0
1981,1,HAD,9,250,0
1981,1,HAD,9,300,0
1981,1,HAD,9,350,0
1981,1,HAD,9,400,0
1981,1,HAD,9,500,0
1981,1,HAD,9,600,0
1981,1,HAD,9,700,0
1981,1,MAC,1,150,0
1981,1,MAC,1,200,0
1981,1,MAC,1,250,0
1981,1,MAC,1,300,0
1981,1,MAC,2,150,0.117647059
1981,1,MAC,2,200,0.235294118
1981,1,MAC,2,250,0.117647059
1981,1,MAC,2,300,0.117647059
1981,1,MAC,3,150,0
1981,1,MAC,3,200,0.0625
1981,1,MAC,3,250,0
1981,1,MAC,3,300,0
1981,1,MAC,4,150,0
1981,1,MAC,4,200,0
1981,1,MAC,4,250,0
1981,1,MAC,4,300,0
1981,1,MAC,5,150,0
1981,1,MAC,5,200,0
1981,1,MAC,5,250,0
1981,1,MAC,5,300,0
1981,1,MAC,6,150,0
1981,1,MAC,6,200,0.055555556
1981,1,MAC,6,250,0.005555556
1981,1,MAC,6,300,0
1981,1,MAC,7,150,0
1981,1,MAC,7,200,0
1981,1,MAC,7,250,0
1981,1,MAC,7,300,0
1981,1,MAC,8,150,0
1981,1,MAC,8,200,0
1981,1,MAC,8,250,0
1981,1,MAC,8,300,0
1981,1,MAC,9,150,0
1981,1,MAC,9,200,0
1981,1,MAC,9,250,0
1981,1,MAC,9,300,0
1981,1,POK,1,350,1
1981,1,POK,1,400,1
1981,1,POK,1,500,0.2
1981,1,POK,1,600,2
1981,1,POK,1,700,1
1981,1,POK,1,800,0.8
1981,1,POK,1,1000,0.2
1981,1,POK,2,350,0
1981,1,POK,2,400,0
1981,1,POK,2,500,0
1981,1,POK,2,600,0
1981,1,POK,2,700,0
1981,1,POK,2,800,0
1981,1,POK,2,1000,0
1981,1,POK,3,350,0
1981,1,POK,3,400,0
1981,1,POK,3,500,0
1981,1,POK,3,600,0
1981,1,POK,3,700,0
1981,1,POK,3,800,0
1981,1,POK,3,1000,0
1981,1,POK,4,350,0
1981,1,POK,4,400,0
1981,1,POK,4,500,0
1981,1,POK,4,600,0
1981,1,POK,4,700,0
1981,1,POK,4,800,0
1981,1,POK,4,1000,0.045454546
1981,1,POK,5,350,0
1981,1,POK,5,400,0
1981,1,POK,5,500,0
1981,1,POK,5,600,0
1981,1,POK,5,700,0
1981,1,POK,5,800,0
1981,1,POK,5,1000,0
1981,1,POK,6,350,0.033333333
1981,1,POK,6,400,0.033333333
1981,1,POK,6,500,0
1981,1,POK,6,600,0
1981,1,POK,6,700,0
1981,1,POK,6,800,0
