"Species","year","quarter","l1","l2","no","group"
"ALL",1990,3,300,350,10,"0300-0350"
"ALL",1990,3,350,400,11,"0350-0400"
"ALL",1990,3,400,500,12,"0400-0500"
"ALL",1990,3,500,600,13,"0500-0600"
"ALL",1990,3,600,700,14,"0600-0700"
"ALL",1990,3,700,800,15,"0700-0800"
"ALL",1990,3,800,1000,16,"0800-1000"
"ALL",1990,3,1000,1200,17,"1000-1200"
"ALL",1990,3,1200,9999,18,"1200-9999"
"ALL",1990,4,50,60,1,"0050-0060"
"ALL",1990,4,60,70,2,"0060-0070"
"ALL",1990,4,70,80,3,"0070-0080"
"ALL",1990,4,80,100,4,"0080-0100"
"ALL",1990,4,100,120,5,"0100-0120"
"ALL",1990,4,120,150,6,"0120-0150"
"ALL",1990,4,150,200,7,"0150-0200"
"ALL",1990,4,200,250,8,"0200-0250"
"ALL",1990,4,250,300,9,"0250-0300"
"ALL",1990,4,300,350,10,"0300-0350"
"ALL",1990,4,350,400,11,"0350-0400"
"ALL",1990,4,400,500,12,"0400-0500"
"ALL",1990,4,500,600,13,"0500-0600"
"ALL",1990,4,600,700,14,"0600-0700"
"ALL",1990,4,700,800,15,"0700-0800"
"ALL",1990,4,800,1000,16,"0800-1000"
"ALL",1990,4,1000,1200,17,"1000-1200"
"ALL",1990,4,1200,9999,18,"1200-9999"
"ALL",1991,1,50,60,1,"0050-0060"
"ALL",1991,1,60,70,2,"0060-0070"
"ALL",1991,1,70,80,3,"0070-0080"
"ALL",1991,1,80,100,4,"0080-0100"
"ALL",1991,1,100,120,5,"0100-0120"
"ALL",1991,1,120,150,6,"0120-0150"
"ALL",1991,1,150,200,7,"0150-0200"
"ALL",1991,1,200,250,8,"0200-0250"
"ALL",1991,1,250,300,9,"0250-0300"
"ALL",1991,1,300,350,10,"0300-0350"
"ALL",1991,1,350,400,11,"0350-0400"
"ALL",1991,1,400,500,12,"0400-0500"
"ALL",1991,1,500,600,13,"0500-0600"
"ALL",1991,1,600,700,14,"0600-0700"
"ALL",1991,1,700,800,15,"0700-0800"
"ALL",1991,1,800,1000,16,"0800-1000"
"ALL",1991,1,1000,1200,17,"1000-1200"
"ALL",1991,1,1200,9999,18,"1200-9999"
"ALL",1991,2,50,60,1,"0050-0060"
"ALL",1991,2,60,70,2,"0060-0070"
"ALL",1991,2,70,80,3,"0070-0080"
"ALL",1991,2,80,100,4,"0080-0100"
"ALL",1991,2,100,120,5,"0100-0120"
"ALL",1991,2,120,150,6,"0120-0150"
"ALL",1991,2,150,200,7,"0150-0200"
"ALL",1991,2,200,250,8,"0200-0250"
"ALL",1991,2,250,300,9,"0250-0300"
"ALL",1991,2,300,350,10,"0300-0350"
"ALL",1991,2,350,400,11,"0350-0400"
"ALL",1991,2,400,500,12,"0400-0500"
"ALL",1991,2,500,600,13,"0500-0600"
"ALL",1991,2,600,700,14,"0600-0700"
"ALL",1991,2,700,800,15,"0700-0800"
"ALL",1991,2,800,1000,16,"0800-1000"
"ALL",1991,2,1000,1200,17,"1000-1200"
"ALL",1991,2,1200,9999,18,"1200-9999"
"ALL",1991,3,50,60,1,"0050-0060"
"ALL",1991,3,60,70,2,"0060-0070"
"ALL",1991,3,70,80,3,"0070-0080"
"ALL",1991,3,80,100,4,"0080-0100"
"ALL",1991,3,100,120,5,"0100-0120"
"ALL",1991,3,120,150,6,"0120-0150"
"ALL",1991,3,150,200,7,"0150-0200"
"ALL",1991,3,200,250,8,"0200-0250"
"ALL",1991,3,250,300,9,"0250-0300"
"ALL",1991,3,300,350,10,"0300-0350"
"ALL",1991,3,350,400,11,"0350-0400"
"ALL",1991,3,400,500,12,"0400-0500"
"ALL",1991,3,500,600,13,"0500-0600"
"ALL",1991,3,600,700,14,"0600-0700"
"ALL",1991,3,700,800,15,"0700-0800"
"ALL",1991,3,800,1000,16,"0800-1000"
"ALL",1991,3,1000,1200,17,"1000-1200"
"ALL",1991,3,1200,9999,18,"1200-9999"
"ALL",1991,4,50,60,1,"0050-0060"
"ALL",1991,4,60,70,2,"0060-0070"
"ALL",1991,4,70,80,3,"0070-0080"
"ALL",1991,4,80,100,4,"0080-0100"
"ALL",1991,4,100,120,5,"0100-0120"
"ALL",1991,4,120,150,6,"0120-0150"
"ALL",1991,4,150,200,7,"0150-0200"
"ALL",1991,4,200,250,8,"0200-0250"
"ALL",1991,4,250,300,9,"0250-0300"
"ALL",1991,4,300,350,10,"0300-0350"
"ALL",1991,4,350,400,11,"0350-0400"
"ALL",1991,4,400,500,12,"0400-0500"
"ALL",1991,4,500,600,13,"0500-0600"
"ALL",1991,4,600,700,14,"0600-0700"
"ALL",1991,4,700,800,15,"0700-0800"
"ALL",1991,4,800,1000,16,"0800-1000"
"ALL",1991,4,1000,1200,17,"1000-1200"
"ALL",1991,4,1200,9999,18,"1200-9999"
"ALL",1992,1,50,60,1,"0050-0060"
"ALL",1992,1,60,70,2,"0060-0070"
"ALL",1992,1,70,80,3,"0070-0080"
"ALL",1992,1,80,100,4,"0080-0100"
"ALL",1992,1,100,120,5,"0100-0120"
"ALL",1992,1,120,150,6,"0120-0150"
"ALL",1992,1,150,200,7,"0150-0200"
"ALL",1992,1,200,250,8,"0200-0250"
"ALL",1992,1,250,300,9,"0250-0300"
"ALL",1992,1,300,350,10,"0300-0350"
"ALL",1992,1,350,400,11,"0350-0400"
"ALL",1992,1,400,500,12,"0400-0500"
"ALL",1992,1,500,600,13,"0500-0600"
"ALL",1992,1,600,700,14,"0600-0700"
"ALL",1992,1,700,800,15,"0700-0800"
"ALL",1992,1,800,1000,16,"0800-1000"
"ALL",1992,1,1000,1200,17,"1000-1200"
"ALL",1992,1,1200,9999,18,"1200-9999"
"ALL",1992,2,50,60,1,"0050-0060"
"ALL",1992,2,60,70,2,"0060-0070"
"ALL",1992,2,70,80,3,"0070-0080"
"ALL",1992,2,80,100,4,"0080-0100"
"ALL",1992,2,100,120,5,"0100-0120"
"ALL",1992,2,120,150,6,"0120-0150"
"ALL",1992,2,150,200,7,"0150-0200"
"ALL",1992,2,200,250,8,"0200-0250"
"ALL",1992,2,250,300,9,"0250-0300"
"ALL",1992,2,300,350,10,"0300-0350"
"ALL",1992,2,350,400,11,"0350-0400"
"ALL",1992,2,400,500,12,"0400-0500"
"ALL",1992,2,500,600,13,"0500-0600"
"ALL",1992,2,600,700,14,"0600-0700"
"ALL",1992,2,700,800,15,"0700-0800"
"ALL",1992,2,800,1000,16,"0800-1000"
"ALL",1992,2,1000,1200,17,"1000-1200"
"ALL",1992,2,1200,9999,18,"1200-9999"
"ALL",1992,3,50,60,1,"0050-0060"
"ALL",1992,3,60,70,2,"0060-0070"
"ALL",1992,3,70,80,3,"0070-0080"
"ALL",1992,3,80,100,4,"0080-0100"
"ALL",1992,3,100,120,5,"0100-0120"
"ALL",1992,3,120,150,6,"0120-0150"
"ALL",1992,3,150,200,7,"0150-0200"
"ALL",1992,3,200,250,8,"0200-0250"
"ALL",1992,3,250,300,9,"0250-0300"
"ALL",1992,3,300,350,10,"0300-0350"
"ALL",1992,3,350,400,11,"0350-0400"
"ALL",1992,3,400,500,12,"0400-0500"
"ALL",1992,3,500,600,13,"0500-0600"
"ALL",1992,3,600,700,14,"0600-0700"
"ALL",1992,3,700,800,15,"0700-0800"
"ALL",1992,3,800,1000,16,"0800-1000"
"ALL",1992,3,1000,1200,17,"1000-1200"
"ALL",1992,3,1200,9999,18,"1200-9999"
"ALL",1992,4,50,60,1,"0050-0060"
"ALL",1992,4,60,70,2,"0060-0070"
"ALL",1992,4,70,80,3,"0070-0080"
"ALL",1992,4,80,100,4,"0080-0100"
"ALL",1992,4,100,120,5,"0100-0120"
"ALL",1992,4,120,150,6,"0120-0150"
"ALL",1992,4,150,200,7,"0150-0200"
"ALL",1992,4,200,250,8,"0200-0250"
"ALL",1992,4,250,300,9,"0250-0300"
"ALL",1992,4,300,350,10,"0300-0350"
"ALL",1992,4,350,400,11,"0350-0400"
"ALL",1992,4,400,500,12,"0400-0500"
"ALL",1992,4,500,600,13,"0500-0600"
"ALL",1992,4,600,700,14,"0600-0700"
"ALL",1992,4,700,800,15,"0700-0800"
"ALL",1992,4,800,1000,16,"0800-1000"
"ALL",1992,4,1000,1200,17,"1000-1200"
"ALL",1992,4,1200,9999,18,"1200-9999"
"ALL",1993,1,50,60,1,"0050-0060"
"ALL",1993,1,60,70,2,"0060-0070"
"ALL",1993,1,70,80,3,"0070-0080"
"ALL",1993,1,80,100,4,"0080-0100"
"ALL",1993,1,100,120,5,"0100-0120"
"ALL",1993,1,120,150,6,"0120-0150"
"ALL",1993,1,150,200,7,"0150-0200"
"ALL",1993,1,200,250,8,"0200-0250"
"ALL",1993,1,250,300,9,"0250-0300"
"ALL",1993,1,300,350,10,"0300-0350"
"ALL",1993,1,350,400,11,"0350-0400"
"ALL",1993,1,400,500,12,"0400-0500"
"ALL",1993,1,500,600,13,"0500-0600"
"ALL",1993,1,600,700,14,"0600-0700"
"ALL",1993,1,700,800,15,"0700-0800"
"ALL",1993,1,800,1000,16,"0800-1000"
"ALL",1993,1,1000,1200,17,"1000-1200"
"ALL",1993,1,1200,9999,18,"1200-9999"
"ALL",1993,2,50,60,1,"0050-0060"
"ALL",1993,2,60,70,2,"0060-0070"
"ALL",1993,2,70,80,3,"0070-0080"
"ALL",1993,2,80,100,4,"0080-0100"
"ALL",1993,2,100,120,5,"0100-0120"
"ALL",1993,2,120,150,6,"0120-0150"
"ALL",1993,2,150,200,7,"0150-0200"
"ALL",1993,2,200,250,8,"0200-0250"
"ALL",1993,2,250,300,9,"0250-0300"
"ALL",1993,2,300,350,10,"0300-0350"
"ALL",1993,2,350,400,11,"0350-0400"
"ALL",1993,2,400,500,12,"0400-0500"
"ALL",1993,2,500,600,13,"0500-0600"
"ALL",1993,2,600,700,14,"0600-0700"
"ALL",1993,2,700,800,15,"0700-0800"
"ALL",1993,2,800,1000,16,"0800-1000"
"ALL",1993,2,1000,1200,17,"1000-1200"
"ALL",1993,2,1200,9999,18,"1200-9999"
"ALL",1993,3,50,60,1,"0050-0060"
"ALL",1993,3,60,70,2,"0060-0070"
"ALL",1993,3,70,80,3,"0070-0080"
"ALL",1993,3,80,100,4,"0080-0100"
"ALL",1993,3,100,120,5,"0100-0120"
"ALL",1993,3,120,150,6,"0120-0150"
"ALL",1993,3,150,200,7,"0150-0200"
"ALL",1993,3,200,250,8,"0200-0250"
"ALL",1993,3,250,300,9,"0250-0300"
"ALL",1993,3,300,350,10,"0300-0350"
"ALL",1993,3,350,400,11,"0350-0400"
"ALL",1993,3,400,500,12,"0400-0500"
"ALL",1993,3,500,600,13,"0500-0600"
"ALL",1993,3,600,700,14,"0600-0700"
"ALL",1993,3,700,800,15,"0700-0800"
"ALL",1993,3,800,1000,16,"0800-1000"
"ALL",1993,3,1000,1200,17,"1000-1200"
"ALL",1993,3,1200,9999,18,"1200-9999"
"ALL",1993,4,50,60,1,"0050-0060"
"ALL",1993,4,60,70,2,"0060-0070"
"ALL",1993,4,70,80,3,"0070-0080"
"ALL",1993,4,80,100,4,"0080-0100"
"ALL",1993,4,100,120,5,"0100-0120"
"ALL",1993,4,120,150,6,"0120-0150"
"ALL",1993,4,150,200,7,"0150-0200"
"ALL",1993,4,200,250,8,"0200-0250"
"ALL",1993,4,250,300,9,"0250-0300"
"ALL",1993,4,300,350,10,"0300-0350"
"ALL",1993,4,350,400,11,"0350-0400"
"ALL",1993,4,400,500,12,"0400-0500"
"ALL",1993,4,500,600,13,"0500-0600"
"ALL",1993,4,600,700,14,"0600-0700"
"ALL",1993,4,700,800,15,"0700-0800"
"ALL",1993,4,800,1000,16,"0800-1000"
"ALL",1993,4,1000,1200,17,"1000-1200"
"ALL",1993,4,1200,9999,18,"1200-9999"
"ALL",1994,1,50,60,1,"0050-0060"
"ALL",1994,1,60,70,2,"0060-0070"
"ALL",1994,1,70,80,3,"0070-0080"
"ALL",1994,1,80,100,4,"0080-0100"
"ALL",1994,1,100,120,5,"0100-0120"
"ALL",1994,1,120,150,6,"0120-0150"
"ALL",1994,1,150,200,7,"0150-0200"
"ALL",1994,1,200,250,8,"0200-0250"
"ALL",1994,1,250,300,9,"0250-0300"
"ALL",1994,1,300,350,10,"0300-0350"
"ALL",1994,1,350,400,11,"0350-0400"
"ALL",1994,1,400,500,12,"0400-0500"
"ALL",1994,1,500,600,13,"0500-0600"
"ALL",1994,1,600,700,14,"0600-0700"
"ALL",1994,1,700,800,15,"0700-0800"
"ALL",1994,1,800,1000,16,"0800-1000"
"ALL",1994,1,1000,1200,17,"1000-1200"
"ALL",1994,1,1200,9999,18,"1200-9999"
"ALL",1994,2,50,60,1,"0050-0060"
"ALL",1994,2,60,70,2,"0060-0070"
"ALL",1994,2,70,80,3,"0070-0080"
"ALL",1994,2,80,100,4,"0080-0100"
"ALL",1994,2,100,120,5,"0100-0120"
"ALL",1994,2,120,150,6,"0120-0150"
"ALL",1994,2,150,200,7,"0150-0200"
"ALL",1994,2,200,250,8,"0200-0250"
"ALL",1994,2,250,300,9,"0250-0300"
"ALL",1994,2,300,350,10,"0300-0350"
"ALL",1994,2,350,400,11,"0350-0400"
"ALL",1994,2,400,500,12,"0400-0500"
"ALL",1994,2,500,600,13,"0500-0600"
"ALL",1994,2,600,700,14,"0600-0700"
"ALL",1994,2,700,800,15,"0700-0800"
"ALL",1994,2,800,1000,16,"0800-1000"
"ALL",1994,2,1000,1200,17,"1000-1200"
"ALL",1994,2,1200,9999,18,"1200-9999"
"ALL",1994,3,50,60,1,"0050-0060"
"ALL",1994,3,60,70,2,"0060-0070"
"ALL",1994,3,70,80,3,"0070-0080"
"ALL",1994,3,80,100,4,"0080-0100"
"ALL",1994,3,100,120,5,"0100-0120"
"ALL",1994,3,120,150,6,"0120-0150"
"ALL",1994,3,150,200,7,"0150-0200"
"ALL",1994,3,200,250,8,"0200-0250"
"ALL",1994,3,250,300,9,"0250-0300"
"ALL",1994,3,300,350,10,"0300-0350"
"ALL",1994,3,350,400,11,"0350-0400"
"ALL",1994,3,400,500,12,"0400-0500"
"ALL",1994,3,500,600,13,"0500-0600"
"ALL",1994,3,600,700,14,"0600-0700"
"ALL",1994,3,700,800,15,"0700-0800"
"ALL",1994,3,800,1000,16,"0800-1000"
"ALL",1994,3,1000,1200,17,"1000-1200"
"ALL",1994,3,1200,9999,18,"1200-9999"
"ALL",1994,4,50,60,1,"0050-0060"
"ALL",1994,4,60,70,2,"0060-0070"
"ALL",1994,4,70,80,3,"0070-0080"
"ALL",1994,4,80,100,4,"0080-0100"
"ALL",1994,4,100,120,5,"0100-0120"
"ALL",1994,4,120,150,6,"0120-0150"
"ALL",1994,4,150,200,7,"0150-0200"
"ALL",1994,4,200,250,8,"0200-0250"
"ALL",1994,4,250,300,9,"0250-0300"
"ALL",1994,4,300,350,10,"0300-0350"
"ALL",1994,4,350,400,11,"0350-0400"
"ALL",1994,4,400,500,12,"0400-0500"
"ALL",1994,4,500,600,13,"0500-0600"
"ALL",1994,4,600,700,14,"0600-0700"
"ALL",1994,4,700,800,15,"0700-0800"
"ALL",1994,4,800,1000,16,"0800-1000"
"ALL",1994,4,1000,1200,17,"1000-1200"
"ALL",1994,4,1200,9999,18,"1200-9999"
"ALL",1995,1,50,60,1,"0050-0060"
"ALL",1995,1,60,70,2,"0060-0070"
"ALL",1995,1,70,80,3,"0070-0080"
"ALL",1995,1,80,100,4,"0080-0100"
"ALL",1995,1,100,120,5,"0100-0120"
"ALL",1995,1,120,150,6,"0120-0150"
"ALL",1995,1,150,200,7,"0150-0200"
"ALL",1995,1,200,250,8,"0200-0250"
"ALL",1995,1,250,300,9,"0250-0300"
"ALL",1995,1,300,350,10,"0300-0350"
"ALL",1995,1,350,400,11,"0350-0400"
"ALL",1995,1,400,500,12,"0400-0500"
"ALL",1995,1,500,600,13,"0500-0600"
"ALL",1995,1,600,700,14,"0600-0700"
"ALL",1995,1,700,800,15,"0700-0800"
"ALL",1995,1,800,1000,16,"0800-1000"
"ALL",1995,1,1000,1200,17,"1000-1200"
"ALL",1995,1,1200,9999,18,"1200-9999"
"ALL",1995,2,50,60,1,"0050-0060"
"ALL",1995,2,60,70,2,"0060-0070"
"ALL",1995,2,70,80,3,"0070-0080"
"ALL",1995,2,80,100,4,"0080-0100"
"ALL",1995,2,100,120,5,"0100-0120"
"ALL",1995,2,120,150,6,"0120-0150"
"ALL",1995,2,150,200,7,"0150-0200"
"ALL",1995,2,200,250,8,"0200-0250"
"ALL",1995,2,250,300,9,"0250-0300"
"ALL",1995,2,300,350,10,"0300-0350"
"ALL",1995,2,350,400,11,"0350-0400"
"ALL",1995,2,400,500,12,"0400-0500"
"ALL",1995,2,500,600,13,"0500-0600"
"ALL",1995,2,600,700,14,"0600-0700"
"ALL",1995,2,700,800,15,"0700-0800"
"ALL",1995,2,800,1000,16,"0800-1000"
"ALL",1995,2,1000,1200,17,"1000-1200"
"ALL",1995,2,1200,9999,18,"1200-9999"
"ALL",1995,3,50,60,1,"0050-0060"
"ALL",1995,3,60,70,2,"0060-0070"
"ALL",1995,3,70,80,3,"0070-0080"
"ALL",1995,3,80,100,4,"0080-0100"
"ALL",1995,3,100,120,5,"0100-0120"
"ALL",1995,3,120,150,6,"0120-0150"
"ALL",1995,3,150,200,7,"0150-0200"
"ALL",1995,3,200,250,8,"0200-0250"
"ALL",1995,3,250,300,9,"0250-0300"
"ALL",1995,3,300,350,10,"0300-0350"
"ALL",1995,3,350,400,11,"0350-0400"
"ALL",1995,3,400,500,12,"0400-0500"
"ALL",1995,3,500,600,13,"0500-0600"
"ALL",1995,3,600,700,14,"0600-0700"
"ALL",1995,3,700,800,15,"0700-0800"
"ALL",1995,3,800,1000,16,"0800-1000"
"ALL",1995,3,1000,1200,17,"1000-1200"
"ALL",1995,3,1200,9999,18,"1200-9999"
"ALL",1995,4,50,60,1,"0050-0060"
"ALL",1995,4,60,70,2,"0060-0070"
"ALL",1995,4,70,80,3,"0070-0080"
"ALL",1995,4,80,100,4,"0080-0100"
"ALL",1995,4,100,120,5,"0100-0120"
"ALL",1995,4,120,150,6,"0120-0150"
"ALL",1995,4,150,200,7,"0150-0200"
"ALL",1995,4,200,250,8,"0200-0250"
"ALL",1995,4,250,300,9,"0250-0300"
"ALL",1995,4,300,350,10,"0300-0350"
"ALL",1995,4,350,400,11,"0350-0400"
"ALL",1995,4,400,500,12,"0400-0500"
"ALL",1995,4,500,600,13,"0500-0600"
"ALL",1995,4,600,700,14,"0600-0700"
"ALL",1995,4,700,800,15,"0700-0800"
"ALL",1995,4,800,1000,16,"0800-1000"
"ALL",1995,4,1000,1200,17,"1000-1200"
"ALL",1995,4,1200,9999,18,"1200-9999"
"ALL",1996,1,50,60,1,"0050-0060"
"ALL",1996,1,60,70,2,"0060-0070"
"ALL",1996,1,70,80,3,"0070-0080"
"ALL",1996,1,80,100,4,"0080-0100"
"ALL",1996,1,100,120,5,"0100-0120"
"ALL",1996,1,120,150,6,"0120-0150"
"ALL",1996,1,150,200,7,"0150-0200"
"ALL",1996,1,200,250,8,"0200-0250"
"ALL",1996,1,250,300,9,"0250-0300"
"ALL",1996,1,300,350,10,"0300-0350"
"ALL",1996,1,350,400,11,"0350-0400"
"ALL",1996,1,400,500,12,"0400-0500"
"ALL",1996,1,500,600,13,"0500-0600"
"ALL",1996,1,600,700,14,"0600-0700"
"ALL",1996,1,700,800,15,"0700-0800"
"ALL",1996,1,800,1000,16,"0800-1000"
"ALL",1996,1,1000,1200,17,"1000-1200"
"ALL",1996,1,1200,9999,18,"1200-9999"
"ALL",1996,2,50,60,1,"0050-0060"
"ALL",1996,2,60,70,2,"0060-0070"
"ALL",1996,2,70,80,3,"0070-0080"
"ALL",1996,2,80,100,4,"0080-0100"
"ALL",1996,2,100,120,5,"0100-0120"
"ALL",1996,2,120,150,6,"0120-0150"
"ALL",1996,2,150,200,7,"0150-0200"
"ALL",1996,2,200,250,8,"0200-0250"
"ALL",1996,2,250,300,9,"0250-0300"
"ALL",1996,2,300,350,10,"0300-0350"
"ALL",1996,2,350,400,11,"0350-0400"
"ALL",1996,2,400,500,12,"0400-0500"
"ALL",1996,2,500,600,13,"0500-0600"
"ALL",1996,2,600,700,14,"0600-0700"
"ALL",1996,2,700,800,15,"0700-0800"
"ALL",1996,2,800,1000,16,"0800-1000"
"ALL",1996,2,1000,1200,17,"1000-1200"
"ALL",1996,2,1200,9999,18,"1200-9999"
"ALL",1996,3,50,60,1,"0050-0060"
"ALL",1996,3,60,70,2,"0060-0070"
"ALL",1996,3,70,80,3,"0070-0080"
"ALL",1996,3,80,100,4,"0080-0100"
"ALL",1996,3,100,120,5,"0100-0120"
"ALL",1996,3,120,150,6,"0120-0150"
"ALL",1996,3,150,200,7,"0150-0200"
"ALL",1996,3,200,250,8,"0200-0250"
"ALL",1996,3,250,300,9,"0250-0300"
"ALL",1996,3,300,350,10,"0300-0350"
"ALL",1996,3,350,400,11,"0350-0400"
"ALL",1996,3,400,500,12,"0400-0500"
"ALL",1996,3,500,600,13,"0500-0600"
"ALL",1996,3,600,700,14,"0600-0700"
"ALL",1996,3,700,800,15,"0700-0800"
"ALL",1996,3,800,1000,16,"0800-1000"
"ALL",1996,3,1000,1200,17,"1000-1200"
"ALL",1996,3,1200,9999,18,"1200-9999"
"ALL",1996,4,50,60,1,"0050-0060"
"ALL",1996,4,60,70,2,"0060-0070"
"ALL",1996,4,70,80,3,"0070-0080"
"ALL",1996,4,80,100,4,"0080-0100"
"ALL",1996,4,100,120,5,"0100-0120"
"ALL",1996,4,120,150,6,"0120-0150"
"ALL",1996,4,150,200,7,"0150-0200"
"ALL",1996,4,200,250,8,"0200-0250"
"ALL",1996,4,250,300,9,"0250-0300"
"ALL",1996,4,300,350,10,"0300-0350"
"ALL",1996,4,350,400,11,"0350-0400"
"ALL",1996,4,400,500,12,"0400-0500"
"ALL",1996,4,500,600,13,"0500-0600"
"ALL",1996,4,600,700,14,"0600-0700"
"ALL",1996,4,700,800,15,"0700-0800"
"ALL",1996,4,800,1000,16,"0800-1000"
"ALL",1996,4,1000,1200,17,"1000-1200"
"ALL",1996,4,1200,9999,18,"1200-9999"
"ALL",1997,1,50,60,1,"0050-0060"
"ALL",1997,1,60,70,2,"0060-0070"
"ALL",1997,1,70,80,3,"0070-0080"
"ALL",1997,1,80,100,4,"0080-0100"
"ALL",1997,1,100,120,5,"0100-0120"
"ALL",1997,1,120,150,6,"0120-0150"
"ALL",1997,1,150,200,7,"0150-0200"
"ALL",1997,1,200,250,8,"0200-0250"
"ALL",1997,1,250,300,9,"0250-0300"
"ALL",1997,1,300,350,10,"0300-0350"
"ALL",1997,1,350,400,11,"0350-0400"
"ALL",1997,1,400,500,12,"0400-0500"
"ALL",1997,1,500,600,13,"0500-0600"
"ALL",1997,1,600,700,14,"0600-0700"
"ALL",1997,1,700,800,15,"0700-0800"
"ALL",1997,1,800,1000,16,"0800-1000"
"ALL",1997,1,1000,1200,17,"1000-1200"
"ALL",1997,1,1200,9999,18,"1200-9999"
"ALL",1997,2,50,60,1,"0050-0060"
"ALL",1997,2,60,70,2,"0060-0070"
"ALL",1997,2,70,80,3,"0070-0080"
"ALL",1997,2,80,100,4,"0080-0100"
"ALL",1997,2,100,120,5,"0100-0120"
"ALL",1997,2,120,150,6,"0120-0150"
"ALL",1997,2,150,200,7,"0150-0200"
"ALL",1997,2,200,250,8,"0200-0250"
"ALL",1997,2,250,300,9,"0250-0300"
"ALL",1997,2,300,350,10,"0300-0350"
"ALL",1997,2,350,400,11,"0350-0400"
"ALL",1997,2,400,500,12,"0400-0500"
"ALL",1997,2,500,600,13,"0500-0600"
"ALL",1997,2,600,700,14,"0600-0700"
"ALL",1997,2,700,800,15,"0700-0800"
"ALL",1997,2,800,1000,16,"0800-1000"
"ALL",1997,2,1000,1200,17,"1000-1200"
"ALL",1997,2,1200,9999,18,"1200-9999"
"ALL",1997,3,50,60,1,"0050-0060"
"ALL",1997,3,60,70,2,"0060-0070"
"ALL",1997,3,70,80,3,"0070-0080"
"ALL",1997,3,80,100,4,"0080-0100"
"ALL",1997,3,100,120,5,"0100-0120"
"ALL",1997,3,120,150,6,"0120-0150"
"ALL",1997,3,150,200,7,"0150-0200"
"ALL",1997,3,200,250,8,"0200-0250"
"ALL",1997,3,250,300,9,"0250-0300"
"ALL",1997,3,300,350,10,"0300-0350"
"ALL",1997,3,350,400,11,"0350-0400"
"ALL",1997,3,400,500,12,"0400-0500"
"ALL",1997,3,500,600,13,"0500-0600"
"ALL",1997,3,600,700,14,"0600-0700"
"ALL",1997,3,700,800,15,"0700-0800"
"ALL",1997,3,800,1000,16,"0800-1000"
"ALL",1997,3,1000,1200,17,"1000-1200"
"ALL",1997,3,1200,9999,18,"1200-9999"
"ALL",1997,4,50,60,1,"0050-0060"
"ALL",1997,4,60,70,2,"0060-0070"
"ALL",1997,4,70,80,3,"0070-0080"
"ALL",1997,4,80,100,4,"0080-0100"
"ALL",1997,4,100,120,5,"0100-0120"
"ALL",1997,4,120,150,6,"0120-0150"
"ALL",1997,4,150,200,7,"0150-0200"
"ALL",1997,4,200,250,8,"0200-0250"
"ALL",1997,4,250,300,9,"0250-0300"
"ALL",1997,4,300,350,10,"0300-0350"
"ALL",1997,4,350,400,11,"0350-0400"
"ALL",1997,4,400,500,12,"0400-0500"
"ALL",1997,4,500,600,13,"0500-0600"
"ALL",1997,4,600,700,14,"0600-0700"
"ALL",1997,4,700,800,15,"0700-0800"
"ALL",1997,4,800,1000,16,"0800-1000"
"ALL",1997,4,1000,1200,17,"1000-1200"
"ALL",1997,4,1200,9999,18,"1200-9999"
"ALL",1998,1,50,60,1,"0050-0060"
"ALL",1998,1,60,70,2,"0060-0070"
"ALL",1998,1,70,80,3,"0070-0080"
"ALL",1998,1,80,100,4,"0080-0100"
"ALL",1998,1,100,120,5,"0100-0120"
"ALL",1998,1,120,150,6,"0120-0150"
"ALL",1998,1,150,200,7,"0150-0200"
"ALL",1998,1,200,250,8,"0200-0250"
"ALL",1998,1,250,300,9,"0250-0300"
"ALL",1998,1,300,350,10,"0300-0350"
"ALL",1998,1,350,400,11,"0350-0400"
"ALL",1998,1,400,500,12,"0400-0500"
"ALL",1998,1,500,600,13,"0500-0600"
"ALL",1998,1,600,700,14,"0600-0700"
"ALL",1998,1,700,800,15,"0700-0800"
"ALL",1998,1,800,1000,16,"0800-1000"
"ALL",1998,1,1000,1200,17,"1000-1200"
"ALL",1998,1,1200,9999,18,"1200-9999"
"ALL",1998,2,50,60,1,"0050-0060"
"ALL",1998,2,60,70,2,"0060-0070"
"ALL",1998,2,70,80,3,"0070-0080"
"ALL",1998,2,80,100,4,"0080-0100"
"ALL",1998,2,100,120,5,"0100-0120"
"ALL",1998,2,120,150,6,"0120-0150"
"ALL",1998,2,150,200,7,"0150-0200"
"ALL",1998,2,200,250,8,"0200-0250"
"ALL",1998,2,250,300,9,"0250-0300"
"ALL",1998,2,300,350,10,"0300-0350"
"ALL",1998,2,350,400,11,"0350-0400"
"ALL",1998,2,400,500,12,"0400-0500"
"ALL",1998,2,500,600,13,"0500-0600"
"ALL",1998,2,600,700,14,"0600-0700"
"ALL",1998,2,700,800,15,"0700-0800"
"ALL",1998,2,800,1000,16,"0800-1000"
"ALL",1998,2,1000,1200,17,"1000-1200"
"ALL",1998,2,1200,9999,18,"1200-9999"
"ALL",1998,3,50,60,1,"0050-0060"
"ALL",1998,3,60,70,2,"0060-0070"
"ALL",1998,3,70,80,3,"0070-0080"
"ALL",1998,3,80,100,4,"0080-0100"
"ALL",1998,3,100,120,5,"0100-0120"
"ALL",1998,3,120,150,6,"0120-0150"
"ALL",1998,3,150,200,7,"0150-0200"
"ALL",1998,3,200,250,8,"0200-0250"
