rectangle,quarter,Temp
44E7,3,9.12
44E8,3,9.39
44E9,3,8.96
44F0,3,8.09
44F1,3,7.54
44F2,3,7.22
44F3,3,7.34
44F4,3,6.94
44F5,3,6.64
44F6,3,6.62
44F7,3,6.73
44F8,3,6.68
44F9,3,6.65
44G0,3,6.62
44G1,3,7.54
45E6,3,5.47
45E7,3,10.51
45E8,3,9.72
45E9,3,8.96
45F0,3,7.85
45F1,3,7.36
45F2,3,7.36
45F3,3,7.05
45F4,3,6.49
45F5,3,6.53
45F6,3,6.60
45F8,3,6.58
45F9,3,6.56
45G0,3,6.65
45G1,3,7.54
46E6,3,11.44
46E7,3,10.92
46E8,3,9.96
46E9,3,8.27
46F0,3,7.76
46F1,3,7.49
46F2,3,7.42
46F3,3,7.01
46F4,3,6.65
46F5,3,6.20
46F9,3,6.74
46G0,3,6.74
46G1,3,7.13
47E6,3,10.54
47E7,3,10.84
47E8,3,9.70
47E9,3,8.27
47F0,3,8.00
47F1,3,7.65
47F2,3,7.55
47F3,3,6.86
47F4,3,6.68
47F5,3,6.15
48E6,3,1.70
48E7,3,10.30
48E8,3,9.43
48E9,3,8.97
48F0,3,8.38
48F1,3,7.93
48F2,3,7.77
48F3,3,6.91
48F4,3,6.78
48F5,3,6.09
49E6,3,2.35
49E7,3,1.85
49E8,3,10.28
49E9,3,9.17
49F0,3,8.71
49F1,3,8.09
49F2,3,7.05
49F3,3,6.92
49F4,3,6.78
49F5,3,6.13
50E6,3,2.65
50E7,3,2.19
50E8,3,2.50
50E9,3,6.06
50F0,3,3.93
50F1,3,5.61
50F2,3,7.10
50F3,3,7.20
50F4,3,6.82
50F5,3,6.22
51E6,3,2.99
51E7,3,2.44
51E8,3,3.87
51E9,3,2.04
51F0,3,2.75
51F1,3,5.61
51F2,3,7.21
51F3,3,7.20
51F4,3,6.85
51F5,3,6.25
52E6,3,3.08
52E7,3,2.54
52E8,3,4.17
52E9,3,2.04
52F0,3,2.89
52F1,3,5.73
52F2,3,7.16
52F3,3,7.20
52F4,3,6.85
52F5,3,6.26
31F1,4,5.10
31F2,4,11.65
31F3,4,11.41
32F1,4,11.54
32F2,4,11.56
32F3,4,11.78
33F1,4,10.90
33F2,4,11.18
33F3,4,11.77
33F4,4,11.22
34F1,4,9.83
34F2,4,10.82
34F3,4,11.65
34F4,4,11.12
35F0,4,2.36
35F1,4,10.20
35F2,4,10.71
35F3,4,4.25
35F4,4,11.51
36F0,4,9.80
36F1,4,10.46
36F2,4,10.64
36F3,4,11.08
36F4,4,11.46
36F5,4,11.44
36F6,4,10.58
36F7,4,9.85
36F8,4,9.18
37E9,4,7.82
37F0,4,9.36
37F1,4,10.46
37F2,4,10.64
37F3,4,10.80
37F4,4,11.37
37F5,4,11.37
37F6,4,11.16
37F7,4,10.23
37F8,4,8.92
38E8,4,9.05
38E9,4,9.08
38F0,4,9.17
38F1,4,9.31
38F2,4,9.45
38F3,4,10.79
38F4,4,10.77
38F5,4,11.10
38F6,4,11.10
38F7,4,10.70
38F8,4,8.91
39E8,4,9.17
39E9,4,9.19
39F0,4,8.93
39F1,4,8.49
39F2,4,8.46
39F3,4,8.75
39F4,4,10.44
39F5,4,10.72
39F6,4,10.80
39F7,4,10.44
39F8,4,8.90
40E8,4,9.29
40E9,4,9.17
40F0,4,8.85
40F1,4,8.46
40F2,4,8.43
40F3,4,8.60
40F4,4,8.88
40F5,4,10.03
40F6,4,10.50
40F7,4,10.46
41E7,4,9.29
41E8,4,9.70
41E9,4,9.42
41F0,4,8.92
41F1,4,8.46
41F2,4,8.33
41F3,4,8.58
41F4,4,8.75
41F5,4,8.95
41F6,4,9.68
41F7,4,10.28
41G0,4,9.29
41G1,4,9.29
42E7,4,9.75
42E8,4,9.86
42E9,4,9.61
42F0,4,9.32
42F1,4,8.65
42F2,4,8.35
42F3,4,8.39
42F4,4,8.75
42F5,4,8.95
42F6,4,9.54
42F7,4,9.92
42F8,4,9.67
42G0,4,9.21
42G1,4,8.14
43E8,4,9.92
43E9,4,9.90
43F0,4,9.69
43F1,4,9.32
43F2,4,8.37
43F3,4,8.28
43F4,4,8.35
43F5,4,7.69
43F6,4,6.57
43F7,4,6.55
43F8,4,6.55
43F9,4,8.99
43G0,4,9.38
43G1,4,9.42
44E6,4,4.95
44E7,4,9.79
44E8,4,9.92
44E9,4,9.85
44F0,4,9.55
44F1,4,9.18
44F2,4,8.58
44F3,4,8.30
44F4,4,7.67
44F5,4,6.58
44F6,4,6.58
44F7,4,6.55
44F8,4,6.53
44F9,4,6.53
44G0,4,6.63
44G1,4,7.82
45E6,4,5.47
45E7,4,10.15
45E8,4,9.94
45E9,4,9.73
45F0,4,9.22
45F1,4,8.81
45F2,4,8.40
45F3,4,6.25
45F4,4,6.03
45F5,4,6.39
45F6,4,6.51
45F8,4,6.51
45F9,4,6.56
45G0,4,6.65
45G1,4,7.82
46E6,4,10.39
46E7,4,10.09
46E8,4,9.93
46E9,4,9.29
46F0,4,8.91
46F1,4,8.56
46F2,4,8.37
46F3,4,6.14
46F4,4,6.19
46F5,4,6.66
46F9,4,6.32
46G0,4,6.32
46G1,4,10.32
47E6,4,10.44
47E7,4,10.06
47E8,4,9.73
47E9,4,9.29
47F0,4,8.91
47F1,4,8.51
47F2,4,8.35
47F3,4,6.04
47F4,4,6.24
47F5,4,6.53
48E6,4,2.20
48E7,4,10.00
48E8,4,9.55
48E9,4,9.34
48F0,4,9.04
48F1,4,8.75
48F2,4,8.42
48F3,4,6.59
48F4,4,6.51
48F5,4,7.00
49E6,4,2.62
49E7,4,2.28
49E8,4,9.67
49E9,4,9.38
49F0,4,9.19
49F1,4,8.86
49F2,4,6.61
49F3,4,7.05
49F4,4,6.69
49F5,4,7.04
50E6,4,2.98
50E7,4,2.54
50E8,4,6.15
50E9,4,4.83
50F0,4,2.26
50F1,4,3.25
50F2,4,7.58
50F3,4,7.57
50F4,4,6.91
50F5,4,7.06
51E6,4,3.59
51E7,4,4.62
51E8,4,5.97
51E9,4,3.03
51F0,4,1.63
51F1,4,4.61
51F2,4,7.64
51F3,4,7.61
51F4,4,7.03
51F5,4,7.14
52E6,4,3.75
52E7,4,5.20
52E8,4,6.00
52E9,4,3.04
52F0,4,1.74
52F1,4,5.01
52F2,4,7.63
52F3,4,7.61
52F4,4,7.05
52F5,4,7.16
