"Year","Predator","Prey","Prey.no","eatenW"
1983,"G. gurnards","Cod",16,18270.6263444567
1984,"G. gurnards","Cod",16,30592.434214706
1985,"G. gurnards","Cod",16,8166.51160328094
1986,"G. gurnards","Cod",16,11909.1015209868
1987,"G. gurnards","Cod",16,6771.5641896084
1988,"G. gurnards","Cod",16,3514.13252618142
1989,"G. gurnards","Cod",16,6951.2868171864
1990,"G. gurnards","Cod",16,11426.8466662974
1991,"G. gurnards","Cod",16,12269.108005362
1992,"G. gurnards","Cod",16,14489.4330105044
1993,"G. gurnards","Cod",16,20192.0871589034
1994,"G. gurnards","Cod",16,24799.892323908
1995,"G. gurnards","Cod",16,21638.3802113336
1996,"G. gurnards","Cod",16,27545.1717515806
1997,"G. gurnards","Cod",16,27979.8092487264
1998,"G. gurnards","Cod",16,31848.3159609472
1999,"G. gurnards","Cod",16,68157.677536416
2000,"G. gurnards","Cod",16,21944.0141181742
2001,"G. gurnards","Cod",16,27624.6112857
2002,"G. gurnards","Cod",16,41579.364873618
2003,"G. gurnards","Cod",16,50147.4335635312
2004,"G. gurnards","Cod",16,42639.64493984
2005,"G. gurnards","Cod",16,61470.857717997
2006,"G. gurnards","Cod",16,42009.091885332
2007,"G. gurnards","Cod",16,47931.047789742
2008,"G. gurnards","Cod",16,54392.8739586232
2009,"G. gurnards","Cod",16,34359.324949235
2010,"G. gurnards","Cod",16,36700.1681578428
2011,"G. gurnards","Cod",16,68183.0226921688
2012,"G. gurnards","Cod",16,73468.1190083568
2013,"G. gurnards","Cod",16,68331.740793056
2014,"G. gurnards","Cod",16,53733.977061336
2015,"G. gurnards","Cod",16,47634.6955785012
2016,"G. gurnards","Cod",16,48570.6986285976
2017,"G. gurnards","Cod",16,22046.5728065076
2018,"G. gurnards","Cod",16,23948.3464847432
2019,"G. gurnards","Cod",16,21468.135997854
1974,"Gannet","Cod",16,2668.041451089
1975,"Gannet","Cod",16,4420.3627437693
1976,"Gannet","Cod",16,3094.5018302712
1977,"Gannet","Cod",16,5181.7888370625
1978,"Gannet","Cod",16,4454.131967714
1979,"Gannet","Cod",16,3610.9521617968
1980,"Gannet","Cod",16,6676.6118777824
1981,"Gannet","Cod",16,3357.7120555938
1982,"Gannet","Cod",16,5343.618854381
1983,"Gannet","Cod",16,3092.7543999342
1984,"Gannet","Cod",16,5676.7437566113
1985,"Gannet","Cod",16,2087.658594777
1986,"Gannet","Cod",16,5500.7361214411
1987,"Gannet","Cod",16,3054.357387438
1988,"Gannet","Cod",16,2177.760267218
1989,"Gannet","Cod",16,3607.756113731
1990,"Gannet","Cod",16,2078.5533925716
1991,"Gannet","Cod",16,2152.2621112638
1992,"Gannet","Cod",16,3106.4551594532
1993,"Gannet","Cod",16,1656.1653141842
1994,"Gannet","Cod",16,2849.8785482464
1995,"Gannet","Cod",16,2699.6970637707
1996,"Gannet","Cod",16,1846.2697696
1997,"Gannet","Cod",16,4161.6586360566
1998,"Gannet","Cod",16,974.42333183962
1999,"Gannet","Cod",16,1485.23485707005
2000,"Gannet","Cod",16,2423.2613038134
2001,"Gannet","Cod",16,1132.75416788008
2002,"Gannet","Cod",16,1247.64885026696
2003,"Gannet","Cod",16,934.43710467168
2004,"Gannet","Cod",16,1438.859969063
2005,"Gannet","Cod",16,1335.23640819216
2006,"Gannet","Cod",16,2248.5641149929
2007,"Gannet","Cod",16,1236.68467937412
2008,"Gannet","Cod",16,1209.66385742975
2009,"Gannet","Cod",16,1089.74815156648
2010,"Gannet","Cod",16,1535.89831600133
2011,"Gannet","Cod",16,999.89745545669
2012,"Gannet","Cod",16,1102.59550534996
2013,"Gannet","Cod",16,1726.0934225842
2014,"Gannet","Cod",16,1396.74291779568
2015,"Gannet","Cod",16,774.63151253319
2016,"Gannet","Cod",16,573.5435306364
2017,"Gannet","Cod",16,1495.0436996157
2018,"Gannet","Cod",16,423.44639469606
2019,"Gannet","Cod",16,1063.4585357648
1974,"GBB. Gull","Cod",16,78.060233458688
1975,"GBB. Gull","Cod",16,51.27677101456
1976,"GBB. Gull","Cod",16,171.672653941152
1977,"GBB. Gull","Cod",16,105.06449307354
1978,"GBB. Gull","Cod",16,129.254749056576
1979,"GBB. Gull","Cod",16,94.793676184896
1980,"GBB. Gull","Cod",16,104.63857504256
1981,"GBB. Gull","Cod",16,244.6997072702
1982,"GBB. Gull","Cod",16,126.64920281286
1983,"GBB. Gull","Cod",16,126.868444363128
1984,"GBB. Gull","Cod",16,103.16023894046
1985,"GBB. Gull","Cod",16,118.25560397079
1986,"GBB. Gull","Cod",16,76.451453032032
1987,"GBB. Gull","Cod",16,63.751186607472
1988,"GBB. Gull","Cod",16,61.21002863118
1989,"GBB. Gull","Cod",16,46.845939611484
1990,"GBB. Gull","Cod",16,54.023332700922
1991,"GBB. Gull","Cod",16,68.45864144496
1992,"GBB. Gull","Cod",16,42.276271640954
1993,"GBB. Gull","Cod",16,61.359248466984
1994,"GBB. Gull","Cod",16,46.55283310002
1995,"GBB. Gull","Cod",16,39.623185229056
1996,"GBB. Gull","Cod",16,53.500021797612
1997,"GBB. Gull","Cod",16,25.26023686147
1998,"GBB. Gull","Cod",16,31.580358378712
1999,"GBB. Gull","Cod",16,45.861485904
2000,"GBB. Gull","Cod",16,17.746559917996
2001,"GBB. Gull","Cod",16,22.2575931292
2002,"GBB. Gull","Cod",16,26.39269147086
2003,"GBB. Gull","Cod",16,36.45570653608
2004,"GBB. Gull","Cod",16,32.448768541696
2005,"GBB. Gull","Cod",16,50.198675246226
2006,"GBB. Gull","Cod",16,33.99665798672
2007,"GBB. Gull","Cod",16,37.618502731992
2008,"GBB. Gull","Cod",16,43.113183360104
2009,"GBB. Gull","Cod",16,32.32499166
2010,"GBB. Gull","Cod",16,30.773406333384
2011,"GBB. Gull","Cod",16,57.166736081936
2012,"GBB. Gull","Cod",16,64.691334593626
2013,"GBB. Gull","Cod",16,60.326921626712
2014,"GBB. Gull","Cod",16,39.75454686528
2015,"GBB. Gull","Cod",16,33.780047834988
2016,"GBB. Gull","Cod",16,42.71037309084
2017,"GBB. Gull","Cod",16,17.032090809188
2018,"GBB. Gull","Cod",16,25.803232694096
2019,"GBB. Gull","Cod",16,28.73227658847
1974,"Grey seal","Cod",16,2490.79769115855
1975,"Grey seal","Cod",16,3990.0832764309
1976,"Grey seal","Cod",16,4800.44060456184
1977,"Grey seal","Cod",16,7238.82605337525
1978,"Grey seal","Cod",16,7408.87742492913
1979,"Grey seal","Cod",16,6238.35005692405
1980,"Grey seal","Cod",16,6416.55923907244
1981,"Grey seal","Cod",16,7313.11724866044
1982,"Grey seal","Cod",16,8728.28730545348
1983,"Grey seal","Cod",16,7176.65340703902
1984,"Grey seal","Cod",16,7805.05953946282
1985,"Grey seal","Cod",16,6652.6842530066
1986,"Grey seal","Cod",16,7859.2146923505
1987,"Grey seal","Cod",16,7626.74853390384
1988,"Grey seal","Cod",16,7849.15165719026
1989,"Grey seal","Cod",16,8115.27046174577
1990,"Grey seal","Cod",16,9141.66239441655
1991,"Grey seal","Cod",16,8213.82546921821
1992,"Grey seal","Cod",16,7855.67583577401
1993,"Grey seal","Cod",16,8618.67322963629
1994,"Grey seal","Cod",16,8258.60940202514
1995,"Grey seal","Cod",16,9077.69475606451
1996,"Grey seal","Cod",16,9416.5040897052
1997,"Grey seal","Cod",16,9779.70181827175
1998,"Grey seal","Cod",16,13236.2220673412
1999,"Grey seal","Cod",16,7356.34860461875
2000,"Grey seal","Cod",16,8364.24520211248
2001,"Grey seal","Cod",16,9688.94731119426
2002,"Grey seal","Cod",16,10970.11166122
2003,"Grey seal","Cod",16,11121.0347839582
2004,"Grey seal","Cod",16,12689.1085963531
2005,"Grey seal","Cod",16,14873.1304503147
2006,"Grey seal","Cod",16,12823.1230092529
2007,"Grey seal","Cod",16,11671.0220775824
2008,"Grey seal","Cod",16,11449.5352513349
2009,"Grey seal","Cod",16,7461.41021890606
2010,"Grey seal","Cod",16,9418.19511418307
2011,"Grey seal","Cod",16,11774.5845092002
2012,"Grey seal","Cod",16,9467.93903635349
2013,"Grey seal","Cod",16,8419.34267542209
2014,"Grey seal","Cod",16,10565.6126709566
2015,"Grey seal","Cod",16,10943.2849743013
2016,"Grey seal","Cod",16,10571.1838373593
2017,"Grey seal","Cod",16,4250.83938155375
2018,"Grey seal","Cod",16,5897.9721966448
2019,"Grey seal","Cod",16,3849.55334387457
1974,"H. porpoise","Cod",16,51657.891135017
1975,"H. porpoise","Cod",16,57921.0713578081
1976,"H. porpoise","Cod",16,62715.4878803381
1977,"H. porpoise","Cod",16,69436.3815075156
1978,"H. porpoise","Cod",16,73842.5876308886
1979,"H. porpoise","Cod",16,65221.7680901269
1980,"H. porpoise","Cod",16,71031.677508668
1981,"H. porpoise","Cod",16,71333.9377082567
1982,"H. porpoise","Cod",16,66001.5883681125
1983,"H. porpoise","Cod",16,67599.288067254
1984,"H. porpoise","Cod",16,65391.9101521117
1985,"H. porpoise","Cod",16,62817.2306059826
1986,"H. porpoise","Cod",16,55256.2392755369
1987,"H. porpoise","Cod",16,61167.8918634573
1988,"H. porpoise","Cod",16,42532.8089510874
1989,"H. porpoise","Cod",16,44404.37214978
1990,"H. porpoise","Cod",16,46039.2079114212
1991,"H. porpoise","Cod",16,37961.7148076782
1992,"H. porpoise","Cod",16,45492.1348656776
1993,"H. porpoise","Cod",16,50732.0166432702
1994,"H. porpoise","Cod",16,48790.0629045541
1995,"H. porpoise","Cod",16,54571.0232557937
1996,"H. porpoise","Cod",16,46541.127216272
1997,"H. porpoise","Cod",16,51869.161186892
1998,"H. porpoise","Cod",16,51293.4415260875
1999,"H. porpoise","Cod",16,26160.5135678145
2000,"H. porpoise","Cod",16,36221.003507915
2001,"H. porpoise","Cod",16,33745.5539394816
2002,"H. porpoise","Cod",16,22404.6034505275
2003,"H. porpoise","Cod",16,22647.3346575164
2004,"H. porpoise","Cod",16,23828.7126540494
2005,"H. porpoise","Cod",16,29476.820015866
2006,"H. porpoise","Cod",16,33152.040148977
2007,"H. porpoise","Cod",16,35401.4419763441
2008,"H. porpoise","Cod",16,25920.0147741847
2009,"H. porpoise","Cod",16,24617.444387161
2010,"H. porpoise","Cod",16,25674.5879620776
2011,"H. porpoise","Cod",16,26554.9111687709
2012,"H. porpoise","Cod",16,21150.4434417346
2013,"H. porpoise","Cod",16,27410.35527417
2014,"H. porpoise","Cod",16,31173.6223489675
2015,"H. porpoise","Cod",16,25997.788275969
2016,"H. porpoise","Cod",16,16544.7998451934
2017,"H. porpoise","Cod",16,18010.8572076601
2018,"H. porpoise","Cod",16,21388.2078835541
2019,"H. porpoise","Cod",16,15384.4595087815
1974,"Her. Gull","Cod",16,64.683278677888
1975,"Her. Gull","Cod",16,41.67956865033
1976,"Her. Gull","Cod",16,138.931050645504
1977,"Her. Gull","Cod",16,87.70846365567
1978,"Her. Gull","Cod",16,109.759158689544
1979,"Her. Gull","Cod",16,82.056962057408
1980,"Her. Gull","Cod",16,91.53824702464
1981,"Her. Gull","Cod",16,213.8956704248
1982,"Her. Gull","Cod",16,110.03866990662
1983,"Her. Gull","Cod",16,112.399411727824
1984,"Her. Gull","Cod",16,89.1233747027
1985,"Her. Gull","Cod",16,104.742372230574
1986,"Her. Gull","Cod",16,67.102211920952
1987,"Her. Gull","Cod",16,55.045814890248
1988,"Her. Gull","Cod",16,53.737591128156
1989,"Her. Gull","Cod",16,42.58835602866
1990,"Her. Gull","Cod",16,49.56703998753
1991,"Her. Gull","Cod",16,65.43680744718
1992,"Her. Gull","Cod",16,42.266639794886
1993,"Her. Gull","Cod",16,67.383496453208
1994,"Her. Gull","Cod",16,56.9901883434
1995,"Her. Gull","Cod",16,54.984132026252
1996,"Her. Gull","Cod",16,88.288279597518
1997,"Her. Gull","Cod",16,46.47924793226
1998,"Her. Gull","Cod",16,54.146406478736
1999,"Her. Gull","Cod",16,87.334215344064
2000,"Her. Gull","Cod",16,34.999069631214
2001,"Her. Gull","Cod",16,42.7641443658
2002,"Her. Gull","Cod",16,51.10888847064
2003,"Her. Gull","Cod",16,67.838063144072
2004,"Her. Gull","Cod",16,54.317750973824
2005,"Her. Gull","Cod",16,76.4037799434
2006,"Her. Gull","Cod",16,47.58904237516
2007,"Her. Gull","Cod",16,48.0753611091
2008,"Her. Gull","Cod",16,49.158515838432
2009,"Her. Gull","Cod",16,35.78984397118
2010,"Her. Gull","Cod",16,29.712553955448
2011,"Her. Gull","Cod",16,51.935429943488
2012,"Her. Gull","Cod",16,60.694261033224
2013,"Her. Gull","Cod",16,56.983506418176
2014,"Her. Gull","Cod",16,37.09950508368
2015,"Her. Gull","Cod",16,30.861880369398
2016,"Her. Gull","Cod",16,40.684528686984
2017,"Her. Gull","Cod",16,16.839561281452
2018,"Her. Gull","Cod",16,24.446820509696
2019,"Her. Gull","Cod",16,28.31078714217
1974,"Kittiwake","Cod",16,318.71768770816
1975,"Kittiwake","Cod",16,194.7274646265
1976,"Kittiwake","Cod",16,804.33049097232
1977,"Kittiwake","Cod",16,476.4817468125
1978,"Kittiwake","Cod",16,510.47766165864
1979,"Kittiwake","Cod",16,375.52107641152
1980,"Kittiwake","Cod",16,459.8468978688
1981,"Kittiwake","Cod",16,1114.69132138
1982,"Kittiwake","Cod",16,681.5599333998
1983,"Kittiwake","Cod",16,617.88804752688
1984,"Kittiwake","Cod",16,551.7737348734
1985,"Kittiwake","Cod",16,555.99304199634
1986,"Kittiwake","Cod",16,337.531629175
1987,"Kittiwake","Cod",16,336.5337872988
1988,"Kittiwake","Cod",16,282.7104302763
1989,"Kittiwake","Cod",16,219.12377815068
1990,"Kittiwake","Cod",16,286.11627924906
1991,"Kittiwake","Cod",16,394.5521956194
1992,"Kittiwake","Cod",16,209.67664493594
1993,"Kittiwake","Cod",16,281.0271718631
1994,"Kittiwake","Cod",16,198.5358834498
1995,"Kittiwake","Cod",16,192.92317374616
1996,"Kittiwake","Cod",16,253.71351224726
1997,"Kittiwake","Cod",16,126.602408881104
1998,"Kittiwake","Cod",16,258.2360836484
1999,"Kittiwake","Cod",16,335.01949550784
2000,"Kittiwake","Cod",16,139.97207931746
2001,"Kittiwake","Cod",16,183.824847778
2002,"Kittiwake","Cod",16,237.9364118274
2003,"Kittiwake","Cod",16,454.21928534736
2004,"Kittiwake","Cod",16,331.76957753472
2005,"Kittiwake","Cod",16,483.94920939924
2006,"Kittiwake","Cod",16,260.170339286
2007,"Kittiwake","Cod",16,226.5976667916
2008,"Kittiwake","Cod",16,238.52337189824
2009,"Kittiwake","Cod",16,120.64446662957
2010,"Kittiwake","Cod",16,100.998904866912
2011,"Kittiwake","Cod",16,289.8022280192
2012,"Kittiwake","Cod",16,295.27036661226
2013,"Kittiwake","Cod",16,240.96492928248
2014,"Kittiwake","Cod",16,158.39245956456
2015,"Kittiwake","Cod",16,144.97514881356
2016,"Kittiwake","Cod",16,153.225589184304
2017,"Kittiwake","Cod",16,51.3440868161
2018,"Kittiwake","Cod",16,104.89786301072
2019,"Kittiwake","Cod",16,86.27901399078
1974,"Whiting","Cod",16,8282.72777678348
1975,"Whiting","Cod",16,6431.41215159424
1976,"Whiting","Cod",16,25983.7074495126
1977,"Whiting","Cod",16,16990.0360131588
1978,"Whiting","Cod",16,18229.5174471471
1979,"Whiting","Cod",16,15464.6332272718
1980,"Whiting","Cod",16,22253.2706915699
1981,"Whiting","Cod",16,34430.2319464825
1982,"Whiting","Cod",16,13898.5017642954
1983,"Whiting","Cod",16,13824.0963623631
1984,"Whiting","Cod",16,10322.8018824575
1985,"Whiting","Cod",16,13807.2164695222
1986,"Whiting","Cod",16,10295.1337308021
1987,"Whiting","Cod",16,9434.14128669927
1988,"Whiting","Cod",16,6962.15097314678
1989,"Whiting","Cod",16,4824.46666937871
1990,"Whiting","Cod",16,7562.08904314848
1991,"Whiting","Cod",16,10469.6792364876
1992,"Whiting","Cod",16,5121.08851613486
1993,"Whiting","Cod",16,7402.13760220788
1994,"Whiting","Cod",16,5114.50616448599
1995,"Whiting","Cod",16,5911.55670211001
1996,"Whiting","Cod",16,8401.95497107006
1997,"Whiting","Cod",16,3496.44768199434
1998,"Whiting","Cod",16,4542.79801501697
1999,"Whiting","Cod",16,5806.20056537821
2000,"Whiting","Cod",16,3417.50456169126
2001,"Whiting","Cod",16,4999.87736775292
2002,"Whiting","Cod",16,3884.91364759924
2003,"Whiting","Cod",16,6066.46690050695
2004,"Whiting","Cod",16,4578.01287873916
2005,"Whiting","Cod",16,6158.58835985955
2006,"Whiting","Cod",16,3729.38152040713
2007,"Whiting","Cod",16,3482.7493909001
2008,"Whiting","Cod",16,3640.64360634196
2009,"Whiting","Cod",16,2505.27488462302
2010,"Whiting","Cod",16,2748.50823380705
2011,"Whiting","Cod",16,6254.77978007293
2012,"Whiting","Cod",16,6410.16098772966
2013,"Whiting","Cod",16,5213.08611300153
2014,"Whiting","Cod",16,3291.53180423328
2015,"Whiting","Cod",16,2786.02441172776
2016,"Whiting","Cod",16,4320.58922867679
2017,"Whiting","Cod",16,2069.55117219585
2018,"Whiting","Cod",16,2891.16786725146
2019,"Whiting","Cod",16,2898.93512336103
1974,"A. radiata","Whiting",17,2687.371651316
1975,"A. radiata","Whiting",17,2474.945377163
1976,"A. radiata","Whiting",17,2774.623795439
1977,"A. radiata","Whiting",17,3078.0173622
1978,"A. radiata","Whiting",17,2638.66044696
1979,"A. radiata","Whiting",17,2278.98965866
1980,"A. radiata","Whiting",17,2054.774340611
1981,"A. radiata","Whiting",17,2294.791040538
1982,"A. radiata","Whiting",17,1412.8683716004
1983,"A. radiata","Whiting",17,3497.606367416
1984,"A. radiata","Whiting",17,5474.800929
1985,"A. radiata","Whiting",17,3857.582312944
1986,"A. radiata","Whiting",17,7411.672773168
1987,"A. radiata","Whiting",17,18420.79406602
1988,"A. radiata","Whiting",17,5357.95528356
1989,"A. radiata","Whiting",17,9709.69406575
1990,"A. radiata","Whiting",17,6795.6541916081
1991,"A. radiata","Whiting",17,5687.3788983648
1992,"A. radiata","Whiting",17,13114.8471565
1993,"A. radiata","Whiting",17,9266.84953755
1994,"A. radiata","Whiting",17,4859.689872585
1995,"A. radiata","Whiting",17,5497.3557290574
1996,"A. radiata","Whiting",17,2426.1558094605
1997,"A. radiata","Whiting",17,4978.7527641435
1998,"A. radiata","Whiting",17,8659.300134816
1999,"A. radiata","Whiting",17,5450.592337799
2000,"A. radiata","Whiting",17,7721.657718125
2001,"A. radiata","Whiting",17,6690.77073061
2002,"A. radiata","Whiting",17,5131.78865675
2003,"A. radiata","Whiting",17,4828.8363661122
2004,"A. radiata","Whiting",17,4332.1158242145
2005,"A. radiata","Whiting",17,3452.8239548415
2006,"A. radiata","Whiting",17,3062.8585960735
2007,"A. radiata","Whiting",17,5137.9799524892
2008,"A. radiata","Whiting",17,4197.7059389568
2009,"A. radiata","Whiting",17,1814.1456166848
2010,"A. radiata","Whiting",17,2164.3031331031
2011,"A. radiata","Whiting",17,3204.693830478
2012,"A. radiata","Whiting",17,1481.4684640259
2013,"A. radiata","Whiting",17,1292.9569155954
2014,"A. radiata","Whiting",17,1710.0362890485
2015,"A. radiata","Whiting",17,3776.733013056
2016,"A. radiata","Whiting",17,2509.870490858
2017,"A. radiata","Whiting",17,1308.0066003112
2018,"A. radiata","Whiting",17,1024.4891333264
2019,"A. radiata","Whiting",17,993.883910643
1974,"Cod","Whiting",17,100828.74709597
1975,"Cod","Whiting",17,110273.554134924
1976,"Cod","Whiting",17,142072.493813328
1977,"Cod","Whiting",17,146077.614882337
1978,"Cod","Whiting",17,143708.002642386
1979,"Cod","Whiting",17,130612.079966027
1980,"Cod","Whiting",17,145640.524133018
1981,"Cod","Whiting",17,123947.029552844
1982,"Cod","Whiting",17,73898.6828353608
1983,"Cod","Whiting",17,59688.883238625
1984,"Cod","Whiting",17,54521.2260578839
1985,"Cod","Whiting",17,67523.5535629452
1986,"Cod","Whiting",17,66614.7103504069
1987,"Cod","Whiting",17,80287.2244239663
1988,"Cod","Whiting",17,66582.7186703933
1989,"Cod","Whiting",17,61021.0755521371
1990,"Cod","Whiting",17,46905.3056976377
1991,"Cod","Whiting",17,32791.9396688671
1992,"Cod","Whiting",17,31545.2477068684
1993,"Cod","Whiting",17,33237.7990834691
1994,"Cod","Whiting",17,29574.3528575429
1995,"Cod","Whiting",17,33049.8420421823
1996,"Cod","Whiting",17,24255.6003958547
1997,"Cod","Whiting",17,22014.1126396158
1998,"Cod","Whiting",17,28926.0865331615
1999,"Cod","Whiting",17,16773.863327786
2000,"Cod","Whiting",17,16085.7838040233
2001,"Cod","Whiting",17,22844.0431164849
2002,"Cod","Whiting",17,14760.6323635637
2003,"Cod","Whiting",17,9586.24944924946
2004,"Cod","Whiting",17,7348.66306716571
2005,"Cod","Whiting",17,7239.33165084236
2006,"Cod","Whiting",17,7769.35287635166
2007,"Cod","Whiting",17,9472.80704742756
2008,"Cod","Whiting",17,9659.54398042817
2009,"Cod","Whiting",17,7195.52784133704
2010,"Cod","Whiting",17,9110.11137771843
2011,"Cod","Whiting",17,11361.5025792745
2012,"Cod","Whiting",17,9708.97318427741
2013,"Cod","Whiting",17,9009.0095754434
2014,"Cod","Whiting",17,10848.4083655832
2015,"Cod","Whiting",17,13158.5146461889
2016,"Cod","Whiting",17,14905.1984076735
2017,"Cod","Whiting",17,13429.818357889
2018,"Cod","Whiting",17,11033.8454472134
2019,"Cod","Whiting",17,8670.60741998453
1974,"Fulmar","Whiting",17,3710.000724947
1975,"Fulmar","Whiting",17,3588.000523884
1976,"Fulmar","Whiting",17,4102.783991755
1977,"Fulmar","Whiting",17,3780.73860978
1978,"Fulmar","Whiting",17,3104.81182678
1979,"Fulmar","Whiting",17,2964.778458785
1980,"Fulmar","Whiting",17,2320.39689751
1981,"Fulmar","Whiting",17,2769.637605848
1982,"Fulmar","Whiting",17,1762.8254329752
1983,"Fulmar","Whiting",17,1893.21281184
1984,"Fulmar","Whiting",17,2009.07167175
1985,"Fulmar","Whiting",17,2190.624551208
1986,"Fulmar","Whiting",17,2666.937326336
1987,"Fulmar","Whiting",17,2666.437807265
1988,"Fulmar","Whiting",17,3103.15231413
1989,"Fulmar","Whiting",17,1991.603156825
1990,"Fulmar","Whiting",17,1745.0255193735
1991,"Fulmar","Whiting",17,1468.4207436252
1992,"Fulmar","Whiting",17,1926.01870524
1993,"Fulmar","Whiting",17,1377.99202995
1994,"Fulmar","Whiting",17,1065.8820058932
1995,"Fulmar","Whiting",17,954.3448288017
1996,"Fulmar","Whiting",17,434.8718166655
1997,"Fulmar","Whiting",17,785.007625176
1998,"Fulmar","Whiting",17,1761.195475222
1999,"Fulmar","Whiting",17,1096.44355164
2000,"Fulmar","Whiting",17,1198.77682847
2001,"Fulmar","Whiting",17,1476.679909795
2002,"Fulmar","Whiting",17,1036.1478015
2003,"Fulmar","Whiting",17,1001.0024388918
2004,"Fulmar","Whiting",17,1001.9502063963
2005,"Fulmar","Whiting",17,818.4204903474
2006,"Fulmar","Whiting",17,796.0969056355
2007,"Fulmar","Whiting",17,880.3632368567
2008,"Fulmar","Whiting",17,782.8794031488
