Species.n Year Quarter Age N west consum size
1 1978 3 1 5.43778e+006 0.003646 0.004 50
1 1978 3 2 838168 0.024365 0.034 126
1 1978 3 3 1.00844e+006 0.057539 0.067 170
1 1978 3 4 1.13612e+006 0.119355 0.118 217
1 1978 3 5 428322 0.225489 0.192 269
1 1978 3 6 436032 0.374473 0.282 318
1 1978 3 7 169014 0.585593 0.396 369
1 1978 3 8 174940 0.947772 0.562 430
1 1978 3 9 57628 1.8188 0.915 532
1 1978 3 10 22827 3.0868 1.361 633
1 1978 3 11 10695 5.49181 2.037 755
1 1978 4 0 -1 -1 0 -1
1 1978 4 1 2.57852e+006 0.003646 0.004 50
1 1978 4 2 1.73232e+006 0.01741 0.026 112
1 1978 4 3 613371 0.058267 0.068 171
1 1978 4 4 1.03779e+006 0.122739 0.12 219
1 1978 4 5 473429 0.225044 0.192 269
1 1978 4 6 443493 0.374419 0.282 318
1 1978 4 7 186805 0.586957 0.396 369
1 1978 4 8 208891 0.945696 0.562 430
1 1978 4 9 62703 1.81331 0.915 532
1 1978 4 10 23938 3.08649 1.361 633
1 1978 4 11 11582 5.52833 2.043 756
1 1979 1 1 666936 0.003646 0.004 50
1 1979 1 2 1.97575e+006 0.021255 0.03 120
1 1979 1 3 703155 0.05566 0.066 168
1 1979 1 4 804408 0.124698 0.122 220
1 1979 1 5 472545 0.225999 0.192 269
1 1979 1 6 464522 0.373515 0.28 317
1 1979 1 7 192073 0.587428 0.396 369
1 1979 1 8 233339 0.950114 0.562 430
1 1979 1 9 67236 1.80376 0.911 531
1 1979 1 10 23825 3.08365 1.356 632
1 1979 1 11 11685 5.56209 2.055 758
1 1979 2 1 204746 0.003646 0.004 50
1 1979 2 2 1.09671e+006 0.023426 0.033 124
1 1979 2 3 828117 0.056408 0.066 169
1 1979 2 4 747605 0.121208 0.119 218
1 1979 2 5 409378 0.227004 0.194 270
1 1979 2 6 467625 0.37506 0.282 318
1 1979 2 7 198190 0.58728 0.396 369
1 1979 2 8 248160 0.955192 0.565 431
1 1979 2 9 72741 1.79519 0.907 530
1 1979 2 10 23372 3.0776 1.356 632
1 1979 2 11 11369 5.59091 2.062 759
1 1979 3 0 -1 -1 0 -1
1 1979 3 1 8.90702e+006 0.003646 0.004 50
1 1979 3 2 516272 0.024207 0.033 125
1 1979 3 3 625861 0.057629 0.067 170
1 1979 3 4 775925 0.120803 0.119 218
1 1979 3 5 361995 0.226557 0.194 270
1 1979 3 6 437955 0.377574 0.284 319
1 1979 3 7 205522 0.587725 0.396 369
1 1979 3 8 265884 0.958307 0.568 432
1 1979 3 9 81965 1.79335 0.907 530
1 1979 3 10 24569 3.06926 1.356 632
1 1979 3 11 11649 5.61597 2.068 760
1 1979 4 0 -1 -1 0 -1
1 1979 4 1 4.23438e+006 0.003646 0.004 50
1 1979 4 2 2.48952e+006 0.016226 0.024 109
1 1979 4 3 386767 0.058111 0.068 171
1 1979 4 4 676098 0.123521 0.12 219
1 1979 4 5 354065 0.226037 0.192 269
1 1979 4 6 403709 0.377979 0.284 319
1 1979 4 7 203600 0.588666 0.396 369
1 1979 4 8 284415 0.962094 0.568 432
1 1979 4 9 93393 1.79619 0.907 530
1 1979 4 10 27317 3.0608 1.352 631
1 1979 4 11 12445 5.63528 2.068 760
1 1980 1 1 1.08713e+006 0.003646 0.004 50
1 1980 1 2 3.10614e+006 0.021026 0.03 119
1 1980 1 3 823767 0.054306 0.065 167
1 1980 1 4 545296 0.123522 0.12 219
1 1980 1 5 326844 0.226632 0.194 270
1 1980 1 6 377080 0.377167 0.282 318
1 1980 1 7 189201 0.58915 0.396 369
1 1980 1 8 285289 0.967499 0.571 433
1 1980 1 9 100301 1.79942 0.911 531
1 1980 1 10 29228 3.05351 1.347 630
1 1980 1 11 12595 5.64317 2.068 760
1 1980 2 1 330598 0.003646 0.004 50
1 1980 2 2 1.73929e+006 0.023328 0.033 124
1 1980 2 3 1.19402e+006 0.055976 0.066 169
1 1980 2 4 715523 0.116286 0.115 215
1 1980 2 5 277228 0.226969 0.194 270
1 1980 2 6 344038 0.377785 0.284 319
1 1980 2 7 172663 0.58905 0.396 369
1 1980 2 8 269323 0.972434 0.574 434
1 1980 2 9 101644 1.8025 0.911 531
1 1980 2 10 29824 3.04845 1.347 630
1 1980 2 11 12073 5.63566 2.068 760
1 1980 3 0 -1 -1 0 -1
1 1980 3 1 9.0401e+006 0.003646 0.004 50
1 1980 3 2 809532 0.024257 0.033 125
1 1980 3 3 944206 0.057442 0.067 170
1 1980 3 4 961521 0.1178 0.117 216
1 1980 3 5 291484 0.22473 0.192 269
1 1980 3 6 309414 0.378364 0.284 319
1 1980 3 7 160957 0.589212 0.396 369
1 1980 3 8 256963 0.975784 0.574 434
1 1980 3 9 104540 1.80761 0.911 531
1 1980 3 10 31695 3.04707 1.347 630
1 1980 3 11 12252 5.61925 2.062 759
1 1980 4 0 -1 -1 0 -1
1 1980 4 1 4.29359e+006 0.003646 0.004 50
1 1980 4 2 2.64085e+006 0.016641 0.025 110
1 1980 4 3 583513 0.058118 0.068 171
1 1980 4 4 926371 0.121957 0.12 219
1 1980 4 5 369485 0.224131 0.192 269
1 1980 4 6 310741 0.374558 0.282 318
1 1980 4 7 149806 0.589508 0.396 369
1 1980 4 8 248671 0.978831 0.577 435
1 1980 4 9 108803 1.81432 0.915 532
1 1980 4 10 34914 3.04889 1.347 630
1 1980 4 11 13185 5.59926 2.062 759
1 1981 1 1 1.10485e+006 0.003646 0.004 50
1 1981 1 2 3.19399e+006 0.0211 0.03 119
1 1981 1 3 937529 0.054806 0.065 167
1 1981 1 4 757137 0.123424 0.12 219
1 1981 1 5 398972 0.225414 0.192 269
1 1981 1 6 347488 0.371443 0.28 317
1 1981 1 7 140446 0.588508 0.396 369
1 1981 1 8 227686 0.980796 0.577 435
1 1981 1 9 104882 1.81995 0.919 533
1 1981 1 10 35631 3.05214 1.347 630
1 1981 1 11 13288 5.57466 2.055 758
1 1981 2 1 336944 0.003646 0.004 50
1 1981 2 2 1.78292e+006 0.023359 0.033 124
1 1981 2 3 1.26149e+006 0.056115 0.066 169
1 1981 2 4 866854 0.117981 0.117 216
1 1981 2 5 363758 0.226406 0.192 269
1 1981 2 6 373655 0.372916 0.28 317
1 1981 2 7 144089 0.586945 0.396 369
1 1981 2 8 205948 0.977518 0.574 434
1 1981 2 9 95678 1.82407 0.919 533
1 1981 2 10 34180 3.0564 1.352 631
1 1981 2 11 12736 5.54792 2.049 757
1 1981 3 0 -1 -1 0 -1
1 1981 3 1 6.00602e+006 0.003646 0.004 50
1 1981 3 2 825922 0.02434 0.034 126
1 1981 3 3 982807 0.0575 0.067 170
1 1981 3 4 1.06326e+006 0.11874 0.118 217
1 1981 3 5 368000 0.225161 0.192 269
1 1981 3 6 372357 0.375337 0.282 318
1 1981 3 7 157464 0.586925 0.396 369
1 1981 3 8 206247 0.969779 0.571 433
1 1981 3 9 92477 1.82817 0.919 533
1 1981 3 10 34930 3.06245 1.352 631
1 1981 3 11 13321 5.5303 2.043 756
1 1981 4 0 -1 -1 0 -1
1 1981 4 1 2.84908e+006 0.003646 0.004 50
1 1981 4 2 1.87219e+006 0.017223 0.025 111
1 1981 4 3 600336 0.058229 0.068 171
1 1981 4 4 992132 0.122424 0.12 219
1 1981 4 5 428962 0.22468 0.192 269
1 1981 4 6 382250 0.374132 0.282 318
1 1981 4 7 165731 0.587738 0.396 369
1 1981 4 8 220634 0.965145 0.571 433
1 1981 4 9 93934 1.83063 0.923 534
1 1981 4 10 37391 3.06957 1.356 632
1 1981 4 11 14871 5.52356 2.043 756
1 1982 1 1 735893 0.003646 0.004 50
1 1982 1 2 2.16624e+006 0.021215 0.03 119
1 1982 1 3 735380 0.055463 0.066 168
1 1982 1 4 778895 0.124362 0.122 220
1 1982 1 5 440591 0.225755 0.192 269
1 1982 1 6 410915 0.372534 0.28 317
1 1982 1 7 165775 0.587634 0.396 369
1 1982 1 8 223500 0.964295 0.568 432
1 1982 1 9 89602 1.82784 0.919 533
1 1982 1 10 36273 3.07564 1.356 632
1 1982 1 11 15059 5.52232 2.043 756
1 1982 2 1 225510 0.003646 0.004 50
1 1982 2 2 1.20408e+006 0.023408 0.033 124
1 1982 2 3 893908 0.056333 0.066 169
1 1982 2 4 755339 0.120469 0.119 218
1 1982 2 5 388268 0.226805 0.194 270
1 1982 2 6 425048 0.374117 0.282 318
1 1982 2 7 172080 0.587014 0.396 369
1 1982 2 8 223171 0.963604 0.568 432
1 1982 2 9 85252 1.82179 0.919 533
1 1982 2 10 33798 3.07968 1.356 632
1 1982 2 11 14602 5.52635 2.043 756
1 1982 3 0 -1 -1 0 -1
1 1982 3 1 3.7354e+006 0.003646 0.004 50
1 1982 3 2 558132 0.024377 0.034 126
1 1982 3 3 680838 0.057595 0.067 170
1 1982 3 4 814928 0.120286 0.119 218
1 1982 3 5 354153 0.226227 0.192 269
1 1982 3 6 407823 0.376772 0.282 318
1 1982 3 7 183458 0.587348 0.396 369
1 1982 3 8 235741 0.961962 0.568 432
1 1982 3 9 87987 1.81845 0.915 532
1 1982 3 10 34110 3.08192 1.356 632
1 1982 3 11 15334 5.54045 2.049 757
1 1982 4 0 -1 -1 0 -1
1 1982 4 1 1.77161e+006 0.003646 0.004 50
1 1982 4 2 1.18328e+006 0.017364 0.025 111
1 1982 4 3 412742 0.058296 0.068 171
1 1982 4 4 721790 0.123229 0.12 219
1 1982 4 5 359781 0.225698 0.192 269
1 1982 4 6 385365 0.376938 0.282 318
1 1982 4 7 185412 0.588288 0.396 369
1 1982 4 8 251986 0.962335 0.568 432
1 1982 4 9 93114 1.81697 0.915 532
1 1982 4 10 35460 3.08213 1.356 632
1 1982 4 11 16446 5.5605 2.049 757
1 1983 1 1 458091 0.003646 0.004 50
1 1983 1 2 1.3549e+006 0.021245 0.03 120
1 1983 1 3 478150 0.055634 0.066 168
1 1983 1 4 551546 0.124963 0.122 220
1 1983 1 5 340621 0.2264 0.192 269
1 1983 1 6 371562 0.37596 0.282 318
1 1983 1 7 175832 0.588687 0.396 369
1 1983 1 8 254214 0.965653 0.571 433
1 1983 1 9 94387 1.81446 0.915 532
1 1983 1 10 34949 3.08026 1.356 632
1 1983 1 11 16444 5.58134 2.055 758
1 1983 2 1 140558 0.003646 0.004 50
1 1983 2 2 752235 0.023422 0.033 124
1 1983 2 3 566034 0.056394 0.066 169
1 1983 2 4 508972 0.121254 0.119 218
1 1983 2 5 285469 0.227233 0.194 270
1 1983 2 6 348334 0.37679 0.282 318
1 1983 2 7 164864 0.58848 0.396 369
1 1983 2 8 242698 0.969085 0.571 433
1 1983 2 9 91975 1.81154 0.915 532
1 1983 2 10 32745 3.07665 1.356 632
1 1983 2 11 15353 5.59818 2.062 759
1 1983 3 0 -1 -1 0 -1
1 1983 3 1 3.1913e+006 0.003646 0.004 50
1 1983 3 2 349977 0.024343 0.034 126
1 1983 3 3 428366 0.057622 0.067 170
1 1983 3 4 528947 0.120773 0.119 218
1 1983 3 5 248410 0.226675 0.194 270
1 1983 3 6 313247 0.378715 0.284 319
1 1983 3 7 159029 0.588691 0.396 369
1 1983 3 8 238044 0.971344 0.571 433
1 1983 3 9 94063 1.8121 0.915 532
1 1983 3 10 32903 3.07337 1.356 632
1 1983 3 11 15315 5.61393 2.062 759
1 1983 4 0 -1 -1 0 -1
1 1983 4 1 1.51514e+006 0.003646 0.004 50
1 1983 4 2 959364 0.016906 0.025 111
1 1983 4 3 260629 0.058265 0.068 171
1 1983 4 4 461904 0.123499 0.12 219
1 1983 4 5 242179 0.226082 0.192 269
1 1983 4 6 283076 0.378767 0.284 319
1 1983 4 7 151156 0.589403 0.396 369
1 1983 4 8 239297 0.974195 0.574 434
1 1983 4 9 99882 1.81581 0.915 532
1 1983 4 10 35419 3.07157 1.356 632
1 1983 4 11 16416 5.62898 2.068 760
1 1984 1 1 390537 0.003646 0.004 50
1 1984 1 2 1.13796e+006 0.021151 0.03 119
1 1984 1 3 359114 0.055161 0.066 168
1 1984 1 4 353101 0.124705 0.122 220
1 1984 1 5 220338 0.226602 0.194 270
1 1984 1 6 254590 0.377399 0.284 319
1 1984 1 7 131328 0.589597 0.399 370
1 1984 1 8 216510 0.97692 0.574 434
1 1984 1 9 93511 1.81803 0.915 532
1 1984 1 10 33396 3.06913 1.356 632
1 1984 1 11 15182 5.63588 2.068 760
1 1984 2 1 119350 0.003646 0.004 50
1 1984 2 2 633990 0.023381 0.033 124
1 1984 2 3 458965 0.056223 0.066 169
1 1984 2 4 356757 0.119715 0.118 217
1 1984 2 5 181920 0.227233 0.194 270
1 1984 2 6 227744 0.377654 0.284 319
1 1984 2 7 114473 0.589201 0.396 369
1 1984 2 8 188117 0.97892 0.577 435
1 1984 2 9 83478 1.81916 0.919 533
1 1984 2 10 29906 3.06717 1.352 631
1 1984 2 11 13249 5.63277 2.068 760
1 1984 3 0 -1 -1 0 -1
1 1984 3 1 3.32613e+006 0.003646 0.004 50
1 1984 3 2 295545 0.024285 0.033 125
1 1984 3 3 353766 0.057547 0.067 170
1 1984 3 4 404905 0.119675 0.118 217
1 1984 3 5 165732 0.22618 0.192 269
1 1984 3 6 202849 0.379054 0.284 319
1 1984 3 7 107014 0.589262 0.396 369
1 1984 3 8 176543 0.980527 0.577 435
1 1984 3 9 82156 1.82288 0.919 533
1 1984 3 10 30349 3.06843 1.352 631
1 1984 3 11 13387 5.6315 2.068 760
1 1984 4 0 -1 -1 0 -1
1 1984 4 1 1.57989e+006 0.003646 0.004 50
1 1984 4 2 971209 0.016639 0.025 110
1 1984 4 3 217172 0.058178 0.068 171
1 1984 4 4 367008 0.12289 0.12 219
1 1984 4 5 174448 0.225453 0.192 269
1 1984 4 6 186604 0.377948 0.284 319
1 1984 4 7 99336 0.589744 0.399 370
1 1984 4 8 169754 0.982233 0.577 435
1 1984 4 9 82868 1.82788 0.919 533
1 1984 4 10 32067 3.07147 1.356 632
1 1984 4 11 14288 5.63168 2.068 760
1 1985 1 1 406540 0.003646 0.004 50
1 1985 1 2 1.1751e+006 0.0211 0.03 119
1 1985 1 3 345739 0.054827 0.065 167
1 1985 1 4 290073 0.123968 0.122 220
1 1985 1 5 168021 0.22616 0.192 269
1 1985 1 6 176821 0.375683 0.282 318
1 1985 1 7 86211 0.589516 0.396 369
1 1985 1 8 148253 0.9832 0.577 435
1 1985 1 9 73815 1.83075 0.923 534
1 1985 1 10 29523 3.07406 1.356 632
1 1985 1 11 13239 5.62854 2.068 760
1 1985 2 1 123974 0.003646 0.004 50
1 1985 2 2 655930 0.023359 0.033 124
1 1985 2 3 464307 0.056119 0.066 169
1 1985 2 4 323396 0.118277 0.117 216
1 1985 2 5 144188 0.226841 0.194 270
1 1985 2 6 166904 0.375986 0.282 318
1 1985 2 7 77299 0.588628 0.396 369
1 1985 2 8 125758 0.982238 0.577 435
1 1985 2 9 62495 1.83166 0.923 534
1 1985 2 10 25480 3.07642 1.356 632
1 1985 2 11 11498 5.62159 2.062 759
1 1985 3 0 -1 -1 0 -1
1 1985 3 1 4.97473e+006 0.003646 0.004 50
1 1985 3 2 307674 0.024188 0.033 125
1 1985 3 3 361646 0.057501 0.067 170
1 1985 3 4 393114 0.118848 0.118 217
1 1985 3 5 140633 0.225467 0.192 269
1 1985 3 6 154916 0.377459 0.284 319
1 1985 3 7 75301 0.588515 0.396 369
1 1985 3 8 117720 0.98001 0.577 435
1 1985 3 9 58709 1.83407 0.923 534
1 1985 3 10 24725 3.0804 1.356 632
1 1985 3 11 11434 5.62289 2.068 760
1 1985 4 0 -1 -1 0 -1
1 1985 4 1 2.36458e+006 0.003646 0.004 50
1 1985 4 2 1.39764e+006 0.016274 0.024 109
1 1985 4 3 224834 0.058054 0.068 171
1 1985 4 4 365670 0.122465 0.12 219
1 1985 4 5 160278 0.22483 0.192 269
1 1985 4 6 150969 0.375701 0.282 318
1 1985 4 7 72741 0.588972 0.396 369
1 1985 4 8 115159 0.97855 0.577 435
1 1985 4 9 57397 1.83688 0.923 534
1 1985 4 10 25113 3.08506 1.361 633
1 1985 4 11 12026 5.63082 2.068 760
1 1986 1 1 607159 0.003646 0.004 50
