Species.n Year Quarter Age N west consum
1 2014 1 1 589 5 34.42
1 2014 2 1 933 5 28.72
1 2014 3 0 0 -1 0
1 2014 3 1 1148 5 27.091
1 2014 4 0 0 -1 0
1 2014 4 1 801 5 34.42
1 2015 1 1 589 5 34.42
1 2015 2 1 933 5 28.72
1 2015 3 0 0 -1 0
1 2015 3 1 1148 5 27.091
1 2015 4 0 0 -1 0
1 2015 4 1 801 5 34.42
1 2016 1 1 589 5 34.42
1 2016 2 1 933 5 28.72
1 2016 3 0 0 -1 0
1 2016 3 1 1148 5 27.091
1 2016 4 0 0 -1 0
1 2016 4 1 801 5 34.42
2 1974 1 1 1163 5 32.456
2 1974 2 1 1455 5 32.258
2 1974 3 0 0 -1 0
2 1974 3 1 1601 5 32.828
2 1974 4 0 0 -1 0
2 1974 4 1 1253 5 32.148
2 1975 1 1 1163 5 32.456
2 1975 2 1 1493 5 32.258
2 1975 3 0 0 -1 0
2 1975 3 1 1627 5 32.828
2 1975 4 0 0 -1 0
2 1975 4 1 1253 5 32.148
2 1976 1 1 1163 5 32.456
2 1976 2 1 1531 5 32.258
2 1976 3 0 0 -1 0
2 1976 3 1 1653 5 32.828
2 1976 4 0 0 -1 0
2 1976 4 1 1253 5 32.148
2 1977 1 1 1163 5 32.456
2 1977 2 1 1569 5 32.258
2 1977 3 0 0 -1 0
2 1977 3 1 1678 5 32.828
2 1977 4 0 0 -1 0
2 1977 4 1 1254 5 32.148
2 1978 1 1 1163 5 32.456
2 1978 2 1 1607 5 32.258
2 1978 3 0 0 -1 0
2 1978 3 1 1704 5 32.828
2 1978 4 0 0 -1 0
2 1978 4 1 1254 5 32.148
2 1979 1 1 1163 5 32.456
2 1979 2 1 1645 5 32.258
2 1979 3 0 0 -1 0
2 1979 3 1 1730 5 32.828
2 1979 4 0 0 -1 0
2 1979 4 1 1254 5 32.148
2 1980 1 1 1163 5 32.456
2 1980 2 1 1683 5 32.258
2 1980 3 0 0 -1 0
2 1980 3 1 1755 5 32.828
2 1980 4 0 0 -1 0
2 1980 4 1 1254 5 32.148
2 1981 1 1 1163 5 32.456
2 1981 2 1 1721 5 32.258
2 1981 3 0 0 -1 0
2 1981 3 1 1781 5 32.828
2 1981 4 0 0 -1 0
2 1981 4 1 1255 5 32.148
2 1982 1 1 1163 5 32.456
2 1982 2 1 1759 5 32.258
2 1982 3 0 0 -1 0
2 1982 3 1 1807 5 32.828
2 1982 4 0 0 -1 0
2 1982 4 1 1255 5 32.148
2 1983 1 1 1162 5 32.456
2 1983 2 1 1796 5 32.258
2 1983 3 0 0 -1 0
2 1983 3 1 1832 5 32.828
2 1983 4 0 0 -1 0
2 1983 4 1 1255 5 32.148
2 1984 1 1 1162 5 32.456
2 1984 2 1 1834 5 32.258
2 1984 3 0 0 -1 0
2 1984 3 1 1858 5 32.828
2 1984 4 0 0 -1 0
2 1984 4 1 1255 5 32.148
2 1985 1 1 1162 5 32.456
2 1985 2 1 1872 5 32.258
2 1985 3 0 0 -1 0
2 1985 3 1 1884 5 32.828
2 1985 4 0 0 -1 0
2 1985 4 1 1256 5 32.148
2 1986 1 1 1162 5 32.456
2 1986 2 1 1910 5 32.258
2 1986 3 0 0 -1 0
2 1986 3 1 1910 5 32.828
2 1986 4 0 0 -1 0
2 1986 4 1 1256 5 32.148
2 1987 1 1 1162 5 32.456
2 1987 2 1 1948 5 32.258
2 1987 3 0 0 -1 0
2 1987 3 1 1935 5 32.828
2 1987 4 0 0 -1 0
2 1987 4 1 1256 5 32.148
2 1988 1 1 1162 5 32.456
2 1988 2 1 1986 5 32.258
2 1988 3 0 0 -1 0
2 1988 3 1 1961 5 32.828
2 1988 4 0 0 -1 0
2 1988 4 1 1256 5 32.148
2 1989 1 1 1162 5 32.456
2 1989 2 1 2024 5 32.258
2 1989 3 0 0 -1 0
2 1989 3 1 1987 5 32.828
2 1989 4 0 0 -1 0
2 1989 4 1 1257 5 32.148
2 1990 1 1 1162 5 32.456
2 1990 2 1 2062 5 32.258
2 1990 3 0 0 -1 0
2 1990 3 1 2012 5 32.828
2 1990 4 0 0 -1 0
2 1990 4 1 1257 5 32.148
2 1991 1 1 1162 5 32.456
2 1991 2 1 2100 5 32.258
2 1991 3 0 0 -1 0
2 1991 3 1 2038 5 32.828
2 1991 4 0 0 -1 0
2 1991 4 1 1257 5 32.148
2 1992 1 1 1162 5 32.456
2 1992 2 1 2138 5 32.258
2 1992 3 0 0 -1 0
2 1992 3 1 2064 5 32.828
2 1992 4 0 0 -1 0
2 1992 4 1 1257 5 32.148
2 1993 1 1 1161 5 32.456
2 1993 2 1 2176 5 32.258
2 1993 3 0 0 -1 0
2 1993 3 1 2090 5 32.828
2 1993 4 0 0 -1 0
2 1993 4 1 1258 5 32.148
2 1994 1 1 1161 5 32.456
2 1994 2 1 2214 5 32.258
2 1994 3 0 0 -1 0
2 1994 3 1 2115 5 32.828
2 1994 4 0 0 -1 0
2 1994 4 1 1258 5 32.148
2 1995 1 1 1161 5 32.456
2 1995 2 1 2251 5 32.258
2 1995 3 0 0 -1 0
2 1995 3 1 2141 5 32.828
2 1995 4 0 0 -1 0
2 1995 4 1 1258 5 32.148
2 1996 1 1 1161 5 32.456
2 1996 2 1 2289 5 32.258
2 1996 3 0 0 -1 0
2 1996 3 1 2167 5 32.828
2 1996 4 0 0 -1 0
2 1996 4 1 1258 5 32.148
2 1997 1 1 1161 5 32.456
2 1997 2 1 2327 5 32.258
2 1997 3 0 0 -1 0
2 1997 3 1 2192 5 32.828
2 1997 4 0 0 -1 0
2 1997 4 1 1259 5 32.148
2 1998 1 1 1161 5 32.456
2 1998 2 1 2365 5 32.258
2 1998 3 0 0 -1 0
2 1998 3 1 2218 5 32.828
2 1998 4 0 0 -1 0
2 1998 4 1 1259 5 32.148
2 1999 1 1 1161 5 32.456
2 1999 2 1 2403 5 32.258
2 1999 3 0 0 -1 0
2 1999 3 1 2244 5 32.828
2 1999 4 0 0 -1 0
2 1999 4 1 1259 5 32.148
2 2000 1 1 1161 5 32.456
2 2000 2 1 2441 5 32.258
2 2000 3 0 0 -1 0
2 2000 3 1 2270 5 32.828
2 2000 4 0 0 -1 0
2 2000 4 1 1259 5 32.148
2 2001 1 1 1161 5 32.456
2 2001 2 1 2479 5 32.258
2 2001 3 0 0 -1 0
2 2001 3 1 2295 5 32.828
2 2001 4 0 0 -1 0
2 2001 4 1 1260 5 32.148
2 2002 1 1 1161 5 32.456
2 2002 2 1 2517 5 32.258
2 2002 3 0 0 -1 0
2 2002 3 1 2321 5 32.828
2 2002 4 0 0 -1 0
2 2002 4 1 1260 5 32.148
2 2003 1 1 1160 5 32.456
2 2003 2 1 2555 5 32.258
2 2003 3 0 0 -1 0
2 2003 3 1 2347 5 32.828
2 2003 4 0 0 -1 0
2 2003 4 1 1260 5 32.148
2 2004 1 1 1180 5 32.456
2 2004 2 1 2557 5 32.258
2 2004 3 0 0 -1 0
2 2004 3 1 2347 5 32.828
2 2004 4 0 0 -1 0
2 2004 4 1 1285 5 32.148
2 2005 1 1 1201 5 32.456
2 2005 2 1 2558 5 32.258
2 2005 3 0 0 -1 0
2 2005 3 1 2347 5 32.828
2 2005 4 0 0 -1 0
2 2005 4 1 1310 5 32.148
2 2006 1 1 1221 5 32.456
2 2006 2 1 2560 5 32.258
2 2006 3 0 0 -1 0
2 2006 3 1 2347 5 32.828
2 2006 4 0 0 -1 0
2 2006 4 1 1336 5 32.148
2 2007 1 1 1241 5 32.456
2 2007 2 1 2561 5 32.258
2 2007 3 0 0 -1 0
2 2007 3 1 2347 5 32.828
2 2007 4 0 0 -1 0
2 2007 4 1 1361 5 32.148
2 2008 1 1 1262 5 32.456
2 2008 2 1 2563 5 32.258
2 2008 3 0 0 -1 0
2 2008 3 1 2347 5 32.828
2 2008 4 0 0 -1 0
2 2008 4 1 1386 5 32.148
2 2009 1 1 1282 5 32.456
2 2009 2 1 2564 5 32.258
2 2009 3 0 0 -1 0
2 2009 3 1 2347 5 32.828
2 2009 4 0 0 -1 0
2 2009 4 1 1411 5 32.148
2 2010 1 1 1303 5 32.456
2 2010 2 1 2566 5 32.258
2 2010 3 0 0 -1 0
2 2010 3 1 2347 5 32.828
2 2010 4 0 0 -1 0
2 2010 4 1 1436 5 32.148
2 2011 1 1 1303 5 32.456
2 2011 2 1 2566 5 32.258
2 2011 3 0 0 -1 0
2 2011 3 1 2347 5 32.828
2 2011 4 0 0 -1 0
2 2011 4 1 1436 5 32.148
2 2012 1 1 1303 5 32.456
2 2012 2 1 2566 5 32.258
2 2012 3 0 0 -1 0
2 2012 3 1 2347 5 32.828
2 2012 4 0 0 -1 0
2 2012 4 1 1436 5 32.148
2 2013 1 1 1303 5 32.456
2 2013 2 1 2566 5 32.258
2 2013 3 0 0 -1 0
2 2013 3 1 2347 5 32.828
2 2013 4 0 0 -1 0
2 2013 4 1 1436 5 32.148
2 2014 1 1 1303 5 32.456
2 2014 2 1 2566 5 32.258
2 2014 3 0 0 -1 0
2 2014 3 1 2347 5 32.828
2 2014 4 0 0 -1 0
2 2014 4 1 1436 5 32.148
2 2015 1 1 1303 5 32.456
2 2015 2 1 2566 5 32.258
2 2015 3 0 0 -1 0
2 2015 3 1 2347 5 32.828
2 2015 4 0 0 -1 0
2 2015 4 1 1436 5 32.148
2 2016 1 1 1303 5 32.456
2 2016 2 1 2566 5 32.258
2 2016 3 0 0 -1 0
2 2016 3 1 2347 5 32.828
2 2016 4 0 0 -1 0
2 2016 4 1 1436 5 32.148
3 1974 1 1 610 5 28.55
3 1974 2 1 468 5 33.688
3 1974 3 0 0 -1 0
3 1974 3 1 245 5 36.829
3 1974 4 0 0 -1 0
3 1974 4 1 861 5 62.3
3 1975 1 1 616 5 28.55
3 1975 2 1 472 5 33.688
3 1975 3 0 0 -1 0
3 1975 3 1 247 5 36.829
3 1975 4 0 0 -1 0
3 1975 4 1 869 5 62.3
3 1976 1 1 621 5 28.55
3 1976 2 1 476 5 33.688
3 1976 3 0 0 -1 0
3 1976 3 1 249 5 36.829
3 1976 4 0 0 -1 0
3 1976 4 1 876 5 62.3
3 1977 1 1 625 5 28.55
3 1977 2 1 480 5 33.688
3 1977 3 0 0 -1 0
3 1977 3 1 251 5 36.829
3 1977 4 0 0 -1 0
3 1977 4 1 882 5 62.3
3 1978 1 1 629 5 28.55
3 1978 2 1 482 5 33.688
3 1978 3 0 0 -1 0
3 1978 3 1 252 5 36.829
3 1978 4 0 0 -1 0
3 1978 4 1 887 5 62.3
3 1979 1 1 632 5 28.55
3 1979 2 1 485 5 33.688
3 1979 3 0 0 -1 0
3 1979 3 1 254 5 36.829
3 1979 4 0 0 -1 0
3 1979 4 1 892 5 62.3
3 1980 1 1 634 5 28.55
3 1980 2 1 487 5 33.688
3 1980 3 0 0 -1 0
3 1980 3 1 255 5 36.829
3 1980 4 0 0 -1 0
3 1980 4 1 895 5 62.3
3 1981 1 1 637 5 28.55
3 1981 2 1 488 5 33.688
3 1981 3 0 0 -1 0
3 1981 3 1 256 5 36.829
3 1981 4 0 0 -1 0
3 1981 4 1 899 5 62.3
3 1982 1 1 639 5 28.55
3 1982 2 1 490 5 33.688
3 1982 3 0 0 -1 0
3 1982 3 1 256 5 36.829
3 1982 4 0 0 -1 0
3 1982 4 1 901 5 62.3
3 1983 1 1 640 5 28.55
3 1983 2 1 491 5 33.688
3 1983 3 0 0 -1 0
3 1983 3 1 257 5 36.829
3 1983 4 0 0 -1 0
3 1983 4 1 904 5 62.3
3 1984 1 1 642 5 28.55
3 1984 2 1 492 5 33.688
3 1984 3 0 0 -1 0
3 1984 3 1 258 5 36.829
3 1984 4 0 0 -1 0
3 1984 4 1 906 5 62.3
3 1985 1 1 643 5 28.55
3 1985 2 1 493 5 33.688
3 1985 3 0 0 -1 0
3 1985 3 1 258 5 36.829
3 1985 4 0 0 -1 0
3 1985 4 1 907 5 62.3
3 1986 1 1 640 5 28.55
3 1986 2 1 492 5 33.688
3 1986 3 0 0 -1 0
3 1986 3 1 258 5 36.829
3 1986 4 0 0 -1 0
3 1986 4 1 904 5 62.3
3 1987 1 1 636 5 28.55
3 1987 2 1 489 5 33.688
3 1987 3 0 0 -1 0
3 1987 3 1 258 5 36.829
3 1987 4 0 0 -1 0
3 1987 4 1 900 5 62.3
3 1988 1 1 631 5 28.55
3 1988 2 1 487 5 33.688
3 1988 3 0 0 -1 0
3 1988 3 1 258 5 36.829
3 1988 4 0 0 -1 0
3 1988 4 1 895 5 62.3
3 1989 1 1 624 5 28.55
3 1989 2 1 483 5 33.688
3 1989 3 0 0 -1 0
3 1989 3 1 258 5 36.829
3 1989 4 0 0 -1 0
3 1989 4 1 888 5 62.3
3 1990 1 1 613 5 28.55
3 1990 2 1 478 5 33.688
3 1990 3 0 0 -1 0
3 1990 3 1 258 5 36.829
3 1990 4 0 0 -1 0
3 1990 4 1 879 5 62.3
3 1991 1 1 599 5 28.55
3 1991 2 1 472 5 33.688
3 1991 3 0 0 -1 0
3 1991 3 1 258 5 36.829
3 1991 4 0 0 -1 0
3 1991 4 1 867 5 62.3
3 1992 1 1 580 5 28.55
3 1992 2 1 464 5 33.688
3 1992 3 0 0 -1 0
3 1992 3 1 258 5 36.829
3 1992 4 0 0 -1 0
3 1992 4 1 851 5 62.3
3 1993 1 1 554 5 28.55
3 1993 2 1 453 5 33.688
3 1993 3 0 0 -1 0
3 1993 3 1 258 5 36.829
3 1993 4 0 0 -1 0
3 1993 4 1 831 5 62.3
3 1994 1 1 521 5 28.55
3 1994 2 1 440 5 33.688
3 1994 3 0 0 -1 0
3 1994 3 1 258 5 36.829
3 1994 4 0 0 -1 0
3 1994 4 1 805 5 62.3
3 1995 1 1 478 5 28.55
3 1995 2 1 423 5 33.688
3 1995 3 0 0 -1 0
3 1995 3 1 258 5 36.829
3 1995 4 0 0 -1 0
3 1995 4 1 772 5 62.3
3 1996 1 1 425 5 28.55
3 1996 2 1 403 5 33.688
3 1996 3 0 0 -1 0
3 1996 3 1 258 5 36.829
3 1996 4 0 0 -1 0
3 1996 4 1 732 5 62.3
3 1997 1 1 383 5 28.55
3 1997 2 1 396 5 33.688
3 1997 3 0 0 -1 0
3 1997 3 1 258 5 36.829
3 1997 4 0 0 -1 0
3 1997 4 1 707 5 62.3
3 1998 1 1 362 5 28.55
3 1998 2 1 375 5 33.688
3 1998 3 0 0 -1 0
3 1998 3 1 257 5 36.829
3 1998 4 0 0 -1 0
3 1998 4 1 678 5 62.3
3 1999 1 1 359 5 28.55
3 1999 2 1 372 5 33.688
3 1999 3 0 0 -1 0
3 1999 3 1 256 5 36.829
3 1999 4 0 0 -1 0
3 1999 4 1 674 5 62.3
3 2000 1 1 357 5 28.55
3 2000 2 1 370 5 33.688
3 2000 3 0 0 -1 0
3 2000 3 1 255 5 36.829
3 2000 4 0 0 -1 0
3 2000 4 1 669 5 62.3
3 2001 1 1 354 5 28.55
3 2001 2 1 367 5 33.688
3 2001 3 0 0 -1 0
3 2001 3 1 254 5 36.829
3 2001 4 0 0 -1 0
3 2001 4 1 664 5 62.3
3 2002 1 1 351 5 28.55
3 2002 2 1 364 5 33.688
3 2002 3 0 0 -1 0
3 2002 3 1 252 5 36.829
3 2002 4 0 0 -1 0
3 2002 4 1 659 5 62.3
3 2003 1 1 349 5 28.55
3 2003 2 1 361 5 33.688
3 2003 3 0 0 -1 0
3 2003 3 1 249 5 36.829
3 2003 4 0 0 -1 0
3 2003 4 1 654 5 62.3
3 2004 1 1 335 5 28.55
3 2004 2 1 363 5 33.688
3 2004 3 0 0 -1 0
3 2004 3 1 238 5 36.829
3 2004 4 0 0 -1 0
3 2004 4 1 628 5 62.3
3 2005 1 1 322 5 28.55
3 2005 2 1 365 5 33.688
3 2005 3 0 0 -1 0
3 2005 3 1 228 5 36.829
3 2005 4 0 0 -1 0
3 2005 4 1 602 5 62.3
3 2006 1 1 308 5 28.55
3 2006 2 1 367 5 33.688
3 2006 3 0 0 -1 0
3 2006 3 1 217 5 36.829
3 2006 4 0 0 -1 0
3 2006 4 1 576 5 62.3
3 2007 1 1 294 5 28.55
3 2007 2 1 369 5 33.688
3 2007 3 0 0 -1 0
3 2007 3 1 206 5 36.829
3 2007 4 0 0 -1 0
3 2007 4 1 549 5 62.3
3 2008 1 1 281 5 28.55
3 2008 2 1 371 5 33.688
3 2008 3 0 0 -1 0
3 2008 3 1 196 5 36.829
3 2008 4 0 0 -1 0
3 2008 4 1 523 5 62.3
3 2009 1 1 267 5 28.55
3 2009 2 1 373 5 33.688
3 2009 3 0 0 -1 0
3 2009 3 1 185 5 36.829
3 2009 4 0 0 -1 0
3 2009 4 1 497 5 62.3
3 2010 1 1 253 5 28.55
3 2010 2 1 375 5 33.688
3 2010 3 0 0 -1 0
3 2010 3 1 174 5 36.829
3 2010 4 0 0 -1 0
3 2010 4 1 471 5 62.3
3 2011 1 1 253 5 28.55
3 2011 2 1 375 5 33.688
3 2011 3 0 0 -1 0
3 2011 3 1 174 5 36.829
3 2011 4 0 0 -1 0
3 2011 4 1 471 5 62.3
3 2012 1 1 253 5 28.55
3 2012 2 1 375 5 33.688
3 2012 3 0 0 -1 0
3 2012 3 1 174 5 36.829
3 2012 4 0 0 -1 0
3 2012 4 1 471 5 62.3
3 2013 1 1 253 5 28.55
3 2013 2 1 375 5 33.688
3 2013 3 0 0 -1 0
3 2013 3 1 174 5 36.829
3 2013 4 0 0 -1 0
3 2013 4 1 471 5 62.3
3 2014 1 1 253 5 28.55
3 2014 2 1 375 5 33.688
3 2014 3 0 0 -1 0
3 2014 3 1 174 5 36.829
3 2014 4 0 0 -1 0
3 2014 4 1 471 5 62.3
3 2015 1 1 253 5 28.55
3 2015 2 1 375 5 33.688
3 2015 3 0 0 -1 0
3 2015 3 1 174 5 36.829
3 2015 4 0 0 -1 0
3 2015 4 1 471 5 62.3
3 2016 1 1 253 5 28.55
3 2016 2 1 375 5 33.688
3 2016 3 0 0 -1 0
3 2016 3 1 174 5 36.829
3 2016 4 0 0 -1 0
3 2016 4 1 471 5 62.3
4 1974 1 1 1025 5 21.865
4 1974 2 1 1100 5 20.971
4 1974 3 0 0 -1 0
4 1974 3 1 847 5 20.971
4 1974 4 0 0 -1 0
4 1974 4 1 1132 5 21.865
4 1975 1 1 1052 5 21.865
4 1975 2 1 1106 5 20.971
4 1975 3 0 0 -1 0
4 1975 3 1 852 5 20.971
4 1975 4 0 0 -1 0
4 1975 4 1 1161 5 21.865
4 1976 1 1 1074 5 21.865
4 1976 2 1 1111 5 20.971
4 1976 3 0 0 -1 0
4 1976 3 1 856 5 20.971
4 1976 4 0 0 -1 0
4 1976 4 1 1184 5 21.865
4 1977 1 1 1091 5 21.865
4 1977 2 1 1116 5 20.971
4 1977 3 0 0 -1 0
4 1977 3 1 860 5 20.971
4 1977 4 0 0 -1 0
4 1977 4 1 1204 5 21.865
4 1978 1 1 1106 5 21.865
4 1978 2 1 1120 5 20.971
4 1978 3 0 0 -1 0
4 1978 3 1 864 5 20.971
4 1978 4 0 0 -1 0
4 1978 4 1 1219 5 21.865
4 1979 1 1 1117 5 21.865
4 1979 2 1 1124 5 20.971
4 1979 3 0 0 -1 0
4 1979 3 1 866 5 20.971
4 1979 4 0 0 -1 0
4 1979 4 1 1232 5 21.865
4 1980 1 1 1127 5 21.865
4 1980 2 1 1127 5 20.971
4 1980 3 0 0 -1 0
4 1980 3 1 869 5 20.971
4 1980 4 0 0 -1 0
4 1980 4 1 1242 5 21.865
4 1981 1 1 1134 5 21.865
