Cod        

Year         Recruits          SSB            TSB          Yield           mean-F
1994          3831820        2559763        3131690         817922          0.342
1995          3451153        2564374        3152896         755210          0.324
1996          3416527        2436341        2953407         561267          0.241
1997          2801201        2460078        2960298         570291          0.235
1998          2864801        2448229        2858355         662343          0.267
1999          3265582        2386918        2784259         636297          0.274
2000          1963922        2250300        2641189         736472          0.326
2001          4259379        2091704        2426808         735748          0.368
2002          5783147        1801281        2191675         770238          0.441
2003          3660857        1801318        2398538         678030          0.424
2004          5038409        2149320        2621497         684412          0.449
2005          8150757        2081538        2664466         549854          0.321
2006          9678866        2337893        3247124         478373          0.261
2007          8392156        2845523        4139299         588318          0.294
2008          8295821        3411271        4800976         622041          0.263
2009          7516747        4009389        5281888         738620          0.240
2010         10904340        4545858        5548792         879073          0.222
2011         10779835        5274906        6484817         950185          0.206
2012          6778970        5438274        6921609         900343          0.181
2013          5303872        5807488        6904732         939365          0.180
2014          6265357        5926886        6738956        1403481          0.227
2015          2823812        6013508        6678919        1222450          0.210
2016          5207960        5710800        6327282        1102656          0.197
2017          3610704        4992280        5560768        1159211          0.217
2018          3172425        4520590        5273599        1022963          0.202
2019          5406683        4208828        4765851         839839          0.179
2020          6215543        4010841        4647697        1039503          0.228
2021          2962083        3850730        4655265        1081666          0.276
2022          4167304        3708033        4357635        1046951          0.294
2023                         3393297

Herring    

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974          9602258         232004         275344         266013          0.694
1975          4102589         161782         206812         253937          1.167
1976          2384249          91004         110601         159255          0.686
1977          1724035          69016          81375          39314          0.162
1978          1277912          83164          96783              0          0.000
1979          4424250         114110         128528              0          0.000
1980         14532964         146851         181017          73450          0.103
1981         21288077         217625         312949         208745          0.153
1982         29735966         375712         514670         277070          0.132
1983         27347572         632827         837740         430216          0.301
1984         29478470         948410        1171346         460933          0.479
1985         43409206        1030234        1280266         659339          0.544
1986         47674227         980128        1256847         752731          0.464
1987         36621859        1096962        1417215        1008725          0.414
1988         23157740        1366758        1653902        1140874          0.395
1989         19054733        1426545        1646029         910318          0.339
1990         20152500        1497683        1625888         739056          0.325
1991         18465149        1374760        1508632         685045          0.369
1992         29068215        1133088        1361002         764432          0.503
1993         30119034         795195        1156185         687902          0.654
1994         23883875         792621        1030808         597208          0.590
1995         25707330         761461        1001434         595417          0.610
1996         26881262         708152         924503         274372          0.247
1997         17241833         826057        1095040         264056          0.235
1998         14237219        1080579        1367601         380193          0.382
1999         40609909        1126945        1327697         369622          0.284
2000         26539738        1164730        1478625         421779          0.298
2001         70366115        1551532        1900105         363691          0.229
2002         27811222        1936571        2406793         390438          0.211
2003         17598147        2162641        3109600         487432          0.236
2004         19457368        2381782        3100829         589576          0.247
2005         13860162        2335495        2556864         665396          0.315
2006         16236834        1712865        1918702         513247          0.251
2007         21845458        1314736        1487971         406368          0.221
2008         19467351        1157417        1298460         258713          0.155
2009         23462607        1305890        1441548         168589          0.092
2010         22758528        1396304        1777766         186255          0.109
2011         18540279        1868795        2131056         224049          0.104
2012         19820791        2171262        2301193         434509          0.197
2013         33165929        1953881        2121475         511220          0.234
2014         37275017        1728989        1943949         518042          0.225
2015         12515269        1656334        2087368         494949          0.247
2016         15350805        1935959        2304742         563618          0.237
2017          8228860        1819997        2036272         490975          0.174
2018         15653669        1613584        1870601         591798          0.214
2019         13447525        1367164        1519860         432123          0.190
2020         17012520        1285909        1440991         427687          0.216
2021         13794816        1258512        1425707         374908          0.188
2022         17583246        1278232        1464169         445987          0.251
2023                         1132017

N.sandeel  

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        348101389         385592        1134384         220388          0.194
1975        205195784         534877         937730         196585          0.259
1976        216938498         293552         592279         110245          0.237
1977        123144261         227633         611369         271729          0.566
1978        208296473         216423         471497         133700          0.294
1979        319352028         267899         670095         202374          0.111
1980        172836794         451799        1038579         303285          0.349
1981        225149351         428777         739081         152257          0.235
1982        196162016         320558         639810          87780          0.217
1983        172126261         321661         705434          81411          0.091
1984        120320548         454017         819889          97873          0.090
1985        222477013         496789         753290          89680          0.149
1986        251144922         457862         937363         380423          0.375
1987        121417750         452513         907088         406697          0.268
1988        321162882         419278         616532         372984          0.400
1989        189563720         305981         792287         492321          0.916
1990        306381588         224994         484749         220066          0.743
1991        312042273         171291         562726         376987          0.552
1992        435979750         218733         640323         178362          0.303
1993        504461611         290680         772423         247966          0.205
1994        608504526         359167        1026149         499686          0.828
1995        234899829         279014        1015042         407424          0.330
1996        796810137         321260         635140         286113          0.330
1997        106836424         301827        1905786         581619          0.367
1998        165823125         681322        1017449         506445          0.462
1999        448054960         379035         706125         261940          0.321
2000        187357721         346671        1104325         273480          0.439
2001        164382990         278714         605662         234252          0.258
2002         32514936         165687         453571         162661          0.662
2003         83040903          92710         162662          58422          0.390
2004         44737095          52137         205754          77882          0.889
2005         68569262          36914         126007          23887          0.274
2006         85603391          43354         175040          16483          0.104
2007         62516145          67420         243509          90990          0.323
2008         68151678          76010         213622          88489          1.104
2009        108629643          39399         194130          29845          0.112
2010         14433783          94624         375844          76706          0.311
2011         14516404         136632         199089          95914          0.273
2012         77160773          72443         104881          43055          0.092
2013        104384147          54276         220271          25480          0.203
2014        121035014          89431         363002         137976          0.901
2015         11894263          94526         407670         119697          0.476
2016        370793585         118685         169834          46908          0.244
2017         22230743         119706        1063485         204511          0.300
2018        114571467         391400         549949         112208          0.305
2019        244786448         242547         533242         145579          0.326
2020        102719586         248300         891431         304897          0.396
2021         86628138         277139         534814         182528          0.299
2022         59913172         142579         313543         140040          0.454
2023                           68301

S.sandeel  

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        232106238         424523         751574         118670          0.105
1975         94695727         341028        1004257         162704          0.165
1976        169114967         468179         795719         316414          0.394
1977        279781768         268810         741756         314952          0.393
1978        131074903         315795        1220973         665810          0.630
1979        168901778         449417         892960         481048          0.766
1980        105566550         304862         871078         420808          0.590
1981        367516748         387086         762459         375286          0.667
1982         35264502         225524        1137450         537998          0.744
1983        272265338         437064         613730         455491          0.416
1984         99299921         257737        1055175         569182          0.541
1985        327318072         475284         813044         532829          0.906
1986         80777289         222676        1191922         465159          0.365
1987         71714694         646310         981495         415769          0.260
1988        210654113         479215         698044         518102          0.472
1989        114018403         262139         877249         536102          0.595
1990        150456256         346888         711637         370075          0.764
1991        267526368         207320         635214         464214          0.533
1992         63736312         267512        1057440         673907          0.487
1993        207208451         462254         709057         281050          0.425
1994        300766120         285617         891808         283238          0.392
1995         92848023         415111        1330848         496112          0.341
1996        492660788         609296         938054         452057          0.538
1997         86393877         332715        1751080         552475          0.313
1998        142483493         859276        1232302         485678          0.481
1999        220169672         434893         817521         471932          0.742
2000        278709511         192844         737909         370347          0.545
2001        354013652         268506         999801         595721          0.922
2002         43129623         259519        1181926         645902          0.597
2003        165962287         394144         559723         232654          0.803
2004         91496800         105533         483255         264457          0.683
2005        212781916         136757         372490         143318          0.580
2006        168326617         105784         588299         267630          0.609
2007        297172375         166022         541911         114319          0.275
2008        148750778         182905         800569         245289          0.392
2009        652265716         259644         609502         304305          0.705
2010         84569655         175449        1713948         324785          0.209
2011        110146169         834395        1180103         340287          0.191
2012        211652165         389248         611358          56692          0.053
2013        152179148         234016         632172         236658          0.670
2014        282378906         142205         475321          91156          0.322
2015         72523580         174547         804127         188928          0.322
2016        309091701         295933         486464          22561          0.034
2017         34524732         210527         874706         276566          0.437
2018         50163179         298898         418078         150533          0.593
2019        112943213          97658         215557          66204          0.379
2020         64721019          79413         364320         129666          0.365
2021        104148049         141609         313632          46720          0.134
2022         96199990         133964         386136          11760          0.024
2023                          210555

Nor.pout   

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        222850885         287487        1100459         732535          1.612
1975        358785333         288739         827764         508262          1.111
1976        291365852         366631        1176554         472608          0.997
1977        132171112         362701        1014157         383967          0.678
1978        211120379         314838         656975         253756          0.761
1979        215661676         261873         833692         339898          0.833
1980         56044395         390750        1036299         534650          0.972
1981        158546967         273405         405206         431928          0.600
1982        173150530         122271         450448         390197          0.734
1983        177056635         223410         675032         475746          0.992
1984         74527810         319606         865010         376484          1.180
1985        102374195         270690         455340         227635          1.792
1986         92371368          99037         348362         180330          0.694
1987         53450831         151485         363637         148943          1.201
1988         77591760          94620         204297         109219          0.645
1989         77729090          98278         283122         166974          0.868
1990         77826404         127783         314444         138841          0.774
1991        158625571         144772         343449         189819          1.159
1992         73477154         190814         632457         302275          0.651
1993         59685763         323139         491854         181098          1.329
1994        165136467          98235         237484         183618          0.777
1995         74748755         177721         629628         231894          0.473
1996        125097263         277504         436793         156224          0.504
1997         32299654         186799         540559         156781          0.507
1998         67694610         222463         302043          73981          0.391
1999        110969517         110671         272136          92388          0.529
2000         44238896         155149         449409         185103          0.534
2001         58642147         211678         314067          64358          0.199
2002         32661601         107776         223244          77138          0.471
2003         14612815          61047         126951          24569          0.427
2004         20206478          37564          69443          13488          0.279
2005         53861326          24931          66415             41          0.000
2006         43613538          54315         175922          46529          0.359
2007         70849382          71981         160182           5799          0.000
2008        121535751          92637         235721          34844          0.140
2009        145023393         126909         380943          45821          0.138
2010         34235232         221724         576638         131191          0.383
2011         65507093         183284         252277           6840          0.016
2012        139370543          80830         186776          26946          0.027
2013         47701680         106738         373816          82179          0.266
2014        134543224         109774         196761          44189          0.240
2015         68669686         103580         397355          57351          0.284
2016        107680853         167709         305075          60203          0.373
2017         49189184         100612         314995          33941          0.164
2018        112054805         103138         185400          36152          0.299
2019        110226140          93704         340971          97555          0.439
2020         89913860         195011         490838         129545          0.590
2021         68735681         192182         400148          71943          0.416
2022        126926670         119369         262580          35718          0.179
2023                          100740

Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        346134293         431953         770229         354208          0.455
1975        722280023         550248         933072         773773          1.074
1976        226279698         638316        1349988         636786          1.034
1977        334543846         334461         553367         341809          0.966
1978        583601576         297202         611674         431459          0.683
1979        314984493         461062         891163         451078          0.414
1980        116399115         614122         882694         407809          1.028
1981         50260301         193173         303345         284613          0.837
1982         40001746          88037         144754         182734          0.549
1983         65619223         149397         271677          80084          1.189
1984         47058563          95776         198354         104218          0.548
1985         35144405         171976         299421          69202          0.575
1986         71914375          93568         165074          27252          1.041
1987         44762316         123253         273628          46361          0.240
1988         51659448         137759         232539          73342          0.659
1989        113920005          80198         158267          72798          0.230
1990        117165928         172686         360217          82313          0.741
1991         66646339         138245         272196         118017          0.624
1992         95693679          93084         172132         133330          0.267
1993        186137280         120756         213680         196481          0.669
1994        128024721         160004         315524         396974          0.371
1995         37659579         252545         408832         407769          0.849
1996         50701026         149554         227734         143651          0.665
1997         60995522          88547         172911         118277          0.541
1998        110943182         172574         317016         154505          0.908
1999         80444983         118313         248415         214119          0.538
2000         59772923         135292         224422         215482          0.680
2001         70415454         125413         214843         196622          0.855
2002         69308756         200006         392789         153710          0.860
2003         81941357         106557         199341         176392          0.731
2004        196203669         183138         365266         113696          0.796
2005         57395563         182722         389196         241424          0.539
2006         80906853         196899         312955         124161          0.900
2007         65412567         186599         370994          95525          0.522
2008        175605284          98841         176956          60789          0.455
2009        132452614         310652         661391         140648          0.283
2010        139168408         265267         447323         150586          0.325
2011        111215196         270987         482655         142520          0.376
2012         81965424         298564         507422          93354          0.417
2013        231270020         107157         188142          62518          0.436
2014        186811725         457691         987502         127560          0.133
2015        131434682         442065         744639         288272          0.539
2016        149073445         256006         397474         211103          1.111
2017        226122429         127552         257088         113925          0.362
2018        188586315         234493         446052         158846          0.450
2019        142782690         263400         455408         134858          0.337
2020        125347962         255268         408752         181117          0.456
2021        183120915         178277         296741          76133          0.226
2022        324430263         183516         339532          81600          0.074
2023                          347939

Plaice     

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974          1925741         498129         774752         157427          0.284
1975          1556211         511509         836636         195349          0.337
1976          2252077         524560         815755         166997          0.270
1977          1843339         517602         799699         176623          0.294
1978          1936660         502852         771675         159539          0.269
1979          2604289         477015         758704         213145          0.407
1980          2257049         466816         733384         171852          0.325
1981          4879192         442615         683184         174140          0.338
1982          3301457         429306         810473         205329          0.374
1983          3086204         518256         885423         220537          0.358
1984          3946531         535590         916584         236422          0.373
1985          9600627         566491         955607         232241          0.343
1986          4506754         595646        1211154         308262          0.427
1987          4544381         688344        1186108         358749          0.435
1988          3308094         596918        1050256         324772          0.458
1989          2846400         626706         958785         286704          0.407
1990          2699966         566595         865048         240832          0.399
1991          2305297         533638         831007         237986          0.468
1992          1467381         455745         707005         193692          0.495
1993          1352248         402865         612342         163524          0.477
1994          2085614         340722         523344         145745          0.479
1995          2045373         317105         512307         131248          0.456
1996          5794510         282804         471539         143394          0.517
1997          2216438         264939         576983         192969          0.580
1998          2017305         311703         560770         183655          0.496
1999          2270760         295077         534578         160881          0.503
2000          1388939         304660         514452         135015          0.367
2001          3932927         331695         540985         193367          0.448
2002          1279025         293825         578262         134404          0.418
2003          2690883         338285         564754         154023          0.369
2004          1858446         318869         584532         127824          0.256
2005          2021260         370329         583448         118885          0.252
2006          3179785         397485         641355         131169          0.245
2007          2749194         381134         641670         101029          0.247
2008          2618441         448234         733002         105289          0.184
2009          3297754         524955         838769         108299          0.206
2010          3852476         584256         911822         116972          0.181
2011          3199588         561083         873842         118106          0.222
2012          3429904         542163         871630         141842          0.214
2013          3563865         584585         910359         126360          0.187
2014          1984260         636437         978141         133664          0.200
2015          2151298         560668         735062         134577          0.218
2016          2985222         535389         697687         136931          0.250
2017          1970463         507494         678345         114281          0.204
2018          4354349         435539         594524         105954          0.227
2019          2659653         401022         580140          86015          0.179
2020          2189437         421213         592810          79079          0.178
2021          7089867         438649         631582          73222          0.140
2022          3159355         431298         671451          64879          0.128
2023                          524512

Sole       

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-6
1974            49346          41110          59652          17986          0.460
1975           111653          43370          58645          20770          0.468
1976           139807          43000          52736          17322          0.435
1977            51274          35231          53985          18001          0.396
1978            15071          40178          58583          20276          0.485
1979           149577          46300          53463          22595          0.477
1980           156925          36421          44002          15803          0.479
1981           146287          25312          50376          15400          0.476
1982           148725          34158          58638          21575          0.536
1983            77651          41704          66363          24924          0.505
1984            93299          45124          65805          26837          0.579
1985           149585          41846          54750          24245          0.542
1986            69075          36606          54375          18198          0.592
1987           502735          30650          53711          17365          0.486
1988           112848          38101          69903          21587          0.496
1989           226101          33944          96737          21801          0.410
1990            84369          91221         116324          35118          0.425
1991           400846          77580         108174          33511          0.474
1992            83569          76701         106875          29339          0.464
1993            59175          53393         100695          31489          0.503
1994            97869          73824          86713          33000          0.538
1995            61660          57933          70110          30466          0.505
1996           249520          39365          54427          22648          0.716
1997           112731          28134          47732          14899          0.605
1998            91297          21363          56054          20865          0.646
1999           122609          37484          54204          23473          0.577
2000            66877          34261          50759          22639          0.637
2001           182992          27969          45954          19942          0.531
2002            84822          30712          47582          18659          0.530
2003            46217          26034          52569          19286          0.522
2004            50105          36772          48760          20942          0.515
2005           179566          31286          39512          17696          0.555
2006            71566          24042          38822          13588          0.474
2007            69108          17692          44134          15505          0.480
2008            85420          32827          45415          14615          0.411
2009           173025          30949          43317          15214          0.472
2010           217527          28225          47199          14850          0.528
2011            55250          24549          55443          13189          0.462
2012            94236          28690          40659          14695          0.524
2013           142317          34266          40479          15958          0.480
2014            99401          29115          38375          14640          0.468
2015            64713          26095          41725          14590          0.447
2016           104467          30264          36508          15323          0.538
2017            78176          25073          31191          13574          0.549
2018           209382          20336          29654          12266          0.560
2019            33171          17582          27792          10605          0.627
2020            62069          16789          31491          10489          0.467
2021            96064          28600          34062           9143          0.319
2022            93263          26964          45178           5827          0.199
2023                           27457

