Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
18 1978  1.67167e+07 178633 362091 146706 140110 129101 146706 140110 129101 0.807143 356836
18 1979  2.68609e+07 133753 454039 149064 145024 131177 149064 145024 131177 0.83363 550370
18 1980  1.57003e+07 176636 745478 202451 203041 178157 202451 203041 178157 0.795691 646850
18 1981  2.20218e+07 312712 728027 226485 214586 199306 226485 214586 199306 0.573252 626079
18 1982  9.93945e+06 342402 676339 256108 197369 225375 256108 197369 225375 0.553003 464545
18 1983  1.52383e+07 269629 487360 253230 218758 222842 253230 218758 222842 0.732228 334643
18 1984  5.1897e+06 224695 555027 247089 250052 217439 247089 250052 217439 0.875377 289376
18 1985  5.79324e+06 250312 499915 247098 272666 217447 247098 272666 217447 0.832149 203792
18 1986  1.23465e+07 236368 380677 223727 198754 196880 223727 198754 196880 0.866582 218676
18 1987  1.80419e+06 185603 452454 194995 210886 171595 194995 210886 171595 0.974695 185930
18 1988  1.30482e+06 196648 351314 179974 192706 158377 179974 192706 158377 0.953247 88893.6
18 1989  2.55413e+06 142642 187441 127719 117831 112393 127719 117831 112393 0.944184 57307.4
18 1990  5.02942e+06 76897.9 133710 86747.9 75953.8 76338.1 86747.9 75953.8 76338.1 0.882735 89581.6
18 1991  7.15411e+06 63212.2 175880 97264.3 92347.4 85592.6 97264.3 92347.4 85592.6 0.914028 129941
18 1992  1.02219e+07 100404 303403 135185 125769 118962 135185 125769 118962 0.807083 211624
18 1993  4.08705e+06 175269 469551 180218 225054 158592 180218 225054 158592 1.00367 213278
18 1994  1.64135e+07 213227 402489 169436 210942 149104 169436 210942 149104 0.898763 251072
18 1995  8.46395e+06 194304 567212 168928 192087 148656 168928 192087 148656 0.803704 382830
18 1996  6.27614e+06 247781 523190 204683 261625 180121 204683 261625 180121 0.947149 221716
18 1997  3.68186e+06 226101 385783 170009 174082 149608 170009 174082 149608 0.721473 155274
18 1998  1.89283e+06 190279 296562 161929 148684 142498 161929 148684 142498 0.781008 83331.7
18 1999  1.77898e+07 140229 195715 123489 124036 108670 123489 124036 108670 0.976074 184213
18 2000  6.06554e+06 104342 486373 126823 124469 111604 126823 124469 111604 0.8588 317080
18 2001  1.23057e+06 359108 655152 173366 204823 152562 173366 204823 152562 0.695681 147654
18 2002  1.52213e+06 424075 496264 155333 225057 136693 155333 225057 136693 0.629559 87289.1
18 2003  1.39581e+06 262943 292426 74350.3 91725.8 65428.2 74350.3 91725.8 65428.2 0.339778 56084.3
18 2004  1.20338e+06 178514 207054 72513.1 65589.1 63811.5 72513.1 65589.1 63811.5 0.366878 59083.2
18 2005  8.37387e+06 120207 142068 64115.2 47037.1 56421.3 64115.2 47037.1 56421.3 0.393932 119573
18 2006  2.27096e+06 90102.5 227315 66967.2 58404.4 58931.1 66967.2 58404.4 58931.1 0.615693 154769
18 2007  1.23744e+06 138540 206573 67425.3 60923.8 59334.3 67425.3 60923.8 59334.3 0.562084 74321.1
18 2008  644455 135861 166874 49900.4 47211.3 43912.4 49900.4 47211.3 43912.4 0.37106 46302
18 2009  4.24981e+06 95559.2 115039 46492.1 33808.7 40913 46492.1 33808.7 40913 0.334398 62466.2
18 2010  612004 85819.4 188230 41303.5 34785.7 36347.1 41303.5 34785.7 36347.1 0.366237 98779.3
18 2011  329445 134109 181744 42868 42725.7 37723.8 42868 42725.7 37723.8 0.3448 47893.9
18 2012  617448 145762 157238 42919.8 44663.4 37769.4 42919.8 44663.4 37769.4 0.296773 28296.9
18 2013  515704 109179 122674 46685.3 32061.7 41083.1 46685.3 32061.7 41083.1 0.262738 27728.8
18 2014  3.95079e+06 77025.4 90653.8 45914.5 33821 40404.8 45914.5 33821 40404.8 0.414779 56017
18 2015  1.02097e+06 61937.1 145132 41474.8 42545.6 36497.8 41474.8 42545.6 36497.8 0.628419 82362.5
18 2016  1.64806e+06 99069.1 149883 42943.5 55521.8 37790.2 42943.5 55521.8 37790.2 0.508087 61009.3
18 2017  836903 117805 156542 40861.1 52157.4 35957.7 40861.1 52157.4 35957.7 0.457811 51965.8
18 2018  1.78712e+06 97351.5 123946 39694 43976.9 34930.7 39694 43976.9 34930.7 0.432151 47549.3
18 2019  6.20412e+06 81222.8 119985 36305.3 36759.3 31948.6 36305.3 36759.3 31948.6 0.430648 88930.7
18 2020  8.56981e+06 93129 247119 38943.8 41884.1 34270.5 38943.8 41884.1 34270.5 0.345042 211331
18 2021  3.60991e+06 208356 429295 44128.5 56790.8 38833.1 44128.5 56790.8 38833.1 0.221602 225003
18 2022  3.91944e+06 352007 472228 56889.5 47018.2 50062.8 56889.5 47018.2 50062.8 0.121735 182345
18 2023  NA 406003 NA NA NA NA NA NA NA NA NA
19 1974  267752 558061 861485 341457 273980 310725 341457 273980 310725 0.450795 0
19 1975  150792 487925 829296 308362 277613 280610 308362 277613 280610 0.531098 0
19 1976  188176 368100 730404 432832 268238 393877 432832 268238 393877 0.574511 0
19 1977  160711 292383 600366 242626 285495 220790 242626 285495 220790 0.734476 0
19 1978  341583 247291 456438 179361 144527 163218 179361 144527 163218 0.435475 0
19 1979  256847 240335 488833 144250 158401 131268 144250 158401 131268 0.464299 0
19 1980  251835 222223 471260 146784 166433 133573 146784 166433 133573 0.541551 0
19 1981  219197 211551 540785 150025 178252 136523 150025 178252 136523 0.497569 0
19 1982  264094 192397 546190 205438 185157 186949 205438 185157 186949 0.489585 0
19 1983  495462 198449 523465 205616 243131 187111 205616 243131 187111 0.716591 0
19 1984  267134 162106 418114 245308 159233 223230 245308 159233 223230 0.590135 0
19 1985  268842 140987 403109 280080 138615 254873 280080 138615 254873 0.597653 0
19 1986  156779 123759 445029 236972 191995 215644 236972 191995 215644 0.733927 0
19 1987  151160 128347 375101 195418 150431 177830 195418 150431 177830 0.626113 0
19 1988  206380 129747 354076 156418 163216 142340 156418 163216 142340 0.722128 0
19 1989  191983 109883 290996 126442 122358 115063 126442 122358 115063 0.666722 0
19 1990  210759 103719 268893 126902 96452.3 115481 126902 96452.3 115481 0.576114 0
19 1991  171915 97189.1 277867 133739 93531.5 121702 133739 93531.5 121702 0.533346 0
19 1992  504248 97571.5 308341 117430 79004.7 106862 117430 79004.7 106862 0.510889 0
19 1993  207378 112050 353003 135112 127297 122952 135112 127297 122952 0.734587 0
19 1994  306222 108480 365542 128816 91160.3 117223 128816 91160.3 117223 0.517525 0
19 1995  142829 133105 568506 143477 163649 130564 143477 163649 130564 0.66012 0
19 1996  263825 146841 498724 130551 160668 118801 130551 160668 118801 0.56998 0
19 1997  148987 180521 484967 121523 120855 110586 121523 120855 110586 0.408202 0
19 1998  330560 183262 421751 118480 114018 107816 118480 114018 107816 0.419873 0
19 1999  338453 190291 436995 120395 141662 109560 120395 141662 109560 0.575348 0
19 2000  244463 176940 438347 94675.6 103128 86154.8 94675.6 103128 86154.8 0.40894 0
19 2001  184708 186196 486353 104100 84113.6 94731.3 104100 84113.6 94731.3 0.313169 0
19 2002  292145 221575 570320 129849 139626 118162 129849 139626 118162 0.430951 0
19 2003  127565 208438 481593 121658 134870 110709 121658 134870 110709 0.46348 0
19 2004  156507 255201 527766 113792 114344 103551 113792 114344 103551 0.334769 0
19 2005  110516 235874 489162 119234 121148 108503 119234 121148 108503 0.381864 0
19 2006  111165 255860 474434 128711 120519 117127 128711 120519 117127 0.365578 0
19 2007  191315 237283 413261 106333 88886 96763.1 106333 88886 96763.1 0.30358 0
19 2008  105830 226937 391036 129887 116791 118197 129887 116791 118197 0.450655 0
19 2009  154248 217013 367642 114519 113473 104213 114519 113473 104213 0.46557 0
19 2010  145579 203653 380883 104723 118393 95297.9 104723 118393 95297.9 0.480872 0
19 2011  109651 158538 318100 102008 94295.4 92827.5 102008 94295.4 92827.5 0.453513 0
19 2012  129713 142372 299346 87049.1 79423.3 79214.6 87049.1 79423.3 79214.6 0.418353 0
19 2013  193053 143672 299849 87269.8 75129.1 79415.5 87269.8 75129.1 79415.5 0.381171 0
19 2014  183079 159000 311743 82171.6 83058.2 74776.2 82171.6 83058.2 74776.2 0.385689 0
19 2015  108267 162338 320518 81446.6 84102.4 74116.4 81446.6 84102.4 74116.4 0.404756 0
19 2016  95474.4 150991 336156 77671.3 84012.1 70680.9 77671.3 84012.1 70680.9 0.402035 0
19 2017  85804 165417 359979 94585.1 110533 86072.4 94585.1 110533 86072.4 0.477199 0
19 2018  103427 160351 318431 95446.2 103833 86856.1 95446.2 103833 86856.1 0.472224 0
19 2019  147402 165907 300981 96645.8 102647 87947.7 96645.8 102647 87947.7 0.484428 0
19 2020  179438 153791 276159 76819.8 71717.6 69906.1 76819.8 71717.6 69906.1 0.362998 0
19 2021  178297 146926 275707 50950.7 49837.7 46365.1 50950.7 49837.7 46365.1 0.257035 0
19 2022  177916 162978 327912 53805.5 55889.9 48963 53805.5 55889.9 48963 0.247174 0
19 2023  NA 184809 NA NA NA NA NA NA NA NA NA
20 1974  4.7709e+06 4.98406e+06 5.636e+06 604750 594802 220247 604750 594802 220247 0.123059 0
20 1975  4.47928e+06 4.80534e+06 5.59193e+06 780518 779746 466992 780518 779746 466992 0.163303 0
20 1976  2.99217e+06 4.59869e+06 5.46468e+06 826864 804528 205545 826864 804528 205545 0.184808 0
20 1977  763473 4.43347e+06 5.20457e+06 619776 606079 109430 619776 606079 109430 0.144482 0
20 1978  2.53036e+06 4.32683e+06 4.83672e+06 735619 733726 130770 735619 733726 130770 0.182389 0
20 1979  4.71959e+06 3.81547e+06 4.20872e+06 840578 808981 239951 840578 808981 239951 0.225095 0
20 1980  5.26748e+06 2.75284e+06 3.31245e+06 733063 716082 246183 733063 716082 246183 0.238137 0
20 1981  6.42209e+06 2.51311e+06 3.3215e+06 750656 670213 257298 750656 670213 257298 0.247325 0
20 1982  1.74444e+06 2.51172e+06 3.46528e+06 716385 649909 262855 716385 649909 262855 0.247039 0
20 1983  1.26379e+06 2.66709e+06 3.44967e+06 671927 550256 250657 671927 550256 250657 0.211604 0
20 1984  6.10753e+06 2.67915e+06 3.0852e+06 633027 582005 256929 633027 582005 256929 0.218423 0
20 1985  2.84557e+06 2.56429e+06 3.15193e+06 609877 592288 244303 609877 592288 244303 0.194142 0
20 1986  3.37459e+06 2.63435e+06 3.34417e+06 600246 548152 263876 600246 548152 263876 0.182045 0
20 1987  4.82413e+06 2.65808e+06 3.24178e+06 654429 602912 287221 654429 602912 287221 0.198556 0
20 1988  3.11929e+06 2.65009e+06 3.36403e+06 677317 679254 295331 677317 679254 295331 0.216631 0
20 1989  4.08028e+06 2.5297e+06 3.27286e+06 582714 564648 255824 582714 564648 255824 0.184864 0
20 1990  3.04375e+06 2.69314e+06 3.32812e+06 624046 611523 271781 624046 611523 271781 0.199602 0
20 1991  3.33135e+06 2.81476e+06 3.43561e+06 674986 738957 296164 674986 738957 296164 0.238496 0
20 1992  4.04763e+06 2.77665e+06 3.27499e+06 758475 828988 332009 758475 828988 332009 0.277809 0
20 1993  4.55004e+06 2.64597e+06 3.19254e+06 823385 835291 360218 823385 835291 360218 0.315328 0
20 1994  3.83182e+06 2.55976e+06 3.13169e+06 817922 874388 357445 817922 874388 357445 0.341603 0
20 1995  3.45115e+06 2.56437e+06 3.1529e+06 755210 772919 331225 755210 772919 331225 0.32448 0
20 1996  3.41653e+06 2.43634e+06 2.95341e+06 561267 558651 244597 561267 558651 244597 0.240539 0
20 1997  2.8012e+06 2.46008e+06 2.9603e+06 570291 543743 248053 570291 543743 248053 0.234569 0
20 1998  2.8648e+06 2.44823e+06 2.85836e+06 662343 619832 263275 662343 619832 263275 0.266639 0
20 1999  3.26558e+06 2.38692e+06 2.78426e+06 636297 631075 253018 636297 631075 253018 0.273537 0
20 2000  1.96392e+06 2.2503e+06 2.64119e+06 736472 709670 292978 736472 709670 292978 0.326474 0
20 2001  4.25938e+06 2.0917e+06 2.42681e+06 735748 727852 315687 735748 727852 315687 0.36796 0
20 2002  5.78315e+06 1.80128e+06 2.19167e+06 770238 771064 311527 770238 771064 311527 0.441471 0
20 2003  3.66086e+06 1.80132e+06 2.39854e+06 678030 725232 268113 678030 725232 268113 0.424164 0
20 2004  5.03841e+06 2.14932e+06 2.6215e+06 684412 607634 274417 684412 607634 274417 0.448948 0
20 2005  8.15076e+06 2.08154e+06 2.66447e+06 549854 464571 209035 549854 464571 209035 0.320832 0
20 2006  9.67887e+06 2.33789e+06 3.24712e+06 478373 445552 176491 478373 445552 176491 0.261007 0
20 2007  8.39216e+06 2.84552e+06 4.1393e+06 588318 617465 205685 588318 617465 205685 0.294286 0
20 2008  8.29582e+06 3.41127e+06 4.80098e+06 622041 691147 211552 622041 691147 211552 0.262991 0
20 2009  7.51675e+06 4.00939e+06 5.28189e+06 738620 739549 243763 738620 739549 243763 0.239768 0
20 2010  1.09043e+07 4.54586e+06 5.54879e+06 879073 808925 246258 879073 808925 246258 0.22152 0
20 2011  1.07798e+07 5.27491e+06 6.48482e+06 950185 873505 256746 950185 873505 256746 0.20639 0
20 2012  6.77897e+06 5.43827e+06 6.92161e+06 900343 854741 234469 900343 854741 234469 0.181087 0
20 2013  5.30387e+06 5.80749e+06 6.90473e+06 939365 927969 226080 939365 927969 226080 0.180153 0
20 2014  6.26536e+06 5.92689e+06 6.73896e+06 1.40348e+06 1.24883e+06 323234 1.40348e+06 1.24883e+06 323234 0.227282 0
20 2015  2.82381e+06 6.01351e+06 6.67892e+06 1.22245e+06 1.157e+06 269730 1.22245e+06 1.157e+06 269730 0.210267 0
20 2016  5.20796e+06 5.7108e+06 6.32728e+06 1.10266e+06 1.06115e+06 265663 1.10266e+06 1.06115e+06 265663 0.197487 0
20 2017  3.6107e+06 4.99228e+06 5.56077e+06 1.15921e+06 1.14902e+06 255887 1.15921e+06 1.14902e+06 255887 0.217057 0
20 2018  3.17243e+06 4.52059e+06 5.2736e+06 1.02296e+06 996445 215939 1.02296e+06 996445 215939 0.201841 0
20 2019  5.40668e+06 4.20883e+06 4.76585e+06 839839 819410 168765 839839 819410 168765 0.179409 0
20 2020  6.21554e+06 4.01084e+06 4.6477e+06 1.0395e+06 946574 209122 1.0395e+06 946574 209122 0.227823 0
20 2021  2.96208e+06 3.85073e+06 4.65527e+06 1.08167e+06 1.03864e+06 217715 1.08167e+06 1.03864e+06 217715 0.276406 0
20 2022  4.1673e+06 3.70803e+06 4.35764e+06 1.04695e+06 933260 210161 1.04695e+06 933260 210161 0.294177 0
20 2023  NA 3.3933e+06 NA NA NA NA NA NA NA NA NA
21 1974  9.60226e+06 232004 275344 266013 218564 266013 266013 218564 266013 0.69401 102205
21 1975  4.10259e+06 161782 206812 253937 229007 253937 253937 229007 253937 1.16748 57996.4
21 1976  2.38425e+06 91004.1 110601 159255 84776.1 159255 159255 84776.1 159255 0.685815 36108.6
21 1977  1.72404e+06 69016.1 81374.9 39314.4 17750.2 39314.4 39314.4 17750.2 39314.4 0.162061 32462.4
21 1978  1.27791e+06 83164.1 96782.9 0 0 0 0 0 0 0 35241.3
21 1979  4.42425e+06 114110 128528 0 0 0 0 0 0 0 51964.9
21 1980  1.4533e+07 146851 181017 73449.9 32623.9 73449.9 73449.9 32623.9 73449.9 0.103005 118224
21 1981  2.12881e+07 217625 312949 208745 85538.3 208745 208745 85538.3 208745 0.152944 249270
21 1982  2.9736e+07 375712 514670 277070 121701 277070 277070 121701 277070 0.131982 354605
21 1983  2.73476e+07 632827 837740 430216 316021 430216 430216 316021 430216 0.301393 390344
21 1984  2.94785e+07 948410 1.17135e+06 460933 616684 460933 460933 616684 460933 0.479456 403498
21 1985  4.34092e+07 1.03023e+06 1.28027e+06 659339 734986 659339 659339 734986 659339 0.544241 474267
21 1986  4.76742e+07 980128 1.25685e+06 752731 674563 752731 752731 674563 752731 0.464133 510961
21 1987  3.66219e+07 1.09696e+06 1.41722e+06 1.00873e+06 703778 1.00873e+06 1.00873e+06 703778 1.00873e+06 0.414054 538093
21 1988  2.31577e+07 1.36676e+06 1.6539e+06 1.14087e+06 729950 1.14087e+06 1.14087e+06 729950 1.14087e+06 0.394576 501261
21 1989  1.90547e+07 1.42655e+06 1.64603e+06 910318 630067 910318 910318 630067 910318 0.338662 399846
21 1990  2.01525e+07 1.49768e+06 1.62589e+06 739056 574714 739056 739056 574714 739056 0.324749 370183
21 1991  1.84651e+07 1.37476e+06 1.50863e+06 685045 591925 685045 685045 591925 685045 0.368533 313589
21 1992  2.90682e+07 1.13309e+06 1.361e+06 764432 707303 764432 764432 707303 764432 0.503265 331740
21 1993  3.0119e+07 795195 1.15618e+06 687902 723754 687902 687902 723754 687902 0.654384 343973
21 1994  2.38839e+07 792621 1.03081e+06 597208 618898 597208 597208 618898 597208 0.590375 322434
21 1995  2.57073e+07 761461 1.00143e+06 595417 606458 595417 595417 606458 595417 0.610316 377514
21 1996  2.68813e+07 708152 924503 274372 265608 274372 274372 265608 274372 0.247384 390088
21 1997  1.72418e+07 826057 1.09504e+06 264056 270763 264056 264056 270763 264056 0.23492 404510
