Species.n Year Quarter Age    N west consum
15 2020 3  6 6311.8 1.9887 2.296
15 2020 3  7 3695.4 3.0664 3.281
15 2020 3  8 3312.8 5.3158 5.167
15 2020 3  9 241.6 10.6628 9.177
1 2020 4  0 0 -1 0
1 2020 4  1 801 5 34.42
2 2020 4  0 0 -1 0
2 2020 4  1 1436 5 32.148
3 2020 4  0 0 -1 0
3 2020 4  1 471 5 62.3
4 2020 4  0 0 -1 0
4 2020 4  1 323 5 21.865
5 2020 4  0 0 -1 0
5 2020 4  1 307 5 48.95
6 2020 4  0 0 -1 0
6 2020 4  1 250 5 84.2
7 2020 4  0 0 -1 0
7 2020 4  1 63 5 14.95
8 2020 4  0 0 -1 0
8 2020 4  1 189 5 20.116
9 2020 4  0 -1 -1 0
9 2020 4  1 7208 0.0301 0.053
9 2020 4  2 13276 0.1349 0.128
9 2020 4  3 59115 0.5848 0.306
10 2020 4  0 -1 -1 0
10 2020 4  1 10472.5 0.0042 0.009
10 2020 4  2 990349 0.0435 0.053
10 2020 4  3 2.01387e+06 0.1242 0.119
10 2020 4  4 222028 0.3472 0.262
11 2020 4  0 -1 -1 0
11 2020 4  1 75951 0.1607 0.237
11 2020 4  2 51782 0.2556 0.383
11 2020 4  3 11307 0.3724 0.566
12 2020 4  0 -1 -1 0
12 2020 4  1 259016 0.0133 0.018
12 2020 4  2 281414 0.0379 0.053
12 2020 4  3 305700 0.0831 0.12
12 2020 4  4 322040 0.1551 0.228
12 2020 4  5 280805 0.2557 0.383
12 2020 4  6 64011 0.3727 0.566
13 2020 4  0 0 -1 0
13 2020 4  1 107 10 708.882
14 2020 4  0 0 -1 0
14 2020 4  1 224 10 219
15 2020 4  0 -1 -1 0
15 2020 4  1 8510.4 0.1463 0.351
15 2020 4  2 8992.2 0.239 0.511
15 2020 4  3 8685.8 0.3761 0.722
15 2020 4  4 10737.2 0.6566 1.107
15 2020 4  5 7893.6 1.1973 1.753
15 2020 4  6 5042 1.9851 2.582
15 2020 4  7 2951.8 3.0651 3.601
15 2020 4  8 2614.4 5.3292 5.5
15 2020 4  9 193.6 10.6709 9.36
