"year","species","species.n","age","quarter","sub_area","WSEA","N"
1981,"FUL",1,6,2,1,-1,0
1981,"FUL",1,7,2,1,-1,0
1981,"FUL",1,8,2,1,-1,0
1981,"FUL",1,9,2,1,-1,0
1981,"FUL",1,10,2,1,-1,0
1981,"FUL",1,0,3,1,-1,0
1981,"FUL",1,1,3,1,5,2492000
1981,"FUL",1,2,3,1,-1,0
1981,"FUL",1,3,3,1,-1,0
1981,"FUL",1,4,3,1,-1,0
1981,"FUL",1,5,3,1,-1,0
1981,"FUL",1,6,3,1,-1,0
1981,"FUL",1,7,3,1,-1,0
1981,"FUL",1,8,3,1,-1,0
1981,"FUL",1,9,3,1,-1,0
1981,"FUL",1,10,3,1,-1,0
1981,"FUL",1,0,4,1,-1,0
1981,"FUL",1,1,4,1,5,2328000
1981,"FUL",1,2,4,1,-1,0
1981,"FUL",1,3,4,1,-1,0
1981,"FUL",1,4,4,1,-1,0
1981,"FUL",1,5,4,1,-1,0
1981,"FUL",1,6,4,1,-1,0
1981,"FUL",1,7,4,1,-1,0
1981,"FUL",1,8,4,1,-1,0
1981,"FUL",1,9,4,1,-1,0
1981,"FUL",1,10,4,1,-1,0
1982,"FUL",1,0,1,1,-1,0
1982,"FUL",1,1,1,1,5,1528000
1982,"FUL",1,2,1,1,-1,0
1982,"FUL",1,3,1,1,-1,0
1982,"FUL",1,4,1,1,-1,0
1982,"FUL",1,5,1,1,-1,0
1982,"FUL",1,6,1,1,-1,0
1982,"FUL",1,7,1,1,-1,0
1982,"FUL",1,8,1,1,-1,0
1982,"FUL",1,9,1,1,-1,0
1982,"FUL",1,10,1,1,-1,0
1982,"FUL",1,0,2,1,-1,0
1982,"FUL",1,1,2,1,5,2002000
1982,"FUL",1,2,2,1,-1,0
1982,"FUL",1,3,2,1,-1,0
1982,"FUL",1,4,2,1,-1,0
1982,"FUL",1,5,2,1,-1,0
1982,"FUL",1,6,2,1,-1,0
1982,"FUL",1,7,2,1,-1,0
1982,"FUL",1,8,2,1,-1,0
1982,"FUL",1,9,2,1,-1,0
1982,"FUL",1,10,2,1,-1,0
1982,"FUL",1,0,3,1,-1,0
1982,"FUL",1,1,3,1,5,2504000
1982,"FUL",1,2,3,1,-1,0
1982,"FUL",1,3,3,1,-1,0
1982,"FUL",1,4,3,1,-1,0
1982,"FUL",1,5,3,1,-1,0
1982,"FUL",1,6,3,1,-1,0
1982,"FUL",1,7,3,1,-1,0
1982,"FUL",1,8,3,1,-1,0
1982,"FUL",1,9,3,1,-1,0
1982,"FUL",1,10,3,1,-1,0
1982,"FUL",1,0,4,1,-1,0
1982,"FUL",1,1,4,1,5,2339000
1982,"FUL",1,2,4,1,-1,0
1982,"FUL",1,3,4,1,-1,0
1982,"FUL",1,4,4,1,-1,0
1982,"FUL",1,5,4,1,-1,0
1982,"FUL",1,6,4,1,-1,0
1982,"FUL",1,7,4,1,-1,0
1982,"FUL",1,8,4,1,-1,0
1982,"FUL",1,9,4,1,-1,0
1982,"FUL",1,10,4,1,-1,0
1983,"FUL",1,0,1,1,-1,0
1983,"FUL",1,1,1,1,5,1533000
1983,"FUL",1,2,1,1,-1,0
1983,"FUL",1,3,1,1,-1,0
1983,"FUL",1,4,1,1,-1,0
1983,"FUL",1,5,1,1,-1,0
1983,"FUL",1,6,1,1,-1,0
1983,"FUL",1,7,1,1,-1,0
1983,"FUL",1,8,1,1,-1,0
1983,"FUL",1,9,1,1,-1,0
1983,"FUL",1,10,1,1,-1,0
1983,"FUL",1,0,2,1,-1,0
1983,"FUL",1,1,2,1,5,2010000
1983,"FUL",1,2,2,1,-1,0
1983,"FUL",1,3,2,1,-1,0
1983,"FUL",1,4,2,1,-1,0
1983,"FUL",1,5,2,1,-1,0
1983,"FUL",1,6,2,1,-1,0
1983,"FUL",1,7,2,1,-1,0
1983,"FUL",1,8,2,1,-1,0
1983,"FUL",1,9,2,1,-1,0
1983,"FUL",1,10,2,1,-1,0
1983,"FUL",1,0,3,1,-1,0
1983,"FUL",1,1,3,1,5,2513000
1983,"FUL",1,2,3,1,-1,0
1983,"FUL",1,3,3,1,-1,0
1983,"FUL",1,4,3,1,-1,0
1983,"FUL",1,5,3,1,-1,0
1983,"FUL",1,6,3,1,-1,0
1983,"FUL",1,7,3,1,-1,0
1983,"FUL",1,8,3,1,-1,0
1983,"FUL",1,9,3,1,-1,0
1983,"FUL",1,10,3,1,-1,0
1983,"FUL",1,0,4,1,-1,0
1983,"FUL",1,1,4,1,5,2347000
1983,"FUL",1,2,4,1,-1,0
1983,"FUL",1,3,4,1,-1,0
1983,"FUL",1,4,4,1,-1,0
1983,"FUL",1,5,4,1,-1,0
1983,"FUL",1,6,4,1,-1,0
1983,"FUL",1,7,4,1,-1,0
1983,"FUL",1,8,4,1,-1,0
1983,"FUL",1,9,4,1,-1,0
1983,"FUL",1,10,4,1,-1,0
1984,"FUL",1,0,1,1,-1,0
1984,"FUL",1,1,1,1,5,1538000
1984,"FUL",1,2,1,1,-1,0
1984,"FUL",1,3,1,1,-1,0
1984,"FUL",1,4,1,1,-1,0
1984,"FUL",1,5,1,1,-1,0
1984,"FUL",1,6,1,1,-1,0
1984,"FUL",1,7,1,1,-1,0
1984,"FUL",1,8,1,1,-1,0
1984,"FUL",1,9,1,1,-1,0
1984,"FUL",1,10,1,1,-1,0
1984,"FUL",1,0,2,1,-1,0
1984,"FUL",1,1,2,1,5,2016000
1984,"FUL",1,2,2,1,-1,0
1984,"FUL",1,3,2,1,-1,0
1984,"FUL",1,4,2,1,-1,0
1984,"FUL",1,5,2,1,-1,0
1984,"FUL",1,6,2,1,-1,0
1984,"FUL",1,7,2,1,-1,0
1984,"FUL",1,8,2,1,-1,0
1984,"FUL",1,9,2,1,-1,0
1984,"FUL",1,10,2,1,-1,0
1984,"FUL",1,0,3,1,-1,0
1984,"FUL",1,1,3,1,5,2521000
1984,"FUL",1,2,3,1,-1,0
1984,"FUL",1,3,3,1,-1,0
1984,"FUL",1,4,3,1,-1,0
1984,"FUL",1,5,3,1,-1,0
1984,"FUL",1,6,3,1,-1,0
1984,"FUL",1,7,3,1,-1,0
1984,"FUL",1,8,3,1,-1,0
1984,"FUL",1,9,3,1,-1,0
1984,"FUL",1,10,3,1,-1,0
1984,"FUL",1,0,4,1,-1,0
1984,"FUL",1,1,4,1,5,2355000
1984,"FUL",1,2,4,1,-1,0
1984,"FUL",1,3,4,1,-1,0
1984,"FUL",1,4,4,1,-1,0
1984,"FUL",1,5,4,1,-1,0
1984,"FUL",1,6,4,1,-1,0
1984,"FUL",1,7,4,1,-1,0
1984,"FUL",1,8,4,1,-1,0
1984,"FUL",1,9,4,1,-1,0
1984,"FUL",1,10,4,1,-1,0
1985,"FUL",1,0,1,1,-1,0
1985,"FUL",1,1,1,1,5,1542000
1985,"FUL",1,2,1,1,-1,0
1985,"FUL",1,3,1,1,-1,0
1985,"FUL",1,4,1,1,-1,0
1985,"FUL",1,5,1,1,-1,0
1985,"FUL",1,6,1,1,-1,0
1985,"FUL",1,7,1,1,-1,0
1985,"FUL",1,8,1,1,-1,0
1985,"FUL",1,9,1,1,-1,0
1985,"FUL",1,10,1,1,-1,0
1985,"FUL",1,0,2,1,-1,0
1985,"FUL",1,1,2,1,5,2021000
1985,"FUL",1,2,2,1,-1,0
1985,"FUL",1,3,2,1,-1,0
1985,"FUL",1,4,2,1,-1,0
1985,"FUL",1,5,2,1,-1,0
1985,"FUL",1,6,2,1,-1,0
1985,"FUL",1,7,2,1,-1,0
1985,"FUL",1,8,2,1,-1,0
1985,"FUL",1,9,2,1,-1,0
1985,"FUL",1,10,2,1,-1,0
1985,"FUL",1,0,3,1,-1,0
1985,"FUL",1,1,3,1,5,2527000
1985,"FUL",1,2,3,1,-1,0
1985,"FUL",1,3,3,1,-1,0
1985,"FUL",1,4,3,1,-1,0
1985,"FUL",1,5,3,1,-1,0
1985,"FUL",1,6,3,1,-1,0
1985,"FUL",1,7,3,1,-1,0
1985,"FUL",1,8,3,1,-1,0
1985,"FUL",1,9,3,1,-1,0
1985,"FUL",1,10,3,1,-1,0
1985,"FUL",1,0,4,1,-1,0
1985,"FUL",1,1,4,1,5,2360000
1985,"FUL",1,2,4,1,-1,0
1985,"FUL",1,3,4,1,-1,0
1985,"FUL",1,4,4,1,-1,0
1985,"FUL",1,5,4,1,-1,0
1985,"FUL",1,6,4,1,-1,0
1985,"FUL",1,7,4,1,-1,0
1985,"FUL",1,8,4,1,-1,0
1985,"FUL",1,9,4,1,-1,0
1985,"FUL",1,10,4,1,-1,0
1986,"FUL",1,0,1,1,-1,0
1986,"FUL",1,1,1,1,5,1535000
1986,"FUL",1,2,1,1,-1,0
1986,"FUL",1,3,1,1,-1,0
1986,"FUL",1,4,1,1,-1,0
1986,"FUL",1,5,1,1,-1,0
1986,"FUL",1,6,1,1,-1,0
1986,"FUL",1,7,1,1,-1,0
1986,"FUL",1,8,1,1,-1,0
1986,"FUL",1,9,1,1,-1,0
1986,"FUL",1,10,1,1,-1,0
1986,"FUL",1,0,2,1,-1,0
1986,"FUL",1,1,2,1,5,2013000
1986,"FUL",1,2,2,1,-1,0
1986,"FUL",1,3,2,1,-1,0
1986,"FUL",1,4,2,1,-1,0
1986,"FUL",1,5,2,1,-1,0
1986,"FUL",1,6,2,1,-1,0
1986,"FUL",1,7,2,1,-1,0
1986,"FUL",1,8,2,1,-1,0
1986,"FUL",1,9,2,1,-1,0
1986,"FUL",1,10,2,1,-1,0
1986,"FUL",1,0,3,1,-1,0
1986,"FUL",1,1,3,1,5,2516000
1986,"FUL",1,2,3,1,-1,0
1986,"FUL",1,3,3,1,-1,0
1986,"FUL",1,4,3,1,-1,0
1986,"FUL",1,5,3,1,-1,0
1986,"FUL",1,6,3,1,-1,0
1986,"FUL",1,7,3,1,-1,0
1986,"FUL",1,8,3,1,-1,0
1986,"FUL",1,9,3,1,-1,0
1986,"FUL",1,10,3,1,-1,0
1986,"FUL",1,0,4,1,-1,0
1986,"FUL",1,1,4,1,5,2350000
1986,"FUL",1,2,4,1,-1,0
1986,"FUL",1,3,4,1,-1,0
1986,"FUL",1,4,4,1,-1,0
1986,"FUL",1,5,4,1,-1,0
1986,"FUL",1,6,4,1,-1,0
1986,"FUL",1,7,4,1,-1,0
1986,"FUL",1,8,4,1,-1,0
1986,"FUL",1,9,4,1,-1,0
1986,"FUL",1,10,4,1,-1,0
1987,"FUL",1,0,1,1,-1,0
1987,"FUL",1,1,1,1,5,1527000
1987,"FUL",1,2,1,1,-1,0
1987,"FUL",1,3,1,1,-1,0
1987,"FUL",1,4,1,1,-1,0
1987,"FUL",1,5,1,1,-1,0
1987,"FUL",1,6,1,1,-1,0
1987,"FUL",1,7,1,1,-1,0
1987,"FUL",1,8,1,1,-1,0
1987,"FUL",1,9,1,1,-1,0
1987,"FUL",1,10,1,1,-1,0
1987,"FUL",1,0,2,1,-1,0
1987,"FUL",1,1,2,1,5,2002000
1987,"FUL",1,2,2,1,-1,0
1987,"FUL",1,3,2,1,-1,0
1987,"FUL",1,4,2,1,-1,0
1987,"FUL",1,5,2,1,-1,0
1987,"FUL",1,6,2,1,-1,0
1987,"FUL",1,7,2,1,-1,0
1987,"FUL",1,8,2,1,-1,0
1987,"FUL",1,9,2,1,-1,0
1987,"FUL",1,10,2,1,-1,0
1987,"FUL",1,0,3,1,-1,0
1987,"FUL",1,1,3,1,5,2502000
1987,"FUL",1,2,3,1,-1,0
1987,"FUL",1,3,3,1,-1,0
1987,"FUL",1,4,3,1,-1,0
1987,"FUL",1,5,3,1,-1,0
1987,"FUL",1,6,3,1,-1,0
1987,"FUL",1,7,3,1,-1,0
1987,"FUL",1,8,3,1,-1,0
1987,"FUL",1,9,3,1,-1,0
1987,"FUL",1,10,3,1,-1,0
1987,"FUL",1,0,4,1,-1,0
1987,"FUL",1,1,4,1,5,2335000
1987,"FUL",1,2,4,1,-1,0
1987,"FUL",1,3,4,1,-1,0
1987,"FUL",1,4,4,1,-1,0
1987,"FUL",1,5,4,1,-1,0
1987,"FUL",1,6,4,1,-1,0
1987,"FUL",1,7,4,1,-1,0
1987,"FUL",1,8,4,1,-1,0
1987,"FUL",1,9,4,1,-1,0
1987,"FUL",1,10,4,1,-1,0
1988,"FUL",1,0,1,1,-1,0
1988,"FUL",1,1,1,1,5,1514000
1988,"FUL",1,2,1,1,-1,0
1988,"FUL",1,3,1,1,-1,0
1988,"FUL",1,4,1,1,-1,0
1988,"FUL",1,5,1,1,-1,0
1988,"FUL",1,6,1,1,-1,0
1988,"FUL",1,7,1,1,-1,0
1988,"FUL",1,8,1,1,-1,0
1988,"FUL",1,9,1,1,-1,0
1988,"FUL",1,10,1,1,-1,0
1988,"FUL",1,0,2,1,-1,0
1988,"FUL",1,1,2,1,5,1986000
1988,"FUL",1,2,2,1,-1,0
1988,"FUL",1,3,2,1,-1,0
1988,"FUL",1,4,2,1,-1,0
1988,"FUL",1,5,2,1,-1,0
1988,"FUL",1,6,2,1,-1,0
1988,"FUL",1,7,2,1,-1,0
1988,"FUL",1,8,2,1,-1,0
1988,"FUL",1,9,2,1,-1,0
1988,"FUL",1,10,2,1,-1,0
1988,"FUL",1,0,3,1,-1,0
1988,"FUL",1,1,3,1,5,2481000
1988,"FUL",1,2,3,1,-1,0
1988,"FUL",1,3,3,1,-1,0
1988,"FUL",1,4,3,1,-1,0
1988,"FUL",1,5,3,1,-1,0
1988,"FUL",1,6,3,1,-1,0
1988,"FUL",1,7,3,1,-1,0
1988,"FUL",1,8,3,1,-1,0
1988,"FUL",1,9,3,1,-1,0
1988,"FUL",1,10,3,1,-1,0
1988,"FUL",1,0,4,1,-1,0
1988,"FUL",1,1,4,1,5,2313000
1988,"FUL",1,2,4,1,-1,0
1988,"FUL",1,3,4,1,-1,0
1988,"FUL",1,4,4,1,-1,0
1988,"FUL",1,5,4,1,-1,0
1988,"FUL",1,6,4,1,-1,0
1988,"FUL",1,7,4,1,-1,0
1988,"FUL",1,8,4,1,-1,0
1988,"FUL",1,9,4,1,-1,0
1988,"FUL",1,10,4,1,-1,0
1989,"FUL",1,0,1,1,-1,0
