Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1981 1 1 6 0 15 500 500 5 22 10 163 0.04236 0.04236 0.008472 50 0.199973 0.0362543 1 1 1 1 1 6 6 38 10
1981 1 1 6 0 15 500 500 5 22 11 221 0.10772 0.10772 0.021544 50 0 0.104134 0 1 1 1 1 6 6 38 11
1981 1 1 6 0 15 500 500 5 22 12 263 0.18213 0.18213 0.036426 50 0 0.0570486 0 1 1 1 1 6 6 38 12
1981 1 1 6 0 15 500 500 5 22 13 302 0.27808 0.27808 0.055616 50 0 0.00253609 0 1 1 1 1 6 6 38 13
1981 1 1 7 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.10036 0.10036 1 1 1 1 1 7 7 39 0
1981 1 1 7 0 15 500 500 5 22 8 87 0.00594 0.00594 0.001188 50 0.187578 0.0659573 1 1 1 1 1 7 7 40 8
1981 1 1 7 0 15 500 500 5 22 9 100 0.00914 0.00914 0.001828 50 0 0.121621 0 1 1 1 1 7 7 40 9
1981 1 1 7 0 15 500 500 5 23 8 86 0.00186 0.00186 0.000372 50 0.356031 0.0331149 1 1 1 1 1 7 7 41 8
1981 1 1 7 0 15 500 500 5 23 9 115 0.00482 0.00482 0.000964 50 0 0.26172 0 1 1 1 1 7 7 41 9
1981 1 1 7 0 15 500 500 5 23 10 157 0.01243 0.01243 0.002486 50 0 0.0611963 0 1 1 1 1 7 7 41 10
1981 1 1 7 0 15 500 500 5 24 8 86 0.00186 0.00186 0.000372 50 0.356031 0.0331149 1 1 1 1 1 7 7 42 8
1981 1 1 7 0 15 500 500 5 24 9 115 0.00482 0.00482 0.000964 50 0 0.26172 0 1 1 1 1 7 7 42 9
1981 1 1 7 0 15 500 500 5 24 10 157 0.01243 0.01243 0.002486 50 0 0.0611963 0 1 1 1 1 7 7 42 10
1981 1 1 8 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.180978 0.180978 1 1 1 1 1 8 8 43 0
1981 1 1 8 0 15 500 500 5 19 9 131 0.01824 0.01824 0.003648 50 0.0157343 0.0032236 1 1 1 1 1 8 8 44 9
1981 1 1 8 0 15 500 500 5 19 10 166 0.03722 0.03722 0.007444 50 0 0.0101435 0 1 1 1 1 8 8 44 10
1981 1 1 8 0 15 500 500 5 19 11 200 0.06302 0.06302 0.012604 50 0 0.0023672 0 1 1 1 1 8 8 44 11
1981 1 1 8 0 15 500 500 5 22 8 87 0.00594 0.00594 0.001188 50 0.537726 0.189078 1 1 1 1 1 8 8 45 8
1981 1 1 8 0 15 500 500 5 22 9 100 0.00914 0.00914 0.001828 50 0 0.348648 0 1 1 1 1 8 8 45 9
1981 1 1 8 0 15 500 500 5 23 8 70 0.00095 0.00095 0.00019 50 0.0514259 0.0514259 1 1 1 1 1 8 8 46 8
