Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
2 2003  1.38372e+07 493100 736186 112255 115205 112255 112255 115205 112255 0.34181 84901.2
2 2004  9.65561e+06 410642 567556 93370 100599 93370 93370 100599 93370 0.287409 73610.6
2 2005  1.78708e+07 431602 541079 90586 92127.9 90586 90586 92127.9 90586 0.248922 93764.2
2 2006  1.46269e+07 527280 693709 109545 110921 109545 109545 110921 109545 0.258078 107976
2 2007  2.71492e+07 546647 694562 114606 118525 114606 114606 118525 114606 0.248693 121261
2 2008  1.95812e+07 569662 796237 125342 126828 125342 125342 126828 125342 0.269246 144298
2 2009  1.52817e+07 615876 818516 131229 131271 131229 131229 131271 131229 0.279042 148106
2 2010  9.56305e+06 631508 789395 135658 138165 135658 135658 138165 135658 0.290191 142754
2 2011  1.92172e+07 603640 716448 115769 116477 115769 115769 116477 115769 0.244252 128594
2 2012  2.03398e+07 551500 697414 97498.6 99551.1 97498.6 97498.6 99551.1 97498.6 0.179264 116597
2 2013  1.5059e+07 616301 791379 100558 94099.1 100558 100558 94099.1 100558 0.165765 115317
2 2014  3.81003e+07 660482 810598 129420 118356 129420 129420 118356 129420 0.200578 126971
2 2015  1.30668e+07 685334 953144 174257 175616 174257 174257 175616 174257 0.294377 121116
2 2016  1.18242e+07 619215 763059 190496 202318 190496 190496 202318 190496 0.385499 93910.9
2 2017  1.45197e+07 610048 727615 200422 210458 200422 200422 210458 200422 0.411134 69578.9
2 2018  8.83854e+06 626780 751412 244048 229485 244048 244048 229485 244048 0.463546 54479.6
2 2019  2.26178e+07 530318 631916 202023 199022 202023 202023 199022 202023 0.456982 50419.9
2 2020  1.21911e+07 455365 614184 175532 166544 175532 175532 166544 175532 0.415836 51313.3
2 2021  2.18527e+07 477033 613514 128966 122372 128966 128966 122372 128966 0.315591 51481.1
2 2022  NA 517179 NA NA NA NA NA NA NA NA NA
3 1974  4.26823e+07 1.47346e+06 1.82927e+06 262216 255898 262216 262216 255898 262216 0.255972 559281
3 1975  3.32055e+08 1.22161e+06 1.3435e+06 212175 214539 212175 212175 214539 212175 0.250515 553049
3 1976  1.00512e+08 934498 1.73759e+06 142798 136637 142798 142798 136637 142798 0.176498 621038
3 1977  5.10876e+07 1.66241e+06 1.99345e+06 166497 213304 166497 166497 213304 166497 0.203286 652212
3 1978  1.29494e+08 1.2915e+06 1.42196e+06 111860 108542 111860 111860 108542 111860 0.123031 711206
3 1979  8.09395e+07 795965 1.05406e+06 66753.7 64135.5 66753.7 66753.7 64135.5 66753.7 0.114891 618648
3 1980  2.24269e+08 546474 719414 48799.9 44800.2 48799.9 48799.9 44800.2 48799.9 0.125549 595084
3 1981  1.1949e+08 507310 999994 42977.6 31156.8 42977.6 42977.6 31156.8 42977.6 0.0923365 674063
3 1982  3.3395e+08 649575 932797 42876.2 32244.5 42876.2 42876.2 32244.5 42876.2 0.0764861 803148
3 1983  1.41756e+08 690447 1.46467e+06 26274.1 23406.3 26274.1 26274.1 23406.3 26274.1 0.0455705 835851
3 1984  1.09392e+08 1.12937e+06 1.52788e+06 42672.9 28592 42672.9 42672.9 28592 42672.9 0.0367513 625355
3 1985  3.91334e+07 1.20003e+06 1.51247e+06 58747.8 45722.4 58747.8 58747.8 45722.4 58747.8 0.0489688 462587
3 1986  7.96061e+07 1.21733e+06 1.34978e+06 66524 65059.6 66524 66524 65059.6 66524 0.0692695 366966
3 1987  2.6913e+07 1.1293e+06 1.35347e+06 87800.5 58593.8 87800.5 87800.5 58593.8 87800.5 0.066339 329268
3 1988  8.37492e+07 889168 980239 76238.2 46440.8 76238.2 76238.2 46440.8 76238.2 0.064144 274103
3 1989  8.91756e+07 822567 1.05948e+06 45857.6 43128.7 45857.6 45857.6 43128.7 45857.6 0.0604246 240295
3 1990  8.8056e+07 998763 1.28891e+06 53839.4 41568.2 53839.4 53839.4 41568.2 53839.4 0.0521841 165798
3 1991  1.293e+08 1.35238e+06 1.66421e+06 86488.2 57413.6 86488.2 86488.2 57413.6 86488.2 0.0539167 151445
3 1992  1.33252e+08 1.67484e+06 2.1143e+06 208936 192538 208936 208936 192538 208936 0.142794 213539
3 1993  8.12598e+07 1.67394e+06 2.11503e+06 131870 122650 131870 131870 122650 131870 0.0981124 287716
3 1994  3.12211e+08 1.99899e+06 2.27689e+06 264826 243294 264826 264826 243294 264826 0.161147 326396
3 1995  2.19063e+08 1.99622e+06 2.91856e+06 278270 286368 278270 278270 286368 278270 0.187638 344843
3 1996  7.38007e+07 2.38557e+06 3.095e+06 418355 374253 418355 418355 374253 418355 0.222429 263902
3 1997  2.18369e+08 2.45781e+06 2.73066e+06 511217 462263 511217 511217 462263 511217 0.257963 211601
3 1998  6.22598e+07 2.08609e+06 2.71981e+06 469680 451331 469680 469680 451331 469680 0.291811 222247
3 1999  1.38309e+08 2.07728e+06 2.31233e+06 415598 386931 415598 415598 386931 415598 0.259649 234440
3 2000  6.98357e+07 1.93704e+06 2.32371e+06 388712 412488 388712 388712 412488 388712 0.253071 273954
3 2001  8.32405e+07 1.76342e+06 1.98991e+06 339407 314149 339407 339407 314149 339407 0.216457 249926
3 2002  1.96054e+08 1.39448e+06 1.63025e+06 331904 323780 331904 331904 323780 331904 0.296396 246153
3 2003  3.38258e+08 1.25704e+06 1.78425e+06 296472 321238 296472 296472 321238 296472 0.312385 267605
3 2004  6.63146e+07 1.56366e+06 2.4837e+06 373008 437009 373008 373008 437009 373008 0.340231 298070
3 2005  1.03789e+08 1.86933e+06 2.11642e+06 397446 438924 397446 397446 438924 397446 0.323772 311593
3 2006  1.44171e+08 1.51867e+06 1.79089e+06 344385 305692 344385 344385 305692 344385 0.254944 309929
3 2007  9.9509e+07 1.28053e+06 1.6579e+06 383019 347303 383019 383019 347303 383019 0.324131 300613
3 2008  2.4424e+08 1.36294e+06 1.64539e+06 371268 343310 371268 371268 343310 371268 0.33198 338522
3 2009  7.30442e+07 1.28526e+06 1.90056e+06 401629 357930 401629 401629 357930 401629 0.33477 378254
3 2010  8.13301e+07 1.44513e+06 1.67731e+06 334173 319288 334173 334173 319288 334173 0.308854 336748
3 2011  9.44133e+07 1.11903e+06 1.32725e+06 256559 252913 256559 256559 252913 256559 0.294975 281231
3 2012  8.68487e+07 971571 1.21421e+06 226649 213649 226649 226649 213649 226649 0.260163 236026
3 2013  8.33232e+07 1.03228e+06 1.26431e+06 271410 237957 271410 271410 237957 271410 0.296272 223322
3 2014  3.02748e+08 914721 1.13197e+06 238589 233655 238589 238589 233655 238589 0.320938 267212
3 2015  1.04487e+08 995738 1.74228e+06 245999 226288 245999 245999 226288 245999 0.248135 299605
3 2016  7.85841e+07 1.48558e+06 1.80831e+06 243038 242179 243038 243038 242179 243038 0.205585 242752
3 2017  1.0058e+08 1.52765e+06 1.74804e+06 282482 312046 282482 282482 312046 282482 0.252019 187553
3 2018  6.94281e+07 1.40019e+06 1.67196e+06 302904 280918 302904 302904 280918 302904 0.246408 158264
3 2019  1.25631e+08 1.29623e+06 1.49649e+06 311490 310517 311490 311490 310517 311490 0.301363 138926
3 2020  1.08095e+08 1.20923e+06 1.54564e+06 268360 277320 268360 268360 277320 268360 0.268021 136798
3 2021  1.24082e+08 1.28547e+06 1.59505e+06 284787 258824 284787 284787 258824 284787 0.24121 132318
3 2022  NA 1.32562e+06 NA NA NA NA NA NA NA NA NA
