

Observed catches

Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         7    0.5061    0.4574    0.3635    0.4278    0.4694    0.5099    0.5100    0.5761
         8    0.5061    0.4574    0.3635    0.4278    0.4694    0.5099    0.5100    0.5761

Avg. F 3-6     0.428     0.387     0.308     0.362     0.397     0.432     0.432     0.488


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.1154    0.0942    0.1122    0.1405    0.0958    0.0740    0.0622    0.0526
         2    0.2411    0.1967    0.2344    0.2934    0.2001    0.1547    0.1299    0.1082
         3    0.3885    0.3169    0.3777    0.4729    0.3224    0.2493    0.2094    0.1608
         4    0.4957    0.4044    0.4819    0.6034    0.4114    0.3181    0.2672    0.2185
         5    0.6380    0.5204    0.6202    0.7766    0.5295    0.4093    0.3438    0.3118
         6    0.6380    0.5204    0.6202    0.7766    0.5295    0.4093    0.3438    0.3118
         7    0.6380    0.5204    0.6202    0.7766    0.5295    0.4093    0.3438    0.3118
         8    0.6380    0.5204    0.6202    0.7766    0.5295    0.4093    0.3438    0.3118

Avg. F 3-6     0.540     0.441     0.525     0.657     0.448     0.346     0.291     0.251


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0548    0.0527    0.0572    0.0592    0.0618    0.0523    0.0382    0.0350
         2    0.1127    0.1085    0.1176    0.1218    0.1272    0.1077    0.0787    0.0719
         3    0.1675    0.1612    0.1748    0.1810    0.1890    0.1600    0.1169    0.1069
         4    0.2276    0.2191    0.2375    0.2460    0.2568    0.2174    0.1589    0.1453
         5    0.3248    0.3126    0.3389    0.3510    0.3665    0.3102    0.2267    0.2073
         6    0.3248    0.3126    0.3389    0.3510    0.3665    0.3102    0.2267    0.2073
         7    0.3248    0.3126    0.3389    0.3510    0.3665    0.3102    0.2267    0.2073
         8    0.3248    0.3126    0.3389    0.3510    0.3665    0.3102    0.2267    0.2073

Avg. F 3-6     0.261     0.251     0.273     0.282     0.295     0.249     0.182     0.167


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0425    0.0621    0.0816    0.0869    0.0975    0.0962    0.0874    0.0664
         2    0.0874    0.1276    0.1678    0.1788    0.2005    0.1978    0.1798    0.1365
         3    0.1299    0.1896    0.2494    0.2657    0.2979    0.2939    0.2672    0.2028
         4    0.1766    0.2578    0.3390    0.3611    0.4049    0.3995    0.3632    0.2757
         5    0.2519    0.3678    0.4837    0.5152    0.5778    0.5701    0.5182    0.3934
         6    0.2519    0.3678    0.4837    0.5152    0.5778    0.5701    0.5182    0.3934
         7    0.2519    0.3678    0.4837    0.5152    0.5778    0.5701    0.5182    0.3934
         8    0.2519    0.3678    0.4837    0.5152    0.5778    0.5701    0.5182    0.3934

Avg. F 3-6     0.203     0.296     0.389     0.414     0.465     0.458     0.417     0.316
Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0382    0.0379    0.0264    0.0302    0.0184    0.0175    0.0194    0.0140
         2    0.1681    0.1668    0.1162    0.1332    0.0813    0.0771    0.0853    0.0616
         3    0.2493    0.2474    0.1724    0.1975    0.1205    0.1143    0.1265    0.0914
         4    0.2550    0.2530    0.1763    0.2020    0.1233    0.1168    0.1293    0.0934
         5    0.2550    0.2530    0.1763    0.2020    0.1233    0.1168    0.1293    0.0934
         6    0.2550    0.2530    0.1763    0.2020    0.1233    0.1168    0.1293    0.0934
         7    0.2550    0.2530    0.1763    0.2020    0.1233    0.1168    0.1293    0.0934

Avg. F 3-5     0.253     0.251     0.175     0.201     0.122     0.116     0.128     0.093


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0117    0.0069    0.0055    0.0073    0.0104    0.0099    0.0097    0.0091
         2    0.0514    0.0304    0.0244    0.0324    0.0458    0.0436    0.0425    0.0399
         3    0.0762    0.0450    0.0361    0.0480    0.0679    0.0646    0.0631    0.0592
         4    0.0779    0.0460    0.0370    0.0491    0.0695    0.0661    0.0645    0.0605
         5    0.0779    0.0460    0.0370    0.0491    0.0695    0.0661    0.0645    0.0605
         6    0.0779    0.0460    0.0370    0.0491    0.0695    0.0661    0.0645    0.0605
         7    0.0779    0.0460    0.0370    0.0491    0.0695    0.0661    0.0645    0.0605

Avg. F 3-5     0.077     0.046     0.037     0.049     0.069     0.066     0.064     0.060


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0078    0.0080    0.0212    0.0145    0.0240    0.0279    0.0330    0.0383
         2    0.0342    0.0353    0.0933    0.0641    0.1056    0.1228    0.1455    0.1688
         3    0.0508    0.0523    0.1383    0.0950    0.1566    0.1821    0.2157    0.2502
         4    0.0519    0.0535    0.1414    0.0971    0.1601    0.1862    0.2206    0.2559
         5    0.0519    0.0535    0.1414    0.0971    0.1601    0.1862    0.2206    0.2559
         6    0.0519    0.0535    0.1414    0.0971    0.1601    0.1862    0.2206    0.2559
         7    0.0519    0.0535    0.1414    0.0971    0.1601    0.1862    0.2206    0.2559

Avg. F 3-5     0.052     0.053     0.140     0.096     0.159     0.185     0.219     0.254


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0432    0.0385    0.0829    0.0710    0.0976    0.1027    0.1110    0.1060
         2    0.1905    0.1698    0.1842    0.1578    0.2169    0.2281    0.2467    0.2355
         3    0.2825    0.2518    0.2351    0.2014    0.2768    0.2912    0.3150    0.3006
         4    0.2889    0.2576    0.2549    0.2183    0.3001    0.3156    0.3414    0.3259
         5    0.2889    0.2576    0.2549    0.2183    0.3001    0.3156    0.3414    0.3259
         6    0.2889    0.2576    0.2549    0.2183    0.3001    0.3156    0.3414    0.3259
         7    0.2889    0.2576    0.2549    0.2183    0.3001    0.3156    0.3414    0.3259

Avg. F 3-5     0.287     0.256     0.248     0.213     0.292     0.307     0.333     0.317


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.0839    0.1069    0.1095    0.1100    0.1019    0.0978    0.0860    0.0972
         2    0.1865    0.2375    0.2433    0.2444    0.2263    0.2173    0.1911    0.2160
         3    0.2380    0.3031    0.3106    0.3120    0.2889    0.2774    0.2440    0.2757
         4    0.2580    0.3286    0.3367    0.3382    0.3132    0.3007    0.2645    0.2989
         5    0.2580    0.3286    0.3367    0.3382    0.3132    0.3007    0.2645    0.2989
         6    0.2580    0.3286    0.3367    0.3382    0.3132    0.3007    0.2645    0.2989
         7    0.2580    0.3286    0.3367    0.3382    0.3132    0.3007    0.2645    0.2989

Avg. F 3-5     0.251     0.320     0.328     0.329     0.305     0.293     0.258     0.291


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
         1    0.1061    0.0813    0.0675    0.0826    0.0806    0.0987    0.0876    0.0789
         2    0.2357    0.1807    0.1499    0.1835    0.1791    0.2192    0.1946    0.1752
         3    0.3009    0.2307    0.1914    0.2343    0.2286    0.2799    0.2485    0.2237
         4    0.3261    0.2500    0.2074    0.2540    0.2478    0.3034    0.2693    0.2425
         5    0.3261    0.2500    0.2074    0.2540    0.2478    0.3034    0.2693    0.2425
         6    0.3261    0.2500    0.2074    0.2540    0.2478    0.3034    0.2693    0.2425
         7    0.3261    0.2500    0.2074    0.2540    0.2478    0.3034    0.2693    0.2425

Avg. F 3-5     0.318     0.244     0.202     0.247     0.241     0.296     0.262     0.236

Predation mortality

Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.4128    0.3451    0.3374    0.4773    0.6773    0.7625    0.6562    0.6660
         1    0.3421    0.3863    0.3196    0.3693    0.5943    0.7745    0.7859    0.7022
         2    0.2113    0.2411    0.2066    0.2278    0.2883    0.3160    0.4219    0.4029
         3    0.1535    0.1766    0.1582    0.1734    0.2431    0.2527    0.3169    0.2937
         4    0.1338    0.1538    0.1394    0.1530    0.2229    0.2398    0.2705    0.2397
         5    0.1203    0.1391    0.1269    0.1394    0.2012    0.2263    0.2749    0.2085
         6    0.1181    0.1382    0.1254    0.1373    0.1752    0.2176    0.2263    0.2085
         7    0.1036    0.1235    0.1132    0.1220    0.1598    0.1829    0.2018    0.1759
         8    0.0737    0.0893    0.0822    0.0893    0.1286    0.1337    0.1666    0.1360




Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.6167    0.5511    0.4486    0.3972    0.3649    0.3980    0.3442    0.2526
         1    0.7192    0.6297    0.5260    0.4371    0.3913    0.4003    0.4080    0.3226
         2    0.3836    0.4368    0.3797    0.3359    0.2735    0.2122    0.2675    0.1846
         3    0.2985    0.2791    0.2722    0.2316    0.2314    0.1705    0.1658    0.1866
         4    0.2356    0.2541    0.1999    0.1793    0.1605    0.1542    0.1533    0.1389
         5    0.2017    0.2119    0.1995    0.1481    0.1388    0.1191    0.1354    0.1125
         6    0.1827    0.1822    0.1714    0.1408    0.1203    0.1028    0.1117    0.1013
         7    0.1797    0.1648    0.1464    0.1267    0.1073    0.0916    0.0940    0.0833
         8    0.1273    0.1360    0.1198    0.1045    0.0833    0.0723    0.0730    0.0645




Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.1447    0.1086    0.1403    0.1901    0.1611    0.1352    0.1113    0.0964
         1    0.1853    0.1273    0.1364    0.1965    0.2042    0.1684    0.1347    0.1116
         2    0.1054    0.0890    0.0918    0.1450    0.1507    0.1285    0.1132    0.0957
         3    0.0852    0.0637    0.0696    0.1073    0.1214    0.1114    0.0919    0.0784
         4    0.0926    0.0479    0.0454    0.0905    0.0928    0.0939    0.0827    0.0696
         5    0.0670    0.0581    0.0370    0.0731    0.0835    0.0830    0.0754    0.0610
         6    0.0605    0.0401    0.0458    0.0628    0.0716    0.0779    0.0671    0.0555
         7    0.0539    0.0435    0.0340    0.0703    0.0574    0.0658    0.0616    0.0519
         8    0.0467    0.0338    0.0307    0.0490    0.0559    0.0628    0.0500    0.0471




Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.1209    0.1452    0.1515    0.1612    0.1487    0.1154    0.1430    0.1869
         1    0.1174    0.1454    0.2242    0.2427    0.2579    0.2133    0.1861    0.2452
         2    0.0890    0.1058    0.1326    0.1457    0.1626    0.1082    0.1586    0.1902
         3    0.0760    0.0845    0.1185    0.1133    0.1262    0.0893    0.0968    0.1585
         4    0.0620    0.0753    0.1075    0.1082    0.1026    0.0776    0.0829    0.1110
         5    0.0545    0.0630    0.0976    0.0935    0.0947    0.0715    0.0647    0.0868
         6    0.0478    0.0525    0.0831    0.0859    0.0845    0.0638    0.0589    0.0712
         7    0.0465    0.0502    0.0742    0.0822    0.0772    0.0562    0.0526    0.0627
         8    0.0349    0.0388    0.0721    0.0792    0.0810    0.0533    0.0458    0.0533




Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.1890    0.2023    0.2069    0.2371    0.2567    0.2358    0.2162    0.2322
         1    0.2785    0.2867    0.3102    0.3246    0.3698    0.3789    0.3280    0.3091
         2    0.1524    0.1699    0.1716    0.1988    0.2399    0.2088    0.1358    0.1564
         3    0.1487    0.1430    0.1485    0.1485    0.1769    0.1825    0.1422    0.0964
         4    0.1338    0.1222    0.1266    0.1387    0.1398    0.1421    0.1098    0.1013
         5    0.1091    0.1104    0.1007    0.1114    0.1339    0.1189    0.0842    0.0771
         6    0.0799    0.0810    0.1091    0.0941    0.1151    0.1126    0.0750    0.0627
         7    0.0700    0.0688    0.0830    0.1089    0.0999    0.0943    0.0638    0.0566
         8    0.0611    0.0539    0.0714    0.0855    0.0971    0.0953    0.0537    0.0499




Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.1770    0.1604    0.1376    0.1188    0.1162    0.0976    0.0934    0.0796
         1    0.3127    0.2383    0.2167    0.1844    0.1656    0.1615    0.1459    0.1395
         2    0.1621    0.1209    0.1761    0.1129    0.0933    0.0807    0.0782    0.0759
         3    0.1093    0.0940    0.0914    0.0962    0.0609    0.0671    0.0578    0.0644
         4    0.0757    0.0748    0.0789    0.0615    0.0591    0.0500    0.0510    0.0505
         5    0.0823    0.0600    0.0672    0.0548    0.0382    0.0500    0.0414    0.0468
         6    0.0619    0.0592    0.0575    0.0459    0.0369    0.0357    0.0423    0.0401
         7    0.0554    0.0497    0.0527    0.0371    0.0346    0.0328    0.0297    0.0380
         8    0.0492    0.0452    0.0457    0.0335    0.0278    0.0286    0.0290    0.0323


Species: Sprat      



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    0.3165    0.2314    0.2359    0.3823    0.4937    0.4910    0.4156    0.4351
         1    0.5552    0.5623    0.4234    0.6164    0.9584    1.0691    1.0641    0.9297
         2    0.3433    0.3656    0.2846    0.3719    0.5843    0.6350    0.6857    0.5168
         3    0.2781    0.3032    0.2368    0.2849    0.5200    0.5665    0.5573    0.4755
         4    0.2524    0.2765    0.2182    0.2638    0.4396    0.5705    0.5409    0.4378
         5    0.2524    0.2765    0.2182    0.2638    0.4292    0.5134    0.5513    0.4405
         6    0.2392    0.2618    0.2087    0.2513    0.4193    0.5176    0.5130    0.4679
         7    0.2486    0.2718    0.2156    0.2601    0.4194    0.5328    0.5313    0.4194




Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    0.3733    0.3130    0.2491    0.2271    0.2267    0.2433    0.1965    0.1422
         1    0.9244    0.6666    0.5222    0.4356    0.4514    0.4564    0.4261    0.3152
         2    0.5679    0.4763    0.3948    0.3171    0.2863    0.2847    0.2757    0.2040
         3    0.4842    0.4083    0.3225    0.2828    0.2608    0.2387    0.2606    0.1747
         4    0.4646    0.3900    0.3171    0.2684    0.2340    0.2212    0.2295    0.1694
         5    0.4374    0.3759    0.3009    0.2501    0.2194    0.2165    0.2142    0.1605
         6    0.4659    0.3636    0.2948    0.2343    0.2132    0.2158    0.2109    0.1575
         7    0.4737    0.3613    0.2933    0.2427    0.2095    0.2048    0.2003    0.1536




Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    0.0797    0.0662    0.0865    0.1057    0.0847    0.0694    0.0580    0.0528
         1    0.1708    0.1297    0.1455    0.1800    0.1780    0.1337    0.1049    0.0984
         2    0.1078    0.0705    0.0802    0.1380    0.1337    0.1013    0.0928    0.0799
         3    0.1033    0.0667    0.0676    0.1218    0.1169    0.0991    0.0787    0.0744
         4    0.0968    0.0622    0.0642    0.1115    0.1048    0.0915    0.0766    0.0656
         5    0.0910    0.0601    0.0607    0.1077    0.1027    0.0875    0.0712    0.0589
         6    0.0926    0.0588    0.0593    0.1041    0.0985    0.0857    0.0698    0.0583
         7    0.0865    0.0596    0.0571    0.0983    0.0983    0.0847    0.0705    0.0564




Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    0.0675    0.0796    0.0752    0.0794    0.0705    0.0542    0.0695    0.0890
         1    0.1075    0.1369    0.1756    0.1912    0.2049    0.1664    0.1445    0.1993
         2    0.0856    0.1042    0.1163    0.1330    0.1414    0.1149    0.1157    0.1630
         3    0.0799    0.0925    0.1180    0.1189    0.1369    0.1087    0.0964    0.1493
         4    0.0766    0.0927    0.1128    0.1199    0.1304    0.1085    0.0895    0.1258
         5    0.0689    0.0914    0.1088    0.1138    0.1297    0.1033    0.0918    0.1207
         6    0.0670    0.0845    0.1060    0.1163    0.1293    0.1069    0.0895    0.1159
         7    0.0677    0.0808    0.0982    0.1166    0.1295    0.1082    0.0909    0.1212




Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    0.0902    0.0974    0.0986    0.1133    0.1221    0.1131    0.1074    0.1171
         1    0.2294    0.2398    0.2656    0.2651    0.3039    0.3150    0.2869    0.2876
         2    0.1753    0.1802    0.1816    0.1833    0.2300    0.2168    0.1803    0.1725
         3    0.1693    0.1623    0.1726    0.1680    0.2010    0.2085    0.1573    0.1427
         4    0.1604    0.1618    0.1626    0.1607    0.1896    0.1940    0.1557    0.1350
         5    0.1413    0.1596    0.1671    0.1576    0.1867    0.1811    0.1466    0.1338
         6    0.1355    0.1458    0.1688    0.1634    0.1828    0.1828    0.1433    0.1321
         7    0.1361    0.1352    0.1501    0.1561    0.1856    0.1767    0.1448    0.1329




Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    0.0876    0.0784    0.0666    0.0589    0.0588    0.0480    0.0464    0.0386
         1    0.2912    0.2001    0.1764    0.1548    0.1422    0.1363    0.1206    0.1101
         2    0.1783    0.1273    0.1356    0.1093    0.0964    0.0968    0.0775    0.0763
         3    0.1557    0.1143    0.1090    0.1015    0.0880    0.0840    0.0729    0.0686
         4    0.1383    0.1065    0.0977    0.0865    0.0855    0.0786    0.0675    0.0658
         5    0.1321    0.1009    0.0948    0.0803    0.0765    0.0786    0.0650    0.0631
         6    0.1327    0.0968    0.0913    0.0802    0.0714    0.0672    0.0660    0.0583
         7    0.1383    0.1028    0.0925    0.0798    0.0736    0.0673    0.0604    0.0620

